Epoch,Loss,TestAcc,TestAuc
1,0.9262,0.1667,0.4000
2,0.8909,0.8333,0.5375
3,0.8137,0.8333,0.4500
4,0.7569,0.7500,0.4000
5,0.6893,0.1667,0.3875
6,0.7176,0.1667,0.3750
7,0.7063,0.1667,0.2000
8,0.7140,0.8333,0.4500
9,0.6737,0.8333,0.4750
10,0.7801,0.8333,0.5250
11,0.7094,0.8333,0.5500
12,0.6790,0.8333,0.5375
13,0.6594,0.8333,0.5000
14,0.7003,0.8333,0.4500
15,0.6668,0.8333,0.4625
16,0.6701,0.8333,0.4625
17,0.7011,0.8333,0.4625
18,0.6765,0.8333,0.4625
19,0.6845,0.8333,0.4625
20,0.6899,0.8333,0.5125
21,0.6811,0.8333,0.5375
22,0.6664,0.8333,0.5375
23,0.6636,0.8333,0.5625
24,0.6677,0.8333,0.5625
25,0.6837,0.8333,0.5625
26,0.6947,0.8333,0.5625
27,0.7881,0.8333,0.5500
28,0.6885,0.8333,0.5500
29,0.6965,0.8333,0.5625
30,0.6642,0.8333,0.5625
31,0.6796,0.8333,0.5500
32,0.6771,0.8333,0.5625
33,0.6710,0.8333,0.5625
34,0.6823,0.8333,0.5500
35,0.7013,0.8333,0.5625
36,0.6879,0.8333,0.5625
37,0.6769,0.8333,0.5625
38,0.6926,0.8333,0.5625
39,0.7027,0.8333,0.5750
40,0.7043,0.8333,0.5750
41,0.7134,0.8333,0.5750
42,0.6972,0.8333,0.5750
43,0.6878,0.8333,0.5875
44,0.6755,0.8333,0.5750
45,0.6678,0.8333,0.5750
46,0.6748,0.8333,0.5750
47,0.6718,0.8333,0.5750
48,0.6752,0.8333,0.5750
49,0.6824,0.8333,0.5750
50,0.6923,0.8333,0.5750
51,0.6639,0.8333,0.5875
52,0.6691,0.8333,0.5750
53,0.6825,0.8333,0.5875
54,0.6749,0.8333,0.5875
55,0.6786,0.8333,0.5875
56,0.6721,0.8333,0.5750
57,0.6757,0.8333,0.5625
58,0.6921,0.8333,0.5625
59,0.6691,0.8333,0.5625
60,0.6803,0.8333,0.5625
61,0.6609,0.8333,0.5625
62,0.6796,0.8333,0.5625
63,0.6706,0.8333,0.5625
64,0.6758,0.8333,0.5625
65,0.6929,0.8333,0.5750
66,0.6919,0.8333,0.5750
67,0.6840,0.8333,0.5750
68,0.6670,0.8333,0.5750
69,0.6834,0.8333,0.5750
70,0.6799,0.8333,0.5500
71,0.6756,0.8333,0.5250
72,0.6762,0.8333,0.5250
73,0.6791,0.8333,0.5375
74,0.6718,0.8333,0.5375
75,0.6750,0.8333,0.5375
76,0.6760,0.8333,0.5500
77,0.6727,0.8333,0.5500
78,0.8962,0.8333,0.5750
79,0.6728,0.8333,0.5875
80,0.6921,0.8333,0.5875
81,0.6668,0.8333,0.5875
82,0.6791,0.8333,0.5875
83,0.6738,0.8333,0.5875
84,0.6780,0.8333,0.5875
85,0.6831,0.8333,0.5875
86,0.6782,0.8333,0.5875
87,0.6844,0.8333,0.5875
88,0.6713,0.8333,0.5875
89,0.6781,0.8333,0.5875
90,0.6818,0.8333,0.5875
91,0.6814,0.8333,0.5875
92,0.6768,0.8333,0.5875
93,0.6808,0.8333,0.5875
94,0.6736,0.8333,0.5875
95,0.6653,0.8333,0.5875
96,0.6757,0.8333,0.5750
97,0.6772,0.8333,0.5750
98,0.6765,0.8333,0.5750
99,0.6767,0.8333,0.5750
100,0.6710,0.8333,0.5750
