Epoch,Loss,TestAcc,TestAuc
1,0.7816,0.4545,0.4132
2,0.7075,0.5000,0.5702
3,0.7646,0.5000,0.5041
4,0.7487,0.5000,0.3306
5,0.7104,0.5000,0.4628
6,0.7318,0.5000,0.6198
7,0.7110,0.5000,0.3058
8,0.6655,0.5000,0.3306
9,0.6825,0.5000,0.3058
10,0.6819,0.5000,0.4132
11,0.6988,0.5000,0.5537
12,0.6624,0.5455,0.5455
13,0.6885,0.5000,0.5620
14,0.7043,0.5000,0.5537
15,0.6981,0.5000,0.5537
16,0.6825,0.5000,0.6281
17,0.6883,0.5000,0.3554
18,0.6922,0.5000,0.5207
19,0.6631,0.5000,0.5041
20,0.6911,0.5000,0.6116
21,0.6755,0.5000,0.5950
22,0.6840,0.5000,0.5868
23,0.6907,0.5000,0.5868
24,0.7096,0.5455,0.5620
25,0.6910,0.5000,0.5620
26,0.6908,0.5000,0.5868
27,0.6809,0.5000,0.5785
28,0.6635,0.5000,0.5868
29,0.6670,0.5000,0.5868
30,0.6856,0.5000,0.5868
31,0.6859,0.5000,0.5785
32,0.6841,0.5455,0.5702
33,0.6725,0.5455,0.5620
34,0.6953,0.5455,0.5620
35,0.6901,0.5455,0.5868
36,0.6709,0.5455,0.5702
37,0.6880,0.5000,0.5702
38,0.6692,0.5455,0.5868
39,0.6897,0.5455,0.5868
40,0.6728,0.5455,0.6198
41,0.6680,0.5455,0.6198
42,0.6695,0.5455,0.6446
43,0.6621,0.5455,0.6529
44,0.6821,0.5000,0.6529
45,0.6789,0.4545,0.6446
46,0.6758,0.5000,0.6281
47,0.6402,0.5000,0.6198
48,0.6902,0.5000,0.6198
49,0.6758,0.4545,0.6198
50,0.6660,0.4545,0.6198
51,0.6856,0.6364,0.6198
52,0.6706,0.5000,0.6198
53,0.6802,0.5000,0.6198
54,0.6787,0.5000,0.6116
55,0.6905,0.5000,0.6116
56,0.6736,0.5000,0.6116
57,0.6690,0.5000,0.6198
58,0.6645,0.5000,0.6198
59,0.6827,0.5000,0.6198
60,0.6626,0.5000,0.6198
61,0.6671,0.5000,0.6198
62,0.6990,0.7273,0.6198
63,0.6627,0.7273,0.6198
64,0.6728,0.5000,0.6198
65,0.6845,0.5000,0.6198
66,0.6747,0.5000,0.6198
67,0.6863,0.5000,0.6198
68,0.6886,0.5000,0.6198
69,0.6750,0.5000,0.6198
70,0.6724,0.5000,0.6198
71,0.6643,0.5000,0.6281
72,0.6897,0.5000,0.6364
73,0.6865,0.5000,0.6446
74,0.6772,0.5455,0.6529
75,0.6958,0.5455,0.6694
76,0.6834,0.5455,0.6694
77,0.6713,0.5000,0.6777
78,0.6767,0.5000,0.6777
79,0.6626,0.5455,0.6777
80,0.6696,0.5455,0.6777
81,0.6810,0.5455,0.6694
82,0.6625,0.5909,0.6694
83,0.6909,0.5909,0.6694
84,0.6727,0.5000,0.6694
85,0.6821,0.6818,0.6694
86,0.6649,0.6818,0.6777
87,0.6741,0.6364,0.6777
88,0.6765,0.5000,0.6777
89,0.6497,0.5455,0.6777
90,0.6678,0.5000,0.6777
91,0.6691,0.5000,0.6777
92,0.6640,0.5000,0.6612
93,0.7061,0.5000,0.6529
94,0.6772,0.5000,0.6446
95,0.6645,0.5000,0.6364
96,0.6775,0.5000,0.6364
97,0.6875,0.5000,0.6281
98,0.6719,0.5000,0.6116
99,0.6745,0.5000,0.6116
100,0.6632,0.5000,0.6116
