Epoch,Loss,TestAcc,TestAuc
1,0.6538,0.6522,0.6000
2,0.6168,0.6522,0.5917
3,0.6624,0.6522,0.6083
4,0.7118,0.6522,0.5917
5,0.6492,0.6522,0.5250
6,0.6665,0.6522,0.6000
7,0.6347,0.6522,0.5917
8,0.6175,0.6522,0.5583
9,0.5621,0.6522,0.5417
10,0.6009,0.6522,0.5333
11,0.5727,0.6522,0.5250
12,0.5780,0.6522,0.5083
13,0.6300,0.6522,0.5083
14,0.5884,0.6522,0.5083
15,0.6177,0.6522,0.5083
16,0.5646,0.6522,0.5083
17,0.5690,0.6522,0.5167
18,0.5717,0.6522,0.5083
19,0.5815,0.6522,0.5000
20,0.5627,0.6522,0.4917
21,0.5524,0.6522,0.4750
22,0.5766,0.6522,0.4750
23,0.6039,0.6522,0.4833
24,0.5830,0.6522,0.4833
25,0.5554,0.6522,0.4833
26,0.5729,0.6522,0.4667
27,0.5677,0.6522,0.4583
28,0.5759,0.6522,0.4583
29,0.5889,0.6522,0.4583
30,0.5760,0.6522,0.4667
31,0.5515,0.6522,0.4667
32,0.8210,0.6522,0.4750
33,0.6137,0.6522,0.4750
34,0.5676,0.6522,0.4833
35,0.5736,0.6522,0.4917
36,0.5633,0.6522,0.5000
37,0.5632,0.6522,0.5000
38,0.5789,0.6522,0.5000
39,0.5732,0.6522,0.5083
40,0.6140,0.6522,0.5083
41,0.5825,0.6522,0.5083
42,0.5941,0.6522,0.5083
43,0.6227,0.6522,0.5000
44,0.5715,0.6522,0.4667
45,0.5758,0.6522,0.4667
46,0.5938,0.6522,0.4750
47,0.5921,0.6522,0.4667
48,0.5680,0.6522,0.4750
49,0.5755,0.6522,0.4750
50,0.5652,0.6522,0.4750
51,0.5694,0.6522,0.4667
52,0.5733,0.6522,0.4667
53,0.5692,0.6522,0.4750
54,0.5740,0.6522,0.4667
55,0.5810,0.6522,0.4667
56,0.5928,0.6522,0.4667
57,0.5704,0.6522,0.4667
58,0.5892,0.6522,0.4667
59,0.5644,0.6522,0.4667
60,0.5695,0.6522,0.4667
61,0.5646,0.6522,0.4667
62,0.5734,0.6522,0.5000
63,0.5839,0.6522,0.5000
64,0.5888,0.6522,0.5000
65,0.5598,0.6522,0.5000
66,0.5720,0.6522,0.4833
67,0.5774,0.6522,0.4583
68,0.5822,0.6522,0.4667
69,0.5685,0.6522,0.4667
70,0.5716,0.6522,0.4667
71,0.5709,0.6522,0.4667
72,0.5636,0.6522,0.4583
73,0.5719,0.6522,0.4583
74,0.5649,0.6522,0.4583
75,0.5771,0.6522,0.4667
76,0.5787,0.6522,0.4667
77,0.5735,0.6522,0.4667
78,0.5811,0.6522,0.4667
79,0.5725,0.6522,0.4667
80,0.5813,0.6522,0.4667
81,0.5779,0.6522,0.4750
82,0.5783,0.6522,0.4750
83,0.5770,0.6522,0.4583
84,0.5788,0.6522,0.4667
85,0.5700,0.6522,0.4917
86,0.5733,0.6522,0.4833
87,0.5773,0.6522,0.4667
88,0.5678,0.6522,0.4583
89,0.5781,0.6522,0.4750
90,0.5655,0.6522,0.4833
91,0.5764,0.6522,0.4750
92,0.5660,0.6522,0.4667
93,0.6329,0.6522,0.4667
94,0.5544,0.6522,0.4750
95,0.5828,0.6522,0.4917
96,0.5755,0.6522,0.5000
97,0.5803,0.6522,0.5083
98,0.5666,0.6522,0.5083
99,0.5654,0.6522,0.5167
100,0.5793,0.6522,0.5167
