Epoch,Loss,TestAcc,TestAuc
1,0.6903,0.5000,0.4531
2,0.6631,0.5000,0.4531
3,0.8090,0.5000,0.4844
4,0.6908,0.5000,0.4688
5,0.6742,0.5000,0.4844
6,0.7184,0.5000,0.4844
7,0.6646,0.5000,0.4844
8,0.7058,0.5000,0.5156
9,0.7726,0.5000,0.5156
10,0.6695,0.5000,0.5312
11,0.7097,0.5000,0.5312
12,0.6783,0.5000,0.5312
13,0.6933,0.5000,0.5312
14,0.7155,0.5000,0.5312
15,0.7033,0.5000,0.5312
16,0.6511,0.5000,0.5312
17,0.7083,0.5000,0.5312
18,0.7031,0.5000,0.5312
19,0.6776,0.5000,0.5469
20,0.7126,0.5000,0.5469
21,0.6876,0.5000,0.5781
22,0.7127,0.5000,0.5781
23,0.7356,0.6250,0.5938
24,0.6828,0.5000,0.5938
25,0.7071,0.5000,0.5938
26,0.6710,0.3750,0.5938
27,0.7092,0.6875,0.5938
28,0.7186,0.6250,0.5938
29,0.6844,0.5000,0.5938
30,0.6731,0.5000,0.5625
31,0.6797,0.5000,0.5469
32,0.6918,0.5000,0.5469
33,0.6588,0.5000,0.5469
34,0.6823,0.5000,0.5469
35,0.6993,0.5000,0.5625
36,0.6677,0.5000,0.5781
37,0.7119,0.5000,0.5938
38,0.6881,0.5000,0.5938
39,0.6988,0.5625,0.6094
40,0.6894,0.5000,0.6094
41,0.6910,0.5000,0.6094
42,0.6923,0.5000,0.6094
43,0.6994,0.5000,0.6250
44,0.7018,0.5000,0.6406
45,0.6765,0.5000,0.6250
46,0.7407,0.5000,0.6094
47,0.6955,0.5000,0.6094
48,0.7057,0.3750,0.6094
49,0.6898,0.5000,0.6094
50,0.6764,0.5000,0.6094
51,0.7085,0.5000,0.6094
52,0.7017,0.5000,0.6406
53,0.6705,0.3750,0.6406
54,0.6690,0.5000,0.6406
55,0.6831,0.5000,0.6406
56,0.6840,0.5000,0.6094
57,0.6868,0.5000,0.5938
58,0.6854,0.5000,0.5625
59,0.6970,0.5000,0.5469
60,0.7431,0.5000,0.5469
61,0.6866,0.5000,0.5469
62,0.6910,0.6875,0.5469
63,0.6647,0.5000,0.5469
64,0.6892,0.5000,0.5469
65,0.6896,0.5000,0.5469
66,0.7054,0.5000,0.5625
67,0.7125,0.3750,0.5625
68,0.7142,0.5000,0.5469
69,0.6825,0.5000,0.5469
70,0.6832,0.5625,0.5469
71,0.6946,0.5625,0.5156
72,0.6776,0.5000,0.5312
73,0.7042,0.5000,0.5312
74,0.6881,0.5000,0.5469
75,0.7036,0.5000,0.5469
76,0.6763,0.5000,0.5469
77,0.7064,0.5000,0.5469
78,0.7080,0.3750,0.5469
79,0.6827,0.6875,0.5469
80,0.6833,0.4375,0.5469
81,0.6930,0.3750,0.5625
82,0.6827,0.5625,0.5625
83,0.6733,0.5000,0.5469
84,0.6799,0.5000,0.5156
85,0.7050,0.5000,0.6562
86,0.6887,0.5000,0.6875
87,0.6984,0.5000,0.6875
88,0.6949,0.5000,0.6562
89,0.6935,0.5000,0.5312
90,0.6902,0.5000,0.5312
91,0.6927,0.5000,0.5469
92,0.6878,0.5000,0.5312
93,0.6780,0.5000,0.5156
94,0.6987,0.5000,0.5156
95,0.6685,0.5000,0.5156
96,0.6957,0.5000,0.5156
97,0.6802,0.5000,0.5156
98,0.6811,0.5000,0.5156
99,0.6873,0.5000,0.5000
100,0.6950,0.5000,0.5000
