Epoch,Loss,TestAcc,TestAuc
1,2.5371,0.7692,0.2750
2,0.8287,0.7692,0.4250
3,0.5849,0.7692,0.4333
4,0.6669,0.7692,0.4333
5,0.7446,0.7692,0.4250
6,0.6496,0.7692,0.4167
7,0.6029,0.7692,0.4167
8,0.6311,0.7692,0.4167
9,0.6155,0.7692,0.4167
10,0.5547,0.7692,0.4167
11,0.5846,0.7692,0.4167
12,0.6546,0.7692,0.4167
13,0.6280,0.7692,0.4167
14,0.6236,0.7692,0.4167
15,0.6208,0.7692,0.4083
16,0.5915,0.7692,0.4000
17,0.5691,0.7692,0.4000
18,0.5702,0.7692,0.4000
19,0.5698,0.7692,0.4000
20,0.6151,0.7692,0.4000
21,0.5972,0.7692,0.3833
22,0.5520,0.7692,0.3750
23,0.5454,0.7692,0.3750
24,0.5462,0.7692,0.3750
25,0.5854,0.7692,0.3750
26,0.5635,0.7692,0.3750
27,0.5810,0.7692,0.3667
28,0.5658,0.7692,0.3667
29,0.5709,0.7692,0.3667
30,0.5682,0.7692,0.3667
31,0.5645,0.7692,0.3667
32,0.5556,0.7692,0.3667
33,0.5814,0.7692,0.3667
34,0.5734,0.7692,0.3667
35,0.5795,0.7692,0.3667
36,0.5822,0.7692,0.3750
37,0.5510,0.7692,0.3750
38,0.5644,0.7692,0.3917
39,0.5636,0.7692,0.3917
40,0.5693,0.7692,0.3833
41,0.5919,0.7692,0.3667
42,0.5756,0.7692,0.3667
43,0.5672,0.7692,0.3667
44,0.5762,0.7692,0.3667
45,0.5579,0.7692,0.3750
46,0.5721,0.7692,0.3667
47,0.5452,0.7692,0.3667
48,0.5733,0.7692,0.3667
49,0.5693,0.7692,0.3667
50,0.5902,0.7692,0.3667
51,0.5568,0.7692,0.3667
52,0.5522,0.7692,0.3667
53,0.5683,0.7692,0.3667
54,0.5636,0.7692,0.3667
55,0.5760,0.7692,0.3667
56,0.5661,0.7692,0.3667
57,0.5556,0.7692,0.3667
58,0.5879,0.7692,0.3667
59,0.5591,0.7692,0.3667
60,0.5626,0.7692,0.3667
61,0.5729,0.7692,0.3667
62,0.5525,0.7692,0.3667
63,0.5528,0.7692,0.3667
64,0.5676,0.7692,0.3750
65,0.5872,0.7692,0.3750
66,0.5979,0.7692,0.3667
67,0.5746,0.7692,0.3667
68,0.5687,0.7692,0.3417
69,0.5832,0.7692,0.3417
70,0.5614,0.7692,0.3417
71,0.5734,0.7692,0.3417
72,0.5854,0.7692,0.3500
73,0.5641,0.7692,0.3583
74,0.5624,0.7692,0.3583
75,0.5789,0.7692,0.3583
76,0.5761,0.7692,0.3583
77,0.5664,0.7692,0.3333
78,0.5610,0.7692,0.3083
79,0.5607,0.7692,0.2917
80,0.5712,0.7692,0.2667
81,0.5618,0.7692,0.2583
82,0.5747,0.7692,0.2667
83,0.5689,0.7692,0.2667
84,0.5605,0.7692,0.2750
85,0.5650,0.7692,0.2750
86,0.5609,0.7692,0.2750
87,0.5638,0.7692,0.2750
88,0.5672,0.7692,0.2750
89,0.5577,0.7692,0.2833
90,0.5611,0.7692,0.2833
91,0.5476,0.7692,0.2833
92,0.5730,0.7692,0.2833
93,0.5665,0.7692,0.2833
94,0.5666,0.7692,0.2750
95,0.5690,0.7692,0.2750
96,0.5712,0.7692,0.3000
97,0.5672,0.7692,0.3167
98,0.5600,0.7692,0.3333
99,0.5717,0.7692,0.3333
100,0.5644,0.7692,0.3333
