Epoch,Loss,TestAcc,TestAuc
1,0.8997,0.8667,0.5000
2,0.9712,0.1333,0.6154
3,0.7394,0.1333,0.5385
4,0.7701,0.8667,0.4231
5,0.7192,0.8667,0.4231
6,0.7760,0.8667,0.4231
7,0.7057,0.8667,0.4231
8,0.6503,0.8667,0.4231
9,0.6323,0.8667,0.4231
10,0.7340,0.8667,0.4231
11,0.7034,0.8667,0.4231
12,0.6625,0.8667,0.4231
13,0.7144,0.8667,0.4231
14,0.6600,0.8667,0.4231
15,0.6505,0.8667,0.4231
16,0.7163,0.8667,0.4231
17,0.6918,0.8667,0.4231
18,0.6771,0.8667,0.4231
19,0.6357,0.8667,0.4231
20,0.7208,0.8667,0.4231
21,0.6891,0.8667,0.4231
22,0.6603,0.8667,0.4231
23,0.6759,0.8667,0.4231
24,0.6671,0.8667,0.4231
25,0.6802,0.8667,0.4231
26,0.6876,0.8667,0.4231
27,0.6428,0.8667,0.4615
28,0.6539,0.8667,0.4615
29,0.6435,0.8667,0.4615
30,0.6598,0.8667,0.4615
31,0.6355,0.8667,0.4615
32,0.6325,0.8667,0.4615
33,0.6375,0.8667,0.4615
34,0.6965,0.8667,0.4615
35,0.6497,0.8667,0.5000
36,0.6639,0.8667,0.5000
37,0.6407,0.8667,0.5000
38,0.6557,0.8667,0.5000
39,0.6508,0.8667,0.5000
40,0.6466,0.8667,0.5385
41,0.6544,0.8667,0.5385
42,0.6516,0.8667,0.3462
43,0.6547,0.8667,0.4615
44,0.6402,0.8667,0.3846
45,0.6574,0.8667,0.3462
46,0.7201,0.8667,0.3846
47,0.6554,0.8667,0.4231
48,0.6510,0.8667,0.5385
49,0.6893,0.8667,0.3462
50,0.6540,0.8667,0.3462
51,0.6207,0.8667,0.3462
52,0.6545,0.8667,0.3077
53,0.6336,0.8667,0.3846
54,0.6707,0.8667,0.5385
55,0.6617,0.8667,0.5385
56,0.6712,0.8667,0.5385
57,0.6322,0.8667,0.3462
58,0.6648,0.8667,0.3846
59,0.6766,0.8667,0.5385
60,0.6387,0.8667,0.5000
61,0.6750,0.8667,0.5000
62,0.6508,0.8667,0.5000
63,0.6504,0.8667,0.5000
64,0.6657,0.8667,0.5000
65,0.6459,0.8667,0.5000
66,0.6529,0.8667,0.5000
67,0.6639,0.8667,0.5000
68,0.6663,0.8667,0.5000
69,0.6710,0.8667,0.4615
70,0.6437,0.8667,0.4231
71,0.6464,0.8667,0.4231
72,0.6678,0.8667,0.4231
73,0.6512,0.8667,0.4231
74,0.6471,0.8667,0.4231
75,0.6376,0.8667,0.4231
76,0.6500,0.8667,0.4231
77,0.6466,0.8667,0.4231
78,0.6496,0.8667,0.4231
79,0.6348,0.8667,0.4231
80,0.6690,0.8667,0.4231
81,0.6348,0.8667,0.4231
82,0.6674,0.8667,0.4231
83,0.6746,0.8667,0.4231
84,0.6269,0.8667,0.4231
85,0.6485,0.8667,0.4231
86,0.6547,0.8667,0.4615
87,0.6633,0.8667,0.4615
88,0.6549,0.8667,0.5000
89,0.6576,0.8667,0.5000
90,0.6509,0.8667,0.5000
91,0.6635,0.8667,0.5000
92,0.6909,0.8667,0.5000
93,0.6573,0.8667,0.4615
94,0.6441,0.8667,0.4231
95,0.6423,0.8667,0.4231
96,0.6728,0.8667,0.4231
97,0.6547,0.8667,0.4231
98,0.6415,0.8667,0.4231
99,0.6592,0.8667,0.4231
100,0.6526,0.8667,0.4231
