Epoch,Loss,TestAcc,TestAuc
1,0.9272,0.5294,0.4722
2,1.2044,0.5294,0.4722
3,0.7609,0.5294,0.4722
4,0.7059,0.5294,0.4722
5,0.6361,0.5294,0.4861
6,0.6324,0.5294,0.5000
7,0.6010,0.5294,0.5000
8,0.5936,0.5294,0.5000
9,0.6348,0.5294,0.5139
10,0.6565,0.5294,0.5417
11,0.6237,0.5294,0.6806
12,0.5731,0.5294,0.4722
13,0.6096,0.5294,0.4583
14,0.6233,0.5294,0.4722
15,0.5814,0.5294,0.4722
16,0.5765,0.5294,0.4722
17,0.6096,0.5294,0.4722
18,0.5617,0.5294,0.4722
19,0.5916,0.5294,0.4722
20,0.6306,0.5294,0.4861
21,0.5826,0.5294,0.5000
22,0.5761,0.5294,0.4861
23,0.5961,0.5294,0.4722
24,0.5621,0.5294,0.4722
25,0.5625,0.5294,0.4722
26,0.5628,0.5294,0.4722
27,0.6138,0.5294,0.4722
28,0.5957,0.5294,0.4722
29,0.5912,0.5294,0.4722
30,0.6208,0.5294,0.4722
31,0.7225,0.5294,0.4722
32,0.5636,0.5294,0.4722
33,0.6539,0.5294,0.4722
34,0.5905,0.5294,0.4722
35,0.6307,0.5294,0.4722
36,0.6099,0.5294,0.4722
37,0.6388,0.5294,0.4722
38,0.5824,0.5294,0.4722
39,0.6377,0.5294,0.4722
40,0.6030,0.5294,0.4861
41,0.6132,0.5294,0.4861
42,0.6212,0.5294,0.4861
43,0.5956,0.5294,0.4861
44,0.6250,0.5294,0.4861
45,0.6123,0.5294,0.4861
46,0.6038,0.5294,0.4861
47,0.6349,0.5294,0.4861
48,0.6459,0.5294,0.4861
49,0.5679,0.5294,0.4861
50,0.6167,0.5294,0.4861
51,0.6011,0.5294,0.4861
52,0.6396,0.5294,0.5000
53,0.6055,0.5294,0.5000
54,0.5870,0.5294,0.4861
55,0.6135,0.5294,0.4861
56,0.6169,0.5294,0.4861
57,0.6340,0.5294,0.4861
58,0.6071,0.5294,0.4861
59,0.5837,0.5294,0.5000
60,0.6207,0.5294,0.5000
61,0.5893,0.5294,0.5000
62,0.5927,0.5294,0.5000
63,0.6014,0.5294,0.5000
64,0.5807,0.5294,0.5000
65,0.5821,0.5294,0.5000
66,0.6018,0.5294,0.5000
67,0.6743,0.5294,0.5000
68,0.6364,0.5294,0.5000
69,0.5919,0.5294,0.5000
70,0.6297,0.5294,0.5000
71,0.5901,0.5294,0.5000
72,0.6038,0.5294,0.5000
73,0.5986,0.5294,0.5000
74,0.5838,0.5294,0.5000
75,0.5684,0.5294,0.5000
76,0.5804,0.5294,0.5000
77,0.5601,0.5294,0.5000
78,0.6336,0.5294,0.5000
79,0.5655,0.5294,0.5000
80,0.5849,0.5294,0.5139
81,0.5753,0.5294,0.5139
82,0.5980,0.5294,0.5000
83,0.6588,0.5294,0.5139
84,0.6095,0.5294,0.5139
85,0.5965,0.5294,0.5000
86,0.6184,0.5294,0.5000
87,0.5638,0.5294,0.4861
88,0.5911,0.5294,0.4861
89,0.5831,0.5294,0.4861
90,0.6027,0.5294,0.4861
91,0.6188,0.5294,0.4861
92,0.5941,0.5294,0.4861
93,0.5704,0.5294,0.4722
94,0.5844,0.5294,0.4722
95,0.5776,0.5294,0.4722
96,0.6373,0.5294,0.4722
97,0.6442,0.5294,0.4722
98,0.5804,0.5294,0.4722
99,0.6185,0.5294,0.4722
100,0.5933,0.5294,0.4722
