Epoch,Loss,TestAcc,TestAuc
1,0.8106,0.3636,0.5625
2,1.7934,0.3636,0.5625
3,0.7765,0.3636,0.5625
4,0.7341,0.3636,0.5804
5,0.7233,0.3636,0.5893
6,0.6926,0.3636,0.5893
7,0.6780,0.3636,0.5893
8,0.7016,0.3636,0.5804
9,0.6945,0.3636,0.5804
10,0.7073,0.3636,0.5714
11,0.7243,0.3636,0.5714
12,0.7088,0.3636,0.5804
13,0.7274,0.3636,0.5804
14,0.7359,0.3636,0.5804
15,0.7309,0.3636,0.5714
16,0.6916,0.3636,0.5625
17,0.6564,0.3636,0.5804
18,0.6933,0.3636,0.6071
19,0.6615,0.3636,0.6071
20,0.7014,0.3636,0.5982
21,0.6919,0.3636,0.6071
22,0.6990,0.3636,0.6250
23,0.6876,0.3636,0.6250
24,0.7012,0.3636,0.5982
25,0.7078,0.4091,0.4911
26,0.7111,0.3636,0.5000
27,0.7028,0.4091,0.5000
28,0.7376,0.6364,0.5000
29,0.7058,0.6364,0.4911
30,0.6995,0.4091,0.5089
31,0.6877,0.6364,0.5000
32,0.6885,0.6364,0.4911
33,0.6934,0.6364,0.5000
34,0.7092,0.6364,0.5179
35,0.7003,0.6364,0.4911
36,0.6919,0.6364,0.5179
37,0.6854,0.6364,0.5000
38,0.6870,0.6364,0.4911
39,0.7056,0.6364,0.4911
40,0.6840,0.6364,0.4911
41,0.7079,0.6364,0.4911
42,0.6816,0.6364,0.4911
43,0.6894,0.6364,0.4911
44,0.6777,0.6364,0.4911
45,0.6901,0.6364,0.5000
46,0.6867,0.6364,0.4911
47,0.6935,0.6364,0.4821
48,0.6831,0.6364,0.4732
49,0.6840,0.6364,0.4732
50,0.6868,0.6364,0.4732
51,0.6889,0.6364,0.4643
52,0.6895,0.6364,0.4464
53,0.6905,0.6364,0.4464
54,0.7743,0.6364,0.4554
55,0.6819,0.6364,0.4554
56,0.6981,0.6364,0.4554
57,0.6994,0.6364,0.4554
58,0.6894,0.6364,0.4554
59,0.6911,0.6364,0.4464
60,0.6972,0.6364,0.4464
61,0.6865,0.6364,0.4464
62,0.6869,0.6364,0.4464
63,0.6869,0.3636,0.4643
64,0.6842,0.3636,0.4821
65,0.6887,0.3636,0.4643
66,0.6944,0.6364,0.4643
67,0.6824,0.6364,0.4643
68,0.6902,0.6364,0.4643
69,0.6811,0.6364,0.4643
70,0.6831,0.6364,0.4643
71,0.6840,0.6364,0.4643
72,0.6896,0.6364,0.4643
73,0.6788,0.6364,0.4643
74,0.6998,0.6364,0.4643
75,0.6909,0.6364,0.4643
76,0.6924,0.6364,0.4643
77,0.6803,0.6364,0.4643
78,0.7097,0.3636,0.4732
79,0.7056,0.3636,0.5089
80,0.6840,0.3636,0.5179
81,0.6911,0.3636,0.5089
82,0.6964,0.3636,0.5179
83,0.6905,0.3636,0.5179
84,0.6752,0.4091,0.5000
85,0.6891,0.3636,0.4821
86,0.7105,0.4091,0.5179
87,0.6776,0.4091,0.5268
88,0.6996,0.4091,0.5179
89,0.6980,0.3636,0.5268
90,0.6876,0.6364,0.5089
91,0.6882,0.6364,0.5089
92,0.7080,0.6364,0.5000
93,0.6901,0.6364,0.4821
94,0.6878,0.6364,0.4821
95,0.6904,0.6364,0.4732
96,0.6816,0.6364,0.4911
97,0.6898,0.6364,0.5000
98,0.6886,0.4545,0.5000
99,0.7156,0.3636,0.5179
100,0.6873,0.4545,0.5179
