Epoch,Loss,TestAcc,TestAuc
1,0.9479,0.5263,0.5778
2,0.6575,0.5263,0.5778
3,0.7046,0.5263,0.5778
4,0.7460,0.5263,0.5778
5,0.8051,0.5263,0.5778
6,0.6861,0.4737,0.5667
7,0.6919,0.6316,0.5667
8,0.6947,0.5263,0.5889
9,0.6783,0.5263,0.5889
10,0.6458,0.5263,0.5889
11,0.7477,0.5263,0.5889
12,0.6796,0.5263,0.5889
13,0.6544,0.5263,0.5778
14,0.6765,0.5263,0.5667
15,0.6730,0.5263,0.5667
16,0.6698,0.5263,0.5667
17,0.6876,0.5263,0.5667
18,0.6711,0.5263,0.5667
19,0.6507,0.5263,0.5667
20,0.6513,0.5263,0.5667
21,0.6407,0.5263,0.5778
22,0.6717,0.5263,0.5778
23,0.6469,0.5263,0.5667
24,0.6313,0.5263,0.5667
25,0.6644,0.5263,0.5333
26,0.6253,0.5263,0.5111
27,0.6353,0.5263,0.5000
28,0.6469,0.5263,0.4778
29,0.6490,0.5263,0.4556
30,0.6446,0.5263,0.4778
31,0.6516,0.5263,0.4778
32,0.6472,0.5263,0.4889
33,0.6246,0.5263,0.5000
34,0.6344,0.5263,0.5333
35,0.6391,0.5263,0.5556
36,0.6509,0.5263,0.5556
37,0.6456,0.5263,0.5556
38,0.6362,0.5263,0.5556
39,0.6218,0.5263,0.5667
40,0.6408,0.5263,0.5667
41,0.6383,0.5263,0.5778
42,0.6592,0.5263,0.5778
43,0.6358,0.5263,0.5889
44,0.6566,0.5263,0.5889
45,0.6512,0.5263,0.5778
46,0.6705,0.5263,0.5778
47,0.6612,0.5263,0.5778
48,0.6657,0.5263,0.5667
49,0.6351,0.5263,0.5667
50,0.6427,0.5263,0.5556
51,0.6467,0.5263,0.5556
52,0.6326,0.5263,0.5556
53,0.6497,0.5263,0.5778
54,0.6412,0.5263,0.5889
55,0.6365,0.5263,0.5889
56,0.6289,0.5263,0.5889
57,0.6553,0.5263,0.5889
58,0.6412,0.5263,0.5778
59,0.6418,0.5263,0.5889
60,0.6307,0.5263,0.5667
61,0.6503,0.5263,0.5778
62,0.6587,0.5263,0.5889
63,0.6363,0.5263,0.5889
64,0.6461,0.5263,0.5889
65,0.6342,0.5263,0.5889
66,0.6176,0.5263,0.5889
67,0.6564,0.5263,0.5778
68,0.6299,0.5263,0.5778
69,0.6341,0.5263,0.5778
70,0.6301,0.5263,0.5778
71,0.6423,0.5263,0.5778
72,0.6587,0.5263,0.5000
73,0.6425,0.5263,0.5000
74,0.6214,0.5263,0.5000
75,0.6717,0.5263,0.5000
76,0.6418,0.5263,0.4889
77,0.6327,0.5263,0.4889
78,0.6499,0.5263,0.4778
79,0.6348,0.5263,0.4778
80,0.6478,0.5263,0.5556
81,0.6278,0.5263,0.5667
82,0.6377,0.5263,0.5111
83,0.6332,0.5263,0.5667
84,0.6306,0.5263,0.5889
85,0.6470,0.5263,0.5889
86,0.6297,0.5263,0.5889
87,0.6264,0.5263,0.5889
88,0.6634,0.5263,0.5889
89,0.6359,0.5263,0.5778
90,0.6525,0.5263,0.4778
91,0.6447,0.5263,0.4778
92,0.6426,0.5263,0.4889
93,0.6491,0.5263,0.5000
94,0.6328,0.5263,0.5778
95,0.6314,0.4737,0.5000
96,0.6321,0.5263,0.4889
97,0.6341,0.5263,0.5111
98,0.6393,0.5263,0.5111
99,0.6307,0.5263,0.4222
100,0.6323,0.5263,0.4778
