Epoch,Loss,TestAcc,TestAuc
1,0.8333,0.5789,0.4432
2,0.9552,0.5789,0.4432
3,1.1007,0.5789,0.4318
4,0.7059,0.5789,0.4545
5,0.7147,0.4211,0.4091
6,0.7214,0.4211,0.5568
7,0.7458,0.4211,0.4432
8,0.7151,0.4211,0.4432
9,0.7230,0.5789,0.4432
10,0.7296,0.5789,0.4432
11,0.7056,0.5789,0.4318
12,0.7119,0.5789,0.4318
13,0.7054,0.5789,0.4318
14,0.7785,0.5789,0.4432
15,0.6933,0.5789,0.4432
16,0.6737,0.5789,0.4432
17,0.7046,0.5789,0.4545
18,0.6882,0.5789,0.4545
19,0.7014,0.5789,0.4545
20,0.7931,0.5789,0.4545
21,0.6874,0.5789,0.4432
22,0.7378,0.5789,0.4432
23,0.7348,0.5789,0.4432
24,0.6954,0.5789,0.4432
25,0.6918,0.5789,0.4545
26,0.6839,0.5789,0.4545
27,0.7089,0.5789,0.4545
28,0.6831,0.5789,0.4545
29,0.7021,0.5789,0.4545
30,0.6950,0.5789,0.4545
31,0.6673,0.5789,0.4545
32,0.6969,0.5789,0.4545
33,0.6661,0.5789,0.4545
34,0.6779,0.5789,0.4545
35,0.6823,0.5789,0.4545
36,0.6998,0.5789,0.4545
37,0.6782,0.5789,0.4545
38,0.7587,0.5789,0.4545
39,0.6796,0.5789,0.4545
40,0.6824,0.5789,0.4545
41,0.7057,0.5789,0.4545
42,0.7125,0.5789,0.4545
43,0.6997,0.5789,0.4545
44,0.6883,0.5789,0.4545
45,0.6796,0.5789,0.4545
46,0.7116,0.5789,0.4432
47,0.7107,0.5789,0.4545
48,0.7151,0.5789,0.4545
49,0.6903,0.5789,0.4545
50,0.7025,0.5789,0.4545
51,0.6781,0.5789,0.4432
52,0.6894,0.5789,0.4205
53,0.6776,0.5789,0.4205
54,0.7130,0.5789,0.4205
55,0.6901,0.5789,0.4205
56,0.6899,0.5789,0.4205
57,0.7077,0.5789,0.4205
58,0.6938,0.5789,0.4318
59,0.6858,0.5789,0.4318
60,0.6963,0.5789,0.4432
61,0.6780,0.5789,0.4205
62,0.6881,0.5789,0.4205
63,0.7100,0.5789,0.4205
64,0.7011,0.5789,0.4205
65,0.6890,0.5789,0.4205
66,0.6929,0.5789,0.4205
67,0.6727,0.5789,0.4318
68,0.6888,0.5789,0.4205
69,0.6945,0.5789,0.4205
70,0.6827,0.5789,0.4205
71,0.7042,0.5789,0.4205
72,0.7009,0.5789,0.4205
73,0.6960,0.5789,0.4205
74,0.6964,0.5789,0.4205
75,0.6835,0.5789,0.4205
76,0.7057,0.5789,0.4205
77,0.6969,0.5789,0.4205
78,0.6945,0.5789,0.4205
79,0.6725,0.5789,0.4318
80,0.6910,0.5789,0.4318
81,0.6997,0.5789,0.4318
82,0.6922,0.5789,0.4318
83,0.6762,0.5789,0.4318
84,0.6827,0.5789,0.4318
85,0.7011,0.5789,0.4432
86,0.6840,0.5789,0.4432
87,0.7016,0.5789,0.4432
88,0.6879,0.5789,0.4432
89,0.7056,0.5789,0.4432
90,0.6955,0.5789,0.4432
91,0.7015,0.5789,0.4545
92,0.6995,0.5789,0.4659
93,0.7302,0.5789,0.4659
94,0.6849,0.5789,0.4886
95,0.7258,0.5789,0.4773
96,0.6753,0.5789,0.4659
97,0.6919,0.5789,0.4659
98,0.6747,0.5789,0.4659
99,0.6841,0.5789,0.4659
100,0.6839,0.5789,0.4659
