Epoch,Loss,TestAcc,TestAuc
1,0.9816,0.5652,0.4885
2,0.7570,0.4783,0.3346
3,0.6745,0.4348,0.4269
4,0.7076,0.5652,0.4808
5,0.6525,0.5652,0.5654
6,0.7667,0.5652,0.5654
7,0.7317,0.5652,0.5577
8,0.6522,0.5652,0.4885
9,0.6803,0.5652,0.4346
10,0.7187,0.5652,0.5423
11,0.6744,0.5652,0.5654
12,0.6776,0.5652,0.5654
13,0.8663,0.5652,0.5577
14,0.6861,0.5652,0.4500
15,0.6671,0.5652,0.4423
16,0.6727,0.5652,0.4423
17,0.6669,0.5652,0.4423
18,0.6863,0.5652,0.4500
19,0.6816,0.5652,0.4577
20,0.6775,0.5652,0.4654
21,0.6839,0.5652,0.4577
22,0.6737,0.5652,0.6038
23,0.6855,0.5652,0.4577
24,0.6885,0.5652,0.4269
25,0.6845,0.5652,0.4269
26,0.6845,0.5652,0.4346
27,0.6885,0.5652,0.4346
28,0.6755,0.5652,0.4346
29,0.6759,0.5652,0.4346
30,0.6766,0.5652,0.4346
31,0.6831,0.5652,0.4346
32,0.6832,0.5652,0.4346
33,0.6871,0.5652,0.4346
34,0.6631,0.5217,0.4346
35,0.6752,0.3913,0.4346
36,0.6826,0.5217,0.4346
37,0.6592,0.4783,0.4346
38,0.6613,0.5217,0.4346
39,0.6564,0.4783,0.4346
40,0.6699,0.4348,0.4346
41,0.6625,0.4783,0.4346
42,0.6840,0.3913,0.4346
43,0.6913,0.4783,0.4346
44,0.7241,0.4783,0.4346
45,0.6723,0.5217,0.4346
46,0.6857,0.5652,0.4346
47,0.6792,0.5652,0.4346
48,0.6568,0.5652,0.4346
49,0.6705,0.5652,0.4346
50,0.6858,0.5652,0.4346
51,0.6743,0.5652,0.4269
52,0.6717,0.5652,0.4346
53,0.6686,0.5217,0.4269
54,0.6690,0.4783,0.4269
55,0.6591,0.4783,0.4269
56,0.6750,0.4783,0.4346
57,0.7185,0.5217,0.4346
58,0.6686,0.5217,0.4346
59,0.6631,0.5652,0.4346
60,0.6714,0.5652,0.4423
61,0.6892,0.5652,0.4423
62,0.6676,0.5652,0.4423
63,0.6744,0.5652,0.4423
64,0.6746,0.5652,0.4423
65,0.6673,0.5652,0.4423
66,0.6591,0.5652,0.4423
67,0.6741,0.5217,0.4423
68,0.6660,0.5217,0.4346
69,0.6634,0.5217,0.4423
70,0.6782,0.5217,0.4423
71,0.6866,0.5652,0.4423
72,0.6772,0.5652,0.4423
73,0.6651,0.5652,0.4423
74,0.6697,0.5652,0.4423
75,0.6722,0.5652,0.4423
76,0.6958,0.5652,0.4500
77,0.6732,0.5652,0.4500
78,0.6752,0.5652,0.4423
79,0.6587,0.5652,0.4423
80,0.6864,0.5217,0.4423
81,0.6766,0.5217,0.4423
82,0.6891,0.5652,0.4423
83,0.6708,0.5652,0.4423
84,0.6692,0.5652,0.4500
85,0.6731,0.5652,0.4577
86,0.6725,0.5652,0.4577
87,0.6750,0.5652,0.4577
88,0.6835,0.5652,0.4577
89,0.6714,0.5652,0.4577
90,0.6680,0.5652,0.4577
91,0.6754,0.5652,0.4577
92,0.6690,0.5652,0.4577
93,0.6750,0.5652,0.4577
94,0.6808,0.5652,0.4577
95,0.6828,0.5652,0.4577
96,0.6621,0.5652,0.4577
97,0.6863,0.5652,0.4577
98,0.6818,0.5652,0.4577
99,0.6791,0.5652,0.4423
100,0.6761,0.5652,0.4423
