Epoch,Loss,TestAcc,TestAuc
1,0.9654,0.7619,0.4875
2,1.6546,0.7619,0.5000
3,0.6469,0.7619,0.5000
4,0.5788,0.7619,0.4875
5,0.5815,0.7619,0.4750
6,0.6123,0.7619,0.4625
7,0.5771,0.7619,0.4500
8,0.5513,0.7619,0.4375
9,0.5822,0.7619,0.4500
10,0.5917,0.7619,0.4500
11,0.6000,0.7619,0.4500
12,0.7476,0.7619,0.4375
13,0.5440,0.7619,0.4375
14,0.6136,0.7619,0.4375
15,0.5481,0.7619,0.4375
16,0.6077,0.7619,0.4375
17,0.5540,0.7619,0.4375
18,0.5859,0.7619,0.4500
19,0.5692,0.7619,0.4500
20,0.5499,0.7619,0.4750
21,0.5564,0.7619,0.4875
22,0.5747,0.7619,0.4875
23,0.5698,0.7619,0.4500
24,0.5742,0.7619,0.4500
25,0.5901,0.7619,0.4500
26,0.6134,0.7619,0.4375
27,0.5601,0.7619,0.4375
28,0.6191,0.7619,0.4375
29,0.5851,0.7619,0.4500
30,0.5419,0.7619,0.4500
31,0.5707,0.7619,0.4500
32,0.5983,0.7619,0.4500
33,0.5724,0.7619,0.4500
34,0.5608,0.7619,0.4500
35,0.5899,0.7619,0.4625
36,0.5390,0.7619,0.5000
37,0.5642,0.7619,0.5250
38,0.5803,0.7619,0.5250
39,0.5810,0.7619,0.5250
40,0.5464,0.7619,0.5250
41,0.6023,0.7619,0.5250
42,0.5724,0.7619,0.5250
43,0.5767,0.7619,0.5000
44,0.5903,0.7619,0.4500
45,0.6044,0.7619,0.4375
46,0.5902,0.7619,0.4375
47,0.5611,0.7619,0.4375
48,0.5846,0.7619,0.4375
49,0.5900,0.7619,0.4500
50,0.5647,0.7619,0.4500
51,0.7239,0.7619,0.4500
52,0.5805,0.7619,0.4500
53,0.5544,0.7619,0.4500
54,0.5682,0.7619,0.4625
55,0.5863,0.7619,0.4750
56,0.5574,0.7619,0.4750
57,0.5919,0.7619,0.4750
58,0.5868,0.7619,0.4750
59,0.5737,0.7619,0.4750
60,0.5841,0.7619,0.4750
61,0.5918,0.7619,0.4750
62,0.6024,0.7619,0.4750
63,0.5674,0.7619,0.4750
64,0.5516,0.7619,0.4750
65,0.5754,0.7619,0.4750
66,0.5621,0.7619,0.4625
67,0.5670,0.7619,0.4625
68,0.5692,0.7619,0.4500
69,0.5588,0.7619,0.4500
70,0.5832,0.7619,0.4500
71,0.5743,0.7619,0.4500
72,0.5614,0.7619,0.4500
73,0.5724,0.7619,0.4500
74,0.5719,0.7619,0.4500
75,0.5765,0.7619,0.4625
76,0.5579,0.7619,0.4750
77,0.5766,0.7619,0.4875
78,0.5755,0.7619,0.4875
79,0.5768,0.7619,0.4625
80,0.5607,0.7619,0.4500
81,0.5719,0.7619,0.4500
82,0.5639,0.7619,0.4500
83,0.5756,0.7619,0.4500
84,0.5852,0.7619,0.4500
85,0.5519,0.7619,0.4500
86,0.5733,0.7619,0.4500
87,0.5736,0.7619,0.4625
88,0.5685,0.7619,0.4750
89,0.5637,0.7619,0.4750
90,0.5690,0.7619,0.4625
91,0.5792,0.7619,0.4500
92,0.5652,0.7619,0.4500
93,0.5541,0.7619,0.4500
94,0.5560,0.7619,0.4500
95,0.5792,0.7619,0.4500
96,0.5664,0.7619,0.4500
97,0.5838,0.7619,0.4500
98,0.5742,0.7619,0.4500
99,0.5644,0.7619,0.4500
100,0.5687,0.7619,0.4500
