Epoch,Loss,TestAcc,TestAuc
1,1.0439,0.5263,0.2273
2,1.0506,0.4211,0.8750
3,1.0911,0.4211,0.8636
4,0.9925,0.4211,0.8750
5,0.8338,0.4211,0.9205
6,0.7971,0.5789,0.4659
7,0.8495,0.5789,0.3068
8,0.7595,0.4211,0.5227
9,0.9685,0.4211,0.9432
10,0.7595,0.4211,0.8750
11,0.6973,0.4211,0.8750
12,0.7555,0.4211,0.9432
13,0.7508,0.4211,0.5682
14,0.6771,0.4211,0.4318
15,0.6774,0.4211,0.3523
16,0.7022,0.4211,0.3409
17,0.7280,0.4211,0.3864
18,0.7054,0.4211,0.5341
19,0.7646,0.4211,0.9432
20,0.6988,0.4211,0.9091
21,0.7008,0.4211,0.9432
22,0.7085,0.4211,0.9432
23,0.7076,0.4211,0.5568
24,0.6973,0.4211,0.2955
25,0.6912,0.5789,0.2614
26,0.6971,0.5789,0.2500
27,0.6742,0.5789,0.2273
28,0.6962,0.5789,0.2273
29,0.6962,0.5789,0.2273
30,0.7397,0.5789,0.2273
31,0.7033,0.5789,0.2273
32,0.7056,0.5789,0.2273
33,0.7019,0.5789,0.2045
34,0.6770,0.5789,0.1932
35,0.6636,0.5789,0.1705
36,0.6754,0.4211,0.1591
37,0.6881,0.4211,0.1250
38,0.7221,0.4211,0.1250
39,0.6971,0.4211,0.1136
40,0.7057,0.4211,0.1136
41,0.7155,0.4211,0.1023
42,0.7031,0.3684,0.1250
43,0.6779,0.5789,0.1364
44,0.6973,0.5789,0.1477
45,0.7143,0.5789,0.1477
46,0.6879,0.5789,0.1477
47,0.6866,0.5789,0.1364
48,0.7081,0.5789,0.1364
49,0.6877,0.5789,0.1364
50,0.6684,0.5789,0.1364
51,0.6991,0.2105,0.1364
52,0.6909,0.3684,0.1364
53,0.6929,0.5789,0.1364
54,0.6912,0.5789,0.1364
55,0.6693,0.5789,0.1591
56,0.6803,0.5789,0.1591
57,0.7017,0.5789,0.1591
58,0.7006,0.5789,0.1477
59,0.6980,0.5789,0.1364
60,0.7014,0.5789,0.1364
61,0.6851,0.5789,0.1250
62,0.6786,0.5789,0.1250
63,0.6875,0.5789,0.1364
64,0.7047,0.5789,0.1364
65,0.7128,0.5789,0.1364
66,0.6951,0.5789,0.1364
67,0.6881,0.5789,0.1364
68,0.6947,0.5789,0.1364
69,0.6997,0.5789,0.1364
70,0.7042,0.5789,0.1023
71,0.7033,0.5789,0.1023
72,0.6827,0.5789,0.1023
73,0.6920,0.5789,0.1023
74,0.6744,0.3158,0.1136
75,0.6968,0.4211,0.1136
76,0.6897,0.4211,0.1136
77,0.7107,0.4211,0.4432
78,0.6762,0.4211,0.7045
79,0.6945,0.4211,0.7386
80,0.7293,0.4211,0.7500
81,0.6786,0.4211,0.7500
82,0.7107,0.4211,0.7500
83,0.6866,0.5263,0.7386
84,0.6863,0.5789,0.6705
85,0.6914,0.5789,0.4318
86,0.6941,0.5789,0.3750
87,0.6897,0.5789,0.5795
88,0.6953,0.5789,0.6591
89,0.6920,0.5789,0.7386
90,0.6980,0.5789,0.7386
91,0.6991,0.5789,0.7500
92,0.6913,0.5789,0.7500
93,0.7203,0.5789,0.7500
94,0.6882,0.5789,0.7500
95,0.6942,0.5789,0.7500
96,0.6856,0.5789,0.8068
97,0.7060,0.5789,0.8295
98,0.6931,0.5789,0.7841
99,0.6985,0.5789,0.7841
100,0.6898,0.5789,0.7841
