Epoch,Loss,TestAcc,TestAuc
1,0.7845,0.6111,0.3182
2,0.8119,0.6111,0.3312
3,0.6912,0.6111,0.3312
4,0.7414,0.6111,0.3312
5,0.7375,0.6111,0.3312
6,0.6869,0.6111,0.3312
7,0.6580,0.6111,0.3312
8,0.6956,0.6111,0.3312
9,0.6913,0.6111,0.3312
10,0.6339,0.6111,0.3312
11,0.6962,0.6111,0.3312
12,0.6569,0.6111,0.3442
13,0.7004,0.6111,0.3442
14,0.6686,0.6111,0.3442
15,0.7133,0.6111,0.3442
16,0.6758,0.6111,0.3442
17,0.6739,0.6111,0.3442
18,0.6595,0.6111,0.3442
19,0.6714,0.6111,0.3377
20,0.7160,0.6111,0.3442
21,0.6976,0.6111,0.3442
22,0.6927,0.6111,0.3442
23,0.6476,0.6111,0.3312
24,0.6682,0.6111,0.3312
25,0.6742,0.6111,0.3312
26,0.6789,0.6111,0.3312
27,0.6610,0.6111,0.3312
28,0.6896,0.6111,0.3312
29,0.6503,0.6111,0.3312
30,0.6639,0.6111,0.3312
31,0.6534,0.6111,0.3312
32,0.6663,0.6111,0.3312
33,0.6808,0.6111,0.3312
34,0.6813,0.6111,0.3377
35,0.6668,0.6111,0.3312
36,0.6925,0.6111,0.3182
37,0.6948,0.6111,0.3182
38,0.6800,0.6111,0.3182
39,0.6750,0.6111,0.3247
40,0.6713,0.6111,0.3182
41,0.6622,0.6111,0.3052
42,0.6826,0.6111,0.3052
43,0.6802,0.6111,0.3052
44,0.6871,0.6111,0.3182
45,0.6799,0.6111,0.3182
46,0.6592,0.6111,0.3182
47,0.6668,0.6111,0.3182
48,0.6751,0.6111,0.2987
49,0.6709,0.6111,0.3052
50,0.6678,0.6111,0.3182
51,0.6741,0.6111,0.3312
52,0.6685,0.6111,0.3312
53,0.6675,0.6111,0.3182
54,0.6873,0.6111,0.3052
55,0.6724,0.6111,0.3052
56,0.6897,0.6111,0.3052
57,0.6735,0.6111,0.3052
58,0.6732,0.6111,0.3182
59,0.6699,0.6111,0.3312
60,0.6687,0.6111,0.3312
61,0.6914,0.6111,0.3312
62,0.6811,0.6111,0.3182
63,0.6710,0.6111,0.3182
64,0.6664,0.6111,0.3052
65,0.6910,0.6111,0.3052
66,0.6652,0.6111,0.3052
67,0.6700,0.6111,0.3052
68,0.6714,0.6111,0.3052
69,0.6544,0.6111,0.3052
70,0.6598,0.6111,0.3052
71,0.6785,0.6111,0.3052
72,0.6701,0.6111,0.2987
73,0.6894,0.6111,0.3052
74,0.6603,0.6111,0.3052
75,0.6725,0.6111,0.3052
76,0.6526,0.6111,0.3052
77,0.6807,0.6111,0.3052
78,0.6504,0.6111,0.3052
79,0.6634,0.6111,0.2922
80,0.6706,0.6111,0.2922
81,0.6552,0.6111,0.3052
82,0.6925,0.6111,0.3052
83,0.6695,0.6111,0.2922
84,0.6544,0.6111,0.2857
85,0.6823,0.6111,0.2922
86,0.6531,0.6111,0.2922
87,0.6649,0.6111,0.2922
88,0.6521,0.6111,0.2922
89,0.6696,0.6111,0.2922
90,0.6727,0.6111,0.3052
91,0.6627,0.6111,0.2987
92,0.7575,0.6111,0.2922
93,0.6627,0.6111,0.3052
94,0.6769,0.6111,0.3182
95,0.6746,0.6111,0.3312
96,0.6897,0.6111,0.3182
97,0.6745,0.6111,0.3052
98,0.6742,0.6111,0.3052
99,0.6671,0.6111,0.3052
100,0.6696,0.6111,0.3052
