Epoch,Loss,TestAcc,TestAuc
1,1.0537,0.7143,0.6250
2,0.8062,0.7143,0.6000
3,0.6916,0.7143,0.6000
4,0.9319,0.7143,0.6000
5,0.7286,0.7143,0.6000
6,0.7709,0.7143,0.6000
7,0.8120,0.7143,0.6000
8,0.7480,0.7143,0.6000
9,0.6908,0.7143,0.6000
10,0.6984,0.7143,0.6500
11,0.6562,0.7143,0.6500
12,0.7229,0.7143,0.6250
13,0.7480,0.7143,0.6250
14,0.7353,0.7143,0.6250
15,0.6886,0.7143,0.6250
16,0.6276,0.7143,0.6250
17,0.6735,0.7143,0.6500
18,0.6768,0.7143,0.6500
19,0.6365,0.7143,0.6500
20,0.6441,0.7143,0.6500
21,0.7193,0.7143,0.6500
22,0.7299,0.7143,0.6500
23,0.6332,0.7143,0.6500
24,0.6664,0.7143,0.6500
25,0.7171,0.7143,0.6500
26,0.6550,0.7143,0.6500
27,0.6704,0.7143,0.6500
28,0.6714,0.7143,0.6500
29,0.6572,0.7143,0.6500
30,0.6409,0.7143,0.6500
31,0.6680,0.7143,0.6500
32,0.7243,0.7143,0.6500
33,0.6757,0.7143,0.6500
34,0.6769,0.7143,0.6500
35,0.6902,0.7143,0.6500
36,0.6556,0.7143,0.6500
37,0.6680,0.7143,0.6750
38,0.6501,0.7143,0.6750
39,0.6648,0.7143,0.7000
40,0.6461,0.7143,0.7000
41,0.6364,0.7143,0.7000
42,0.6794,0.7143,0.7000
43,0.6997,0.7143,0.6750
44,0.6265,0.7143,0.7000
45,0.6631,0.7143,0.6750
46,0.6940,0.7143,0.7000
47,0.6631,0.7143,0.6750
48,0.6545,0.7143,0.7000
49,0.6603,0.7143,0.7000
50,0.6641,0.7143,0.7000
51,0.6639,0.7143,0.7000
52,0.6536,0.7143,0.6750
53,0.6844,0.7143,0.6750
54,0.6340,0.7143,0.6750
55,0.6822,0.7143,0.7000
56,0.7127,0.7143,0.7000
57,0.6623,0.7143,0.7000
58,0.6748,0.7143,0.7000
59,0.6673,0.7143,0.7000
60,0.6859,0.7143,0.7000
61,0.6336,0.7143,0.7000
62,0.6739,0.7143,0.7000
63,0.6689,0.7143,0.6750
64,0.6493,0.7143,0.6750
65,0.6807,0.7143,0.7250
66,0.6889,0.7143,0.8250
67,0.6808,0.7143,0.7250
68,0.6536,0.7143,0.4250
69,0.6630,0.7143,0.4250
70,0.6558,0.7143,0.4250
71,0.6902,0.7143,0.4250
72,0.6406,0.7143,0.5000
73,0.6598,0.7143,0.7250
74,0.6566,0.7143,0.8000
75,0.6447,0.7143,0.8000
76,0.6665,0.7143,0.8500
77,0.6517,0.7143,0.8250
78,0.6771,0.7143,0.8000
79,0.6900,0.7143,0.6500
80,0.6623,0.7143,0.4250
81,0.6773,0.7143,0.4500
82,0.6550,0.7143,0.4500
83,0.6610,0.7143,0.4750
84,0.6723,0.7143,0.4750
85,0.6745,0.7143,0.4750
86,0.6706,0.7143,0.4750
87,0.6601,0.7143,0.4500
88,0.6502,0.7143,0.4250
89,0.6503,0.7143,0.4500
90,0.6539,0.7143,0.4750
91,0.6651,0.7143,0.4750
92,0.6558,0.7143,0.4750
93,0.6727,0.7143,0.4750
94,0.6565,0.7143,0.4750
95,0.6610,0.7143,0.4750
96,0.6489,0.7143,0.4750
97,0.6524,0.7143,0.4250
98,0.6518,0.7143,0.4500
99,0.6626,0.7143,0.7000
100,0.6605,0.7143,0.6500
