Epoch,Loss,TestAcc,TestAuc
1,0.7287,0.6269,0.4838
2,0.7243,0.6269,0.4819
3,0.6864,0.6269,0.4819
4,0.7187,0.6269,0.4810
5,0.6726,0.6269,0.4819
6,0.6571,0.6269,0.4829
7,0.6722,0.6269,0.4800
8,0.6587,0.6269,0.4781
9,0.6569,0.6269,0.4790
10,0.6567,0.6269,0.4790
11,0.6498,0.6269,0.4819
12,0.6580,0.6269,0.4848
13,0.6427,0.6269,0.4829
14,0.6466,0.6269,0.4876
15,0.6509,0.6269,0.4867
16,0.6401,0.6269,0.4857
17,0.6421,0.6269,0.4848
18,0.6312,0.6269,0.4867
19,0.6486,0.6269,0.4848
20,0.6485,0.6269,0.4848
21,0.6601,0.6269,0.4848
22,0.6449,0.6269,0.4848
23,0.6512,0.6269,0.4838
24,0.6547,0.6269,0.4705
25,0.6470,0.6269,0.4829
26,0.6458,0.6269,0.4800
27,0.6435,0.6269,0.4743
28,0.6435,0.6269,0.4743
29,0.6365,0.6269,0.4848
30,0.6452,0.6269,0.4876
31,0.6468,0.6269,0.4848
32,0.6437,0.6269,0.4990
33,0.6469,0.6269,0.4981
34,0.6418,0.6269,0.4790
35,0.6600,0.6269,0.4848
36,0.6438,0.6269,0.4724
37,0.6498,0.6269,0.5095
38,0.6436,0.6269,0.4933
39,0.6376,0.6269,0.4667
40,0.6406,0.6269,0.4771
41,0.6426,0.6269,0.4743
42,0.6405,0.6269,0.4762
43,0.6394,0.6269,0.4638
44,0.6400,0.6269,0.4800
45,0.6349,0.6269,0.4781
46,0.6378,0.6269,0.4743
47,0.6395,0.6269,0.4800
48,0.6380,0.6269,0.4819
49,0.6474,0.6269,0.4800
50,0.6412,0.6269,0.4762
51,0.6410,0.6269,0.4829
52,0.6438,0.6269,0.4914
53,0.6390,0.6269,0.5038
54,0.6467,0.6269,0.4743
55,0.6409,0.6269,0.4829
56,0.6460,0.6269,0.4781
57,0.6402,0.6269,0.4800
58,0.6403,0.6269,0.4743
59,0.6395,0.6269,0.4790
60,0.6398,0.6269,0.4952
61,0.6425,0.6269,0.4724
62,0.6455,0.6269,0.4914
63,0.6459,0.6269,0.4838
64,0.6380,0.6269,0.4914
65,0.6384,0.6269,0.4924
66,0.6406,0.6269,0.4848
67,0.6356,0.6269,0.5000
68,0.6464,0.6269,0.4981
69,0.6441,0.6269,0.5019
70,0.6377,0.6269,0.5095
71,0.6434,0.6269,0.5095
72,0.6415,0.6269,0.4676
73,0.6465,0.6269,0.4790
74,0.6449,0.6269,0.4729
75,0.6384,0.6269,0.4800
76,0.6423,0.6269,0.4848
77,0.6429,0.6269,0.4790
78,0.6413,0.6269,0.4648
79,0.6445,0.6269,0.4981
80,0.6412,0.6269,0.4695
81,0.6358,0.6269,0.4524
82,0.6422,0.6269,0.4990
83,0.6418,0.6269,0.5067
84,0.6429,0.6269,0.4981
85,0.6379,0.6269,0.4629
86,0.6423,0.6269,0.5010
87,0.6407,0.6269,0.5048
88,0.6424,0.6269,0.5000
89,0.6376,0.6269,0.4981
90,0.6416,0.6269,0.5057
91,0.6413,0.6269,0.4981
92,0.6443,0.6269,0.5067
93,0.6366,0.6269,0.5114
94,0.6456,0.6269,0.5095
95,0.6420,0.6269,0.5105
96,0.6427,0.6269,0.5105
97,0.6394,0.6269,0.5114
98,0.6348,0.6269,0.5105
99,0.6421,0.6269,0.5105
100,0.6480,0.6269,0.5105
