Epoch,Loss,TestAcc,TestAuc
1,0.9646,0.6486,0.5337
2,0.9771,0.6486,0.5417
3,0.9449,0.6486,0.5481
4,0.9064,0.6486,0.5288
5,0.7376,0.6486,0.5240
6,0.7379,0.6486,0.5080
7,0.7357,0.6486,0.5080
8,0.7175,0.6486,0.4984
9,0.6923,0.6486,0.4968
10,0.7147,0.6486,0.4984
11,0.6944,0.6486,0.5016
12,0.6938,0.6486,0.4984
13,0.7031,0.6486,0.4984
14,0.6942,0.6486,0.4984
15,0.6835,0.6486,0.4984
16,0.6724,0.6486,0.4984
17,0.6952,0.6486,0.4952
18,0.6816,0.6486,0.4984
19,0.6836,0.6486,0.4984
20,0.6794,0.6486,0.4984
21,0.6927,0.6486,0.4984
22,0.6842,0.6486,0.5000
23,0.7007,0.6486,0.4984
24,0.6896,0.6486,0.4920
25,0.6949,0.6486,0.4888
26,0.6830,0.6486,0.4872
27,0.6868,0.6486,0.4904
28,0.7057,0.6486,0.4952
29,0.6841,0.6486,0.4936
30,0.6841,0.6486,0.4968
31,0.6877,0.6486,0.4984
32,0.6757,0.6486,0.4984
33,0.6869,0.6486,0.4952
34,0.6867,0.6486,0.4952
35,0.6823,0.6486,0.4968
36,0.6899,0.6486,0.4904
37,0.6941,0.6486,0.4920
38,0.6848,0.6486,0.4984
39,0.6895,0.6486,0.4952
40,0.6874,0.6486,0.4984
41,0.6792,0.6486,0.4920
42,0.6812,0.6486,0.4920
43,0.6919,0.6486,0.4888
44,0.6834,0.6486,0.5000
45,0.6858,0.6486,0.4968
46,0.6914,0.6486,0.4888
47,0.6794,0.6486,0.4856
48,0.6806,0.6486,0.4952
49,0.6814,0.6486,0.4952
50,0.6786,0.6486,0.4952
51,0.7020,0.6486,0.4952
52,0.6862,0.6486,0.4968
53,0.6952,0.6486,0.4984
54,0.6845,0.6486,0.4952
55,0.6933,0.6486,0.4920
56,0.6793,0.6486,0.4952
57,0.6850,0.6486,0.4888
58,0.6887,0.6486,0.4888
59,0.6888,0.6486,0.4888
60,0.6839,0.6486,0.4888
61,0.6863,0.6486,0.4920
62,0.6882,0.6486,0.4888
63,0.6807,0.6486,0.4920
64,0.6789,0.6486,0.4888
65,0.6823,0.6486,0.4952
66,0.6851,0.6486,0.4888
67,0.6870,0.6486,0.4952
68,0.6860,0.6486,0.4952
69,0.6858,0.6486,0.5048
70,0.6791,0.6486,0.5208
71,0.6845,0.6486,0.4952
72,0.6869,0.6486,0.4952
73,0.6769,0.6486,0.4888
74,0.6877,0.6486,0.4888
75,0.6802,0.6486,0.4888
76,0.6829,0.6486,0.4888
77,0.6792,0.6486,0.4888
78,0.6869,0.6486,0.4968
79,0.6894,0.6486,0.4952
80,0.6959,0.6486,0.4984
81,0.6805,0.6486,0.5000
82,0.6858,0.6486,0.4984
83,0.6822,0.6486,0.4984
84,0.6853,0.6486,0.4952
85,0.6814,0.6486,0.4920
86,0.6887,0.6486,0.4920
87,0.6868,0.6486,0.4920
88,0.6820,0.6486,0.4984
89,0.6830,0.6486,0.5000
90,0.6818,0.6486,0.4952
91,0.6867,0.6486,0.4952
92,0.6892,0.6486,0.4984
93,0.6920,0.6486,0.5000
94,0.6730,0.6486,0.4968
95,0.6828,0.6486,0.4984
96,0.6875,0.6486,0.4920
97,0.6762,0.6486,0.4920
98,0.6790,0.6486,0.4920
99,0.6798,0.6486,0.4952
100,0.6815,0.6486,0.4984
