Epoch,Loss,TestAcc,TestAuc
1,0.7893,0.4565,0.4762
2,0.7508,0.4565,0.4762
3,0.7028,0.5435,0.5352
4,0.7240,0.5435,0.5276
5,0.7274,0.4565,0.4705
6,0.7012,0.4565,0.4724
7,0.7033,0.4565,0.4686
8,0.6962,0.4565,0.4762
9,0.6905,0.4565,0.4762
10,0.6873,0.4565,0.4781
11,0.6947,0.4565,0.4876
12,0.6912,0.4565,0.5105
13,0.6895,0.4565,0.5219
14,0.6790,0.4565,0.5219
15,0.6945,0.4565,0.4990
16,0.6883,0.4783,0.4762
17,0.6834,0.5435,0.4648
18,0.6968,0.5435,0.4667
19,0.6948,0.5435,0.4610
20,0.7014,0.5435,0.3829
21,0.6824,0.5435,0.3638
22,0.7059,0.5435,0.4495
23,0.6932,0.5435,0.3695
24,0.6932,0.5435,0.3714
25,0.6939,0.5435,0.3714
26,0.6910,0.5435,0.3714
27,0.6864,0.5217,0.4419
28,0.6955,0.5435,0.3790
29,0.6988,0.5435,0.4705
30,0.6939,0.5435,0.4610
31,0.7017,0.4565,0.4686
32,0.6929,0.4565,0.4686
33,0.6864,0.4565,0.4686
34,0.6972,0.4565,0.4686
35,0.6934,0.5435,0.4000
36,0.6913,0.5435,0.3886
37,0.6898,0.5435,0.3886
38,0.6955,0.5435,0.3810
39,0.6811,0.5435,0.3886
40,0.6883,0.5435,0.4210
41,0.7009,0.5435,0.3905
42,0.6889,0.5217,0.3905
43,0.6900,0.5435,0.3943
44,0.6920,0.5435,0.3943
45,0.6887,0.5217,0.4590
46,0.6896,0.5217,0.4629
47,0.6905,0.5435,0.3943
48,0.6800,0.5435,0.4286
49,0.6992,0.5217,0.3924
50,0.6860,0.5435,0.4705
51,0.6972,0.4783,0.4724
52,0.6941,0.5217,0.4667
53,0.6891,0.5217,0.3771
54,0.6886,0.5435,0.3848
55,0.6908,0.5435,0.4343
56,0.6830,0.5435,0.3924
57,0.6945,0.5217,0.3867
58,0.6862,0.5435,0.3867
59,0.6799,0.5435,0.3867
60,0.6887,0.5435,0.3924
61,0.6978,0.5435,0.3848
62,0.6851,0.5217,0.3848
63,0.6851,0.5435,0.3829
64,0.6774,0.5217,0.3810
65,0.6906,0.5217,0.3752
66,0.6886,0.5217,0.3848
67,0.6850,0.5217,0.3924
68,0.6793,0.5217,0.3752
69,0.6896,0.5217,0.3752
70,0.6916,0.5217,0.3752
71,0.6906,0.5217,0.3771
72,0.6891,0.5217,0.3867
73,0.6817,0.5217,0.3752
74,0.6880,0.5217,0.3714
75,0.7031,0.5435,0.3810
76,0.7002,0.5435,0.3790
77,0.6941,0.5217,0.4533
78,0.6878,0.4783,0.4686
79,0.6891,0.5000,0.4667
80,0.6796,0.5217,0.4590
81,0.6873,0.5217,0.4495
82,0.6990,0.5435,0.3905
83,0.6919,0.5217,0.4533
84,0.6970,0.5217,0.4267
85,0.6875,0.5435,0.3867
86,0.6932,0.5435,0.3924
87,0.6788,0.5435,0.3810
88,0.6914,0.5435,0.4286
89,0.6920,0.5217,0.4019
90,0.6952,0.5435,0.3886
91,0.6904,0.5217,0.3962
92,0.6944,0.5435,0.3905
93,0.6925,0.5435,0.4152
94,0.6896,0.5435,0.3867
95,0.6972,0.5217,0.4495
96,0.6883,0.5217,0.4610
97,0.6869,0.5217,0.4590
98,0.6937,0.5217,0.4238
99,0.6750,0.5217,0.3848
100,0.6900,0.5217,0.3771
