Epoch,Loss,TestAcc,TestAuc
1,0.7546,0.3393,0.5441
2,0.7071,0.6607,0.5718
3,0.6883,0.6607,0.5889
4,0.6541,0.6607,0.5462
5,0.6481,0.6607,0.5427
6,0.6006,0.6607,0.5427
7,0.6279,0.6607,0.5420
8,0.6356,0.6607,0.5427
9,0.5991,0.6607,0.5441
10,0.7160,0.6607,0.6337
11,0.6278,0.6607,0.5676
12,0.6268,0.6607,0.6174
13,0.6148,0.6607,0.6259
14,0.6183,0.6607,0.6593
15,0.5959,0.6607,0.5711
16,0.6150,0.6607,0.5398
17,0.6079,0.6607,0.5427
18,0.6176,0.6607,0.6166
19,0.6057,0.6607,0.6522
20,0.6266,0.6607,0.5583
21,0.6021,0.6607,0.5028
22,0.6070,0.6607,0.5064
23,0.6131,0.6607,0.4744
24,0.5929,0.6607,0.4737
25,0.6049,0.6607,0.4730
26,0.6088,0.6607,0.4758
27,0.6134,0.6607,0.4957
28,0.6089,0.6607,0.5078
29,0.6036,0.6607,0.4872
30,0.6056,0.6607,0.4943
31,0.5977,0.6607,0.5078
32,0.6121,0.6607,0.4872
33,0.6142,0.6607,0.4858
34,0.6087,0.6607,0.4730
35,0.6016,0.6607,0.4772
36,0.6047,0.6607,0.4758
37,0.6041,0.6607,0.4630
38,0.6041,0.6607,0.4659
39,0.5962,0.6607,0.4673
40,0.6074,0.6607,0.4680
41,0.6227,0.6607,0.4687
42,0.6133,0.6607,0.4744
43,0.6077,0.6607,0.4772
44,0.6235,0.6607,0.5228
45,0.6164,0.6607,0.6017
46,0.6331,0.6607,0.5071
47,0.6116,0.6607,0.5128
48,0.6053,0.6607,0.5149
49,0.6078,0.6607,0.5156
50,0.6043,0.6607,0.5149
51,0.5985,0.6607,0.5313
52,0.6035,0.6607,0.5441
53,0.5979,0.6607,0.5654
54,0.6059,0.6607,0.6607
55,0.6084,0.6607,0.6053
56,0.6039,0.6607,0.5028
57,0.6030,0.6607,0.4872
58,0.6056,0.6607,0.4815
59,0.6042,0.6607,0.4801
60,0.6005,0.6607,0.4801
61,0.6076,0.6607,0.4808
62,0.6017,0.6607,0.4858
63,0.6112,0.6607,0.5014
64,0.6097,0.6607,0.5448
65,0.6069,0.6607,0.5014
66,0.6008,0.6607,0.4829
67,0.5996,0.6607,0.4794
68,0.6096,0.6607,0.4872
69,0.6045,0.6607,0.4986
70,0.6020,0.6607,0.5512
71,0.6049,0.6607,0.5455
72,0.6006,0.6607,0.5299
73,0.6051,0.6607,0.5327
74,0.6042,0.6607,0.4730
75,0.6243,0.6607,0.4744
76,0.6028,0.6607,0.4787
77,0.6154,0.6607,0.4815
78,0.6043,0.6607,0.4851
79,0.6045,0.6607,0.4865
80,0.5996,0.6607,0.4858
81,0.6081,0.6607,0.4808
82,0.6156,0.6607,0.4815
83,0.5999,0.6607,0.4829
84,0.6058,0.6607,0.4836
85,0.6033,0.6607,0.4829
86,0.6023,0.6607,0.4815
87,0.6055,0.6607,0.4808
88,0.6048,0.6607,0.4815
89,0.6083,0.6607,0.4829
90,0.6098,0.6607,0.5028
91,0.6045,0.6607,0.6408
92,0.6020,0.6607,0.5156
93,0.6020,0.6607,0.5028
94,0.6025,0.6607,0.5171
95,0.6039,0.6607,0.5597
96,0.6088,0.6607,0.4829
97,0.5992,0.6607,0.4801
98,0.6006,0.6607,0.4801
99,0.6090,0.6607,0.4801
100,0.6080,0.6607,0.4851
