Epoch,Loss,TestAcc,TestAuc
1,1.2341,0.6522,0.5764
2,0.7418,0.6522,0.5764
3,0.7037,0.6522,0.5736
4,0.6817,0.6522,0.5708
5,0.6687,0.6522,0.5727
6,0.6495,0.6522,0.5782
7,0.6627,0.6522,0.5773
8,0.6451,0.6522,0.5792
9,0.6455,0.6522,0.5792
10,0.6637,0.6522,0.5782
11,0.6652,0.6522,0.5782
12,0.6717,0.6522,0.5653
13,0.6559,0.6522,0.5755
14,0.6378,0.6522,0.5764
15,0.6479,0.6522,0.5764
16,0.6659,0.6522,0.5764
17,0.6535,0.6522,0.5764
18,0.6598,0.6522,0.5764
19,0.6506,0.6522,0.5764
20,0.6610,0.6522,0.5708
21,0.6452,0.6522,0.5745
22,0.6502,0.6522,0.5745
23,0.6502,0.6522,0.5708
24,0.6684,0.6522,0.5542
25,0.7134,0.6522,0.5505
26,0.6462,0.6522,0.5745
27,0.6611,0.6522,0.5764
28,0.6597,0.6522,0.5708
29,0.6465,0.6522,0.5755
30,0.6511,0.6522,0.5782
31,0.6487,0.6522,0.5773
32,0.6519,0.6522,0.5773
33,0.6435,0.6522,0.5773
34,0.6699,0.6522,0.5810
35,0.6557,0.6522,0.5819
36,0.6572,0.6522,0.5792
37,0.6466,0.6522,0.5792
38,0.6412,0.6522,0.5792
39,0.6494,0.6522,0.5792
40,0.6515,0.6522,0.5819
41,0.6432,0.6522,0.5838
42,0.6436,0.6522,0.4282
43,0.6462,0.6522,0.4181
44,0.6566,0.6522,0.5856
45,0.6432,0.6522,0.5903
46,0.6605,0.6522,0.5875
47,0.6474,0.6522,0.5866
48,0.6469,0.6522,0.5856
49,0.6475,0.6522,0.5852
50,0.6526,0.6522,0.5829
51,0.6418,0.6522,0.5838
52,0.6504,0.6522,0.5838
53,0.6500,0.6522,0.5773
54,0.6539,0.6522,0.5727
55,0.6498,0.6522,0.5792
56,0.6511,0.6522,0.5569
57,0.6457,0.6522,0.5412
58,0.6480,0.6522,0.5106
59,0.6380,0.6522,0.5468
60,0.6510,0.6522,0.5569
61,0.6390,0.6522,0.5745
62,0.6493,0.6522,0.5653
63,0.6385,0.6522,0.5579
64,0.6426,0.6522,0.5653
65,0.6488,0.6522,0.4644
66,0.6527,0.6522,0.5662
67,0.6416,0.6522,0.5782
68,0.6451,0.6522,0.5653
69,0.6465,0.6522,0.5245
70,0.6472,0.6522,0.4764
71,0.6804,0.6522,0.5856
72,0.6478,0.6522,0.5847
73,0.6433,0.6522,0.5875
74,0.6592,0.6522,0.5875
75,0.6428,0.6522,0.5912
76,0.6477,0.6522,0.5907
77,0.6485,0.6522,0.5875
78,0.6484,0.6522,0.5847
79,0.6482,0.6522,0.5856
80,0.6377,0.6522,0.5884
81,0.6500,0.6522,0.5870
82,0.6395,0.6522,0.5884
83,0.6443,0.6522,0.5856
84,0.6474,0.6522,0.5838
85,0.6385,0.6522,0.5829
86,0.6478,0.6522,0.5829
87,0.6438,0.6522,0.5838
88,0.6514,0.6522,0.5755
89,0.6396,0.6522,0.5625
90,0.6408,0.6522,0.5764
91,0.6458,0.6522,0.5773
92,0.6409,0.6522,0.5736
93,0.6423,0.6522,0.5699
94,0.6495,0.6522,0.5810
95,0.6464,0.6522,0.5787
96,0.6482,0.6522,0.5764
97,0.6479,0.6522,0.5847
98,0.6466,0.6522,0.5810
99,0.6433,0.6522,0.5792
100,0.6525,0.6522,0.5819
