Epoch,Loss,TestAcc,TestAuc
1,0.9420,0.7885,0.4538
2,0.6446,0.7885,0.4576
3,0.5799,0.7885,0.4608
4,0.5707,0.7885,0.4608
5,0.5730,0.7885,0.4603
6,0.5663,0.7885,0.4630
7,0.5676,0.7885,0.4645
8,0.5478,0.7885,0.4650
9,0.5531,0.7885,0.4630
10,0.5569,0.7885,0.4632
11,0.5559,0.7885,0.4606
12,0.5548,0.7885,0.4596
13,0.5601,0.7885,0.4502
14,0.5477,0.7885,0.4887
15,0.5504,0.7885,0.4490
16,0.5479,0.7885,0.4549
17,0.5519,0.7885,0.4387
18,0.5517,0.7885,0.4584
19,0.5587,0.7885,0.4593
20,0.5456,0.7885,0.4692
21,0.5509,0.7885,0.5519
22,0.5483,0.7885,0.5489
23,0.5487,0.7885,0.4998
24,0.5491,0.7885,0.5232
25,0.5493,0.7885,0.5313
26,0.5458,0.7885,0.5360
27,0.5503,0.7885,0.5230
28,0.5482,0.7885,0.5313
29,0.5513,0.7885,0.5275
30,0.5474,0.7885,0.4746
31,0.5456,0.7885,0.5269
32,0.5493,0.7885,0.5276
33,0.5469,0.7885,0.4672
34,0.5507,0.7885,0.4713
35,0.5477,0.7885,0.4771
36,0.5520,0.7885,0.5370
37,0.5482,0.7885,0.5377
38,0.5484,0.7885,0.4933
39,0.5494,0.7885,0.5296
40,0.5482,0.7885,0.5185
41,0.5494,0.7885,0.4738
42,0.5508,0.7885,0.4610
43,0.5488,0.7885,0.4672
44,0.5518,0.7885,0.4622
45,0.5472,0.7885,0.4674
46,0.5474,0.7885,0.4685
47,0.5467,0.7885,0.4624
48,0.5493,0.7885,0.4608
49,0.5482,0.7885,0.4722
50,0.5471,0.7885,0.4763
51,0.5491,0.7885,0.5106
52,0.5470,0.7885,0.4773
53,0.5462,0.7885,0.4755
54,0.5486,0.7885,0.4743
55,0.5480,0.7885,0.4763
56,0.5471,0.7885,0.4835
57,0.5475,0.7885,0.4739
58,0.5486,0.7885,0.4736
59,0.5456,0.7885,0.5487
60,0.5498,0.7885,0.4707
61,0.5472,0.7885,0.4853
62,0.5470,0.7885,0.5240
63,0.5480,0.7885,0.5169
64,0.5498,0.7885,0.4564
65,0.5469,0.7885,0.4860
66,0.5483,0.7885,0.4194
67,0.5488,0.7885,0.4805
68,0.5469,0.7885,0.5168
69,0.5479,0.7885,0.5172
70,0.5467,0.7885,0.4713
71,0.5474,0.7885,0.4697
72,0.5493,0.7885,0.5241
73,0.5478,0.7885,0.5278
74,0.5463,0.7885,0.5234
75,0.5474,0.7885,0.5212
76,0.5478,0.7885,0.4892
77,0.5463,0.7885,0.4589
78,0.5485,0.7885,0.4517
79,0.5464,0.7885,0.4682
80,0.5464,0.7885,0.4670
81,0.5471,0.7885,0.4633
82,0.5468,0.7885,0.4665
83,0.5461,0.7885,0.4685
84,0.5475,0.7885,0.4691
85,0.5468,0.7885,0.4677
86,0.5472,0.7885,0.4718
87,0.5452,0.7885,0.5064
88,0.5463,0.7885,0.4695
89,0.5464,0.7885,0.4845
90,0.5477,0.7885,0.4702
91,0.5461,0.7885,0.4680
92,0.5471,0.7885,0.4611
93,0.5474,0.7885,0.4554
94,0.5468,0.7885,0.5214
95,0.5472,0.7885,0.5298
96,0.5472,0.7885,0.5212
97,0.5470,0.7885,0.5222
98,0.5466,0.7885,0.4672
99,0.5456,0.7885,0.4729
100,0.5460,0.7885,0.5081
