Epoch,Loss,TestAcc,TestAuc
1,0.6660,0.8155,0.4148
2,0.5670,0.8155,0.4211
3,0.5414,0.8155,0.4248
4,0.5539,0.8155,0.4261
5,0.5589,0.8155,0.4511
6,0.5430,0.8155,0.4311
7,0.5363,0.8155,0.4361
8,0.5358,0.8155,0.4543
9,0.5360,0.8155,0.4630
10,0.5405,0.8155,0.4342
11,0.5389,0.8155,0.5683
12,0.5323,0.8155,0.6190
13,0.5321,0.8155,0.6410
14,0.5448,0.8155,0.5777
15,0.5446,0.8155,0.5094
16,0.5300,0.8155,0.4749
17,0.5316,0.8155,0.4474
18,0.5354,0.8155,0.4787
19,0.5427,0.8155,0.4574
20,0.5373,0.8155,0.5138
21,0.5330,0.8155,0.4549
22,0.5331,0.8155,0.4292
23,0.5312,0.8155,0.4311
24,0.5325,0.8155,0.4605
25,0.5318,0.8155,0.5965
26,0.5360,0.8155,0.4518
27,0.5331,0.8155,0.4524
28,0.5293,0.8155,0.4599
29,0.5315,0.8155,0.4693
30,0.5314,0.8155,0.6172
31,0.5289,0.8155,0.5570
32,0.5376,0.8155,0.6416
33,0.5396,0.8155,0.4724
34,0.5286,0.8155,0.4436
35,0.5283,0.8155,0.4605
36,0.5363,0.8155,0.4680
37,0.5268,0.8155,0.4593
38,0.5422,0.8155,0.4330
39,0.5299,0.8155,0.6385
40,0.5432,0.8155,0.4317
41,0.5299,0.8155,0.4436
42,0.5346,0.8155,0.4486
43,0.5351,0.8155,0.4524
44,0.5314,0.8155,0.4361
45,0.5344,0.8155,0.4323
46,0.5317,0.8155,0.6297
47,0.5297,0.8155,0.4261
48,0.5410,0.8155,0.5564
49,0.5306,0.8155,0.4536
50,0.5326,0.8155,0.4430
51,0.5326,0.8155,0.5620
52,0.5341,0.8155,0.6103
53,0.5361,0.8155,0.6610
54,0.5300,0.8155,0.5313
55,0.5328,0.8155,0.5927
56,0.5303,0.8155,0.5533
57,0.5369,0.8155,0.4474
58,0.5341,0.8155,0.4480
59,0.5322,0.8155,0.5846
60,0.5355,0.8155,0.4655
61,0.5389,0.8155,0.6090
62,0.5314,0.8155,0.5382
63,0.5337,0.8155,0.4424
64,0.5303,0.8155,0.4217
65,0.5371,0.8155,0.4424
66,0.5263,0.8155,0.4467
67,0.5331,0.8155,0.4348
68,0.5350,0.8155,0.4536
69,0.5340,0.8155,0.4474
70,0.5334,0.8155,0.4248
71,0.5326,0.8155,0.4944
72,0.5348,0.8155,0.5871
73,0.5322,0.8155,0.5558
74,0.5317,0.8155,0.6216
75,0.5312,0.8155,0.5558
76,0.5354,0.8155,0.5627
77,0.5326,0.8155,0.6397
78,0.5304,0.8155,0.5952
79,0.5320,0.8155,0.5905
80,0.5311,0.8155,0.5858
81,0.5278,0.8155,0.5915
82,0.5351,0.8155,0.5827
83,0.5372,0.8155,0.6360
84,0.5311,0.8155,0.4975
85,0.5323,0.8155,0.6472
86,0.5326,0.8155,0.5714
87,0.5324,0.8155,0.4261
88,0.5324,0.8155,0.6300
89,0.5342,0.8155,0.5883
90,0.5321,0.8155,0.5862
91,0.5304,0.8155,0.5840
92,0.5335,0.8155,0.5858
93,0.5322,0.8155,0.5940
94,0.5300,0.8155,0.6053
95,0.5328,0.8155,0.5890
96,0.5327,0.8155,0.5902
97,0.5306,0.8155,0.5871
98,0.5323,0.8155,0.5833
99,0.5327,0.8155,0.5833
100,0.5329,0.8155,0.5833
