Epoch,Loss,TestAcc,TestAuc
1,0.6812,0.7111,0.4399
2,0.6058,0.7111,0.4543
3,0.6143,0.7111,0.4423
4,0.5800,0.7111,0.4591
5,0.5485,0.7111,0.4543
6,0.5707,0.7111,0.4639
7,0.5432,0.7111,0.4688
8,0.5835,0.7111,0.4663
9,0.5740,0.7111,0.4736
10,0.5635,0.7111,0.4760
11,0.5585,0.7111,0.4688
12,0.5931,0.7111,0.4808
13,0.5565,0.7111,0.4712
14,0.5573,0.7111,0.4591
15,0.5508,0.7111,0.4615
16,0.5649,0.7111,0.4519
17,0.5466,0.7111,0.4591
18,0.5531,0.7111,0.4591
19,0.5524,0.7111,0.4688
20,0.5648,0.7111,0.4808
21,0.5516,0.7111,0.4808
22,0.5540,0.7111,0.4856
23,0.5437,0.7111,0.4856
24,0.5505,0.7111,0.4832
25,0.5601,0.7111,0.4856
26,0.5465,0.7111,0.4976
27,0.5696,0.7111,0.5048
28,0.5637,0.7111,0.4856
29,0.5605,0.7111,0.4856
30,0.5513,0.7111,0.5240
31,0.5546,0.7111,0.5673
32,0.5415,0.7111,0.4784
33,0.5556,0.7111,0.4784
34,0.5679,0.7111,0.4760
35,0.5385,0.7111,0.4688
36,0.5534,0.7111,0.5000
37,0.5535,0.7111,0.6178
38,0.5479,0.7111,0.6538
39,0.5508,0.7111,0.4928
40,0.5497,0.7111,0.6250
41,0.5492,0.7111,0.5481
42,0.5607,0.7111,0.5481
43,0.5444,0.7111,0.5913
44,0.5556,0.7111,0.5913
45,0.5459,0.7111,0.5529
46,0.5541,0.7111,0.5577
47,0.5536,0.7111,0.5505
48,0.5458,0.7111,0.5577
49,0.5461,0.7111,0.6635
50,0.5526,0.7111,0.5769
51,0.5493,0.7111,0.4495
52,0.5478,0.7111,0.4567
53,0.5478,0.7111,0.4567
54,0.5468,0.7111,0.4639
55,0.5477,0.7111,0.4255
56,0.5485,0.7111,0.4543
57,0.5560,0.7111,0.4543
58,0.5542,0.7111,0.4760
59,0.5528,0.7111,0.5144
60,0.5566,0.7111,0.4255
61,0.5473,0.7111,0.4543
62,0.5482,0.7111,0.4567
63,0.5519,0.7111,0.4615
64,0.5444,0.7111,0.4712
65,0.5417,0.7111,0.4712
66,0.5498,0.7111,0.4736
67,0.5484,0.7111,0.5433
68,0.5474,0.7111,0.4736
69,0.5520,0.7111,0.4760
70,0.5486,0.7111,0.4615
71,0.5505,0.7111,0.4471
72,0.5498,0.7111,0.4447
73,0.5506,0.7111,0.4519
74,0.5524,0.7111,0.4495
75,0.5450,0.7111,0.4543
76,0.5478,0.7111,0.4519
77,0.5503,0.7111,0.4567
78,0.5486,0.7111,0.4591
79,0.5488,0.7111,0.4555
80,0.5476,0.7111,0.4519
81,0.5460,0.7111,0.4519
82,0.5488,0.7111,0.4495
83,0.5487,0.7111,0.4495
84,0.5463,0.7111,0.4495
85,0.5417,0.7111,0.4519
86,0.5518,0.7111,0.4519
87,0.5484,0.7111,0.4495
88,0.5470,0.7111,0.4495
89,0.5514,0.7111,0.4519
90,0.5475,0.7111,0.4567
91,0.5513,0.7111,0.4639
92,0.5498,0.7111,0.4567
93,0.5483,0.7111,0.4543
94,0.5482,0.7111,0.4567
95,0.5456,0.7111,0.4567
96,0.5456,0.7111,0.4567
97,0.5477,0.7111,0.4567
98,0.5530,0.7111,0.4567
99,0.5474,0.7111,0.4591
100,0.5466,0.7111,0.4688
