Epoch,Loss,TestAcc,TestAuc
1,1.1016,0.4630,0.4276
2,0.8426,0.4630,0.4234
3,0.6989,0.5185,0.5697
4,0.7256,0.5926,0.5972
5,0.7509,0.4630,0.3834
6,0.7126,0.4630,0.3931
7,0.7092,0.5370,0.5200
8,0.7196,0.5370,0.5117
9,0.7165,0.4630,0.3945
10,0.7126,0.5370,0.5959
11,0.6882,0.4630,0.3972
12,0.7067,0.4630,0.4097
13,0.6953,0.5370,0.4303
14,0.7067,0.5370,0.5848
15,0.7009,0.5370,0.6014
16,0.6988,0.5370,0.6248
17,0.6934,0.5370,0.6041
18,0.7058,0.5370,0.6041
19,0.6972,0.4630,0.4041
20,0.7067,0.5370,0.5959
21,0.6972,0.5370,0.5848
22,0.6958,0.5370,0.5324
23,0.7154,0.5370,0.5338
24,0.6859,0.5370,0.5407
25,0.7123,0.5370,0.5434
26,0.6917,0.5370,0.5572
27,0.6824,0.5370,0.5324
28,0.6983,0.5000,0.5614
29,0.7062,0.5370,0.5559
30,0.6895,0.5370,0.5945
31,0.6898,0.5370,0.5903
32,0.6965,0.5370,0.5379
33,0.6996,0.4630,0.4221
34,0.6953,0.5370,0.5669
35,0.6989,0.5370,0.5586
36,0.6908,0.5185,0.5931
37,0.7034,0.4630,0.4634
38,0.6888,0.5370,0.5738
39,0.6954,0.5185,0.6055
40,0.6839,0.4630,0.4041
41,0.7088,0.4630,0.4262
42,0.6917,0.5185,0.5159
43,0.6946,0.5370,0.5490
44,0.6896,0.5370,0.5641
45,0.6978,0.4630,0.4607
46,0.6995,0.5185,0.5945
47,0.6901,0.5370,0.6000
48,0.6954,0.5370,0.5697
49,0.6973,0.5370,0.5338
50,0.7086,0.5370,0.5476
51,0.6948,0.4630,0.4828
52,0.6944,0.5370,0.6193
53,0.6954,0.5370,0.6262
54,0.6932,0.4630,0.6524
55,0.6950,0.4815,0.6234
56,0.6900,0.5370,0.5628
57,0.6884,0.5370,0.5655
58,0.6905,0.5370,0.5559
59,0.6900,0.5370,0.5641
60,0.6902,0.5370,0.5710
61,0.6934,0.5370,0.5462
62,0.6816,0.5370,0.5393
63,0.7036,0.5370,0.5379
64,0.6942,0.5370,0.5297
65,0.6952,0.5370,0.5310
66,0.6978,0.5370,0.5324
67,0.6956,0.4815,0.5807
68,0.7024,0.5370,0.5297
69,0.6911,0.5370,0.5476
70,0.6893,0.5370,0.5379
71,0.6918,0.5370,0.5517
72,0.6902,0.5370,0.5421
73,0.6887,0.5370,0.5393
74,0.6900,0.5370,0.5379
75,0.6906,0.5370,0.5338
76,0.6898,0.5370,0.5490
77,0.6964,0.5370,0.5490
78,0.6826,0.5370,0.5545
79,0.6850,0.5370,0.5600
80,0.6858,0.5370,0.5352
81,0.6866,0.5370,0.5393
82,0.7045,0.5370,0.5352
83,0.6950,0.5370,0.5297
84,0.7018,0.5370,0.5821
85,0.6903,0.5185,0.5338
86,0.6937,0.5370,0.5738
87,0.6906,0.5370,0.5359
88,0.7029,0.5370,0.5531
89,0.6973,0.5370,0.4800
90,0.6892,0.5370,0.5917
91,0.6915,0.5370,0.5862
92,0.6918,0.5370,0.5697
93,0.6918,0.5370,0.5669
94,0.6843,0.5370,0.5641
95,0.6915,0.5370,0.5655
96,0.6873,0.5370,0.5503
97,0.6896,0.5370,0.5462
98,0.6950,0.5370,0.5462
99,0.6764,0.5370,0.5683
100,0.6989,0.5370,0.5614
