Epoch,Loss,TestAcc,TestAuc
1,0.9758,0.6897,0.5667
2,0.6108,0.6897,0.6278
3,0.6419,0.6897,0.6278
4,0.6105,0.6897,0.6278
5,0.6420,0.6897,0.6222
6,0.5707,0.6897,0.6111
7,0.5864,0.6897,0.6111
8,0.6487,0.6897,0.6111
9,0.5710,0.6897,0.6111
10,0.5668,0.6897,0.6111
11,0.5706,0.6897,0.6111
12,0.5769,0.6897,0.6111
13,0.5650,0.6897,0.6111
14,0.5971,0.6897,0.6111
15,0.5439,0.6897,0.6111
16,0.5969,0.6897,0.6111
17,0.5303,0.6897,0.6111
18,0.5950,0.6897,0.6111
19,0.5612,0.6897,0.6111
20,0.5614,0.6897,0.6056
21,0.6080,0.6897,0.5889
22,0.5981,0.6897,0.5833
23,0.5591,0.6897,0.5389
24,0.5553,0.6897,0.5889
25,0.5930,0.6897,0.5889
26,0.5530,0.6897,0.5889
27,0.5636,0.6897,0.5889
28,0.5555,0.6897,0.5833
29,0.5645,0.6897,0.5722
30,0.5527,0.6897,0.6000
31,0.5500,0.6897,0.6000
32,0.5477,0.6897,0.5889
33,0.5548,0.6897,0.5889
34,0.5675,0.6897,0.5167
35,0.5646,0.6897,0.4722
36,0.5690,0.6897,0.4778
37,0.5686,0.6897,0.5278
38,0.5412,0.6897,0.5944
39,0.5684,0.6897,0.5833
40,0.5673,0.6897,0.5167
41,0.5665,0.6897,0.4778
42,0.5443,0.6897,0.4556
43,0.5426,0.6897,0.4444
44,0.5634,0.6897,0.4611
45,0.5518,0.6897,0.5333
46,0.5550,0.6897,0.5472
47,0.5533,0.6897,0.5000
48,0.5554,0.6897,0.4611
49,0.5468,0.6897,0.4556
50,0.5359,0.6897,0.4556
51,0.5617,0.6897,0.4667
52,0.5810,0.6897,0.5389
53,0.5488,0.6897,0.4667
54,0.5693,0.6897,0.4333
55,0.5756,0.6897,0.3833
56,0.5598,0.6897,0.3778
57,0.5627,0.6897,0.4111
58,0.5477,0.6897,0.4500
59,0.5817,0.6897,0.4722
60,0.5479,0.6897,0.4556
61,0.5501,0.6897,0.4222
62,0.5735,0.6897,0.3722
63,0.5639,0.6897,0.3722
64,0.5679,0.6897,0.3778
65,0.5716,0.6897,0.4000
66,0.5470,0.6897,0.3778
67,0.5722,0.6897,0.3833
68,0.5592,0.6897,0.3833
69,0.5562,0.6897,0.3778
70,0.5480,0.6897,0.3778
71,0.5815,0.6897,0.3889
72,0.5701,0.6897,0.3667
73,0.5627,0.6897,0.3611
74,0.5359,0.6897,0.4167
75,0.5611,0.6897,0.4167
76,0.5659,0.6897,0.4722
77,0.5727,0.6897,0.4722
78,0.5648,0.6897,0.4778
79,0.5629,0.6897,0.3722
80,0.5205,0.6897,0.4250
81,0.5676,0.6897,0.4056
82,0.5801,0.6897,0.4333
83,0.5434,0.6897,0.4611
84,0.5641,0.6897,0.4667
85,0.5720,0.6897,0.4667
86,0.5647,0.6897,0.4778
87,0.5743,0.6897,0.4500
88,0.5894,0.6897,0.5556
89,0.5333,0.6897,0.4667
90,0.5491,0.6897,0.4611
91,0.5464,0.6897,0.4667
92,0.5951,0.6897,0.4444
93,0.5708,0.6897,0.3667
94,0.5311,0.6897,0.3722
95,0.5579,0.6897,0.4000
96,0.5700,0.6897,0.3778
97,0.5673,0.6897,0.4056
98,0.5763,0.6897,0.4000
99,0.5383,0.6897,0.3667
100,0.5671,0.6897,0.3500
