Epoch,Loss,TestAcc,TestAuc
1,0.8336,0.5625,0.6032
2,0.7509,0.5625,0.4762
3,0.6796,0.5625,0.4762
4,0.6979,0.5625,0.5238
5,0.7180,0.5625,0.5714
6,0.6822,0.5625,0.5714
7,0.6633,0.5625,0.5714
8,0.5822,0.5625,0.5714
9,0.6531,0.5625,0.5714
10,0.6231,0.5625,0.5714
11,0.6976,0.5625,0.5714
12,0.6188,0.5625,0.5714
13,0.6140,0.5625,0.5556
14,0.6463,0.5625,0.5556
15,0.6054,0.5625,0.5556
16,0.6321,0.5625,0.5556
17,0.6050,0.5625,0.5714
18,0.7953,0.5625,0.5714
19,0.6900,0.5625,0.5714
20,0.6421,0.5625,0.5714
21,0.6805,0.5625,0.5556
22,0.6226,0.5625,0.5556
23,0.6441,0.5625,0.5556
24,0.6151,0.5625,0.5556
25,0.6447,0.5625,0.5556
26,0.6632,0.5625,0.5556
27,0.6215,0.5625,0.5556
28,0.6307,0.5625,0.5556
29,0.6237,0.5625,0.5556
30,0.6903,0.5625,0.5556
31,0.6777,0.5625,0.5556
32,0.6668,0.5625,0.5556
33,0.6287,0.5625,0.5556
34,0.6338,0.5625,0.5556
35,0.6323,0.5625,0.5556
36,0.6237,0.5625,0.5556
37,0.6551,0.5625,0.5556
38,0.6184,0.5625,0.5714
39,0.6262,0.5625,0.5714
40,0.6491,0.5625,0.5556
41,0.6452,0.5625,0.5556
42,0.6230,0.5625,0.5556
43,0.6157,0.5625,0.5556
44,0.6506,0.5625,0.5556
45,0.7114,0.5625,0.5556
46,0.6659,0.5625,0.5238
47,0.6597,0.5625,0.5238
48,0.6581,0.5625,0.5397
49,0.6329,0.5625,0.5238
50,0.6190,0.5625,0.5556
51,0.6497,0.5625,0.5556
52,0.6363,0.5625,0.5556
53,0.5951,0.5625,0.5556
54,0.6094,0.5625,0.5556
55,0.6016,0.5625,0.5556
56,0.6451,0.5625,0.5556
57,0.6352,0.5625,0.5556
58,0.6450,0.5625,0.5556
59,0.6540,0.5625,0.5556
60,0.5966,0.5625,0.5556
61,0.6241,0.5625,0.5556
62,0.6380,0.5625,0.5556
63,0.6405,0.5625,0.5556
64,0.6172,0.5625,0.5556
65,0.6210,0.5625,0.5556
66,0.6347,0.5625,0.5556
67,0.6303,0.5625,0.5556
68,0.6414,0.5625,0.5556
69,0.6499,0.5625,0.5556
70,0.6251,0.5625,0.5556
71,0.6806,0.5625,0.5556
72,0.6193,0.5625,0.5556
73,0.6264,0.5625,0.5556
74,0.6384,0.5625,0.5556
75,0.6231,0.5625,0.5556
76,0.6217,0.5625,0.5556
77,0.6430,0.5625,0.5556
78,0.6225,0.5625,0.5556
79,0.6393,0.5625,0.5556
80,0.6250,0.5625,0.5556
81,0.6411,0.5625,0.5556
82,0.6142,0.5625,0.5556
83,0.6394,0.5625,0.5556
84,0.6239,0.5625,0.5556
85,0.6199,0.5625,0.5556
86,0.6263,0.5625,0.5556
87,0.6634,0.5625,0.5556
88,0.6325,0.5625,0.5556
89,0.6087,0.5625,0.5556
90,0.6295,0.5625,0.5556
91,0.6247,0.5625,0.5556
92,0.6286,0.5625,0.5556
93,0.6280,0.5625,0.5556
94,0.6250,0.5625,0.5397
95,0.6213,0.5625,0.5397
96,0.6282,0.5625,0.5397
97,0.6182,0.5625,0.5397
98,0.6206,0.5625,0.5397
99,0.6280,0.5625,0.5397
100,0.6716,0.5625,0.5397
