Epoch,Loss,TestAcc,TestAuc
1,0.6877,0.8571,0.7483
2,0.5313,0.8571,0.7483
3,0.5329,0.8571,0.7483
4,0.5276,0.8571,0.7483
5,0.5315,0.8571,0.7517
6,0.5128,0.8571,0.7517
7,0.5188,0.8571,0.7483
8,0.5488,0.8571,0.7517
9,0.5196,0.8571,0.7517
10,0.5247,0.8571,0.7517
11,0.5463,0.8571,0.7517
12,0.5256,0.8571,0.7517
13,0.5310,0.8571,0.7517
14,0.5341,0.8571,0.7551
15,0.5467,0.8571,0.7585
16,0.5630,0.8571,0.7551
17,0.5520,0.8571,0.7551
18,0.5360,0.8571,0.7551
19,0.5303,0.8571,0.7551
20,0.5273,0.8571,0.7551
21,0.5390,0.8571,0.7551
22,0.5310,0.8571,0.7585
23,0.5330,0.8571,0.7551
24,0.5239,0.8571,0.7551
25,0.5393,0.8571,0.7551
26,0.5236,0.8571,0.7551
27,0.5313,0.8571,0.7585
28,0.5260,0.8571,0.7551
29,0.5273,0.8571,0.7585
30,0.5200,0.8571,0.7585
31,0.5238,0.8571,0.7585
32,0.5314,0.8571,0.7585
33,0.5258,0.8571,0.7551
34,0.5493,0.8571,0.7551
35,0.5277,0.8571,0.7551
36,0.5259,0.8571,0.7551
37,0.5259,0.8571,0.7551
38,0.5240,0.8571,0.7551
39,0.5229,0.8571,0.7551
40,0.5246,0.8571,0.7551
41,0.5223,0.8571,0.7517
42,0.5246,0.8571,0.7517
43,0.5210,0.8571,0.7551
44,0.5299,0.8571,0.7551
45,0.5190,0.8571,0.7551
46,0.5175,0.8571,0.7551
47,0.5284,0.8571,0.7551
48,0.5221,0.8571,0.7551
49,0.5265,0.8571,0.7551
50,0.5248,0.8571,0.7551
51,0.5243,0.8571,0.7551
52,0.5194,0.8571,0.7551
53,0.5281,0.8571,0.7551
54,0.5221,0.8571,0.7551
55,0.5258,0.8571,0.7551
56,0.5249,0.8571,0.7551
57,0.5237,0.8571,0.7551
58,0.5283,0.8571,0.7551
59,0.5237,0.8571,0.7551
60,0.5244,0.8571,0.7585
61,0.5289,0.8571,0.7585
62,0.5213,0.8571,0.7585
63,0.5290,0.8571,0.7585
64,0.5561,0.8571,0.7585
65,0.5139,0.8571,0.7585
66,0.5307,0.8571,0.7585
67,0.5296,0.8571,0.7585
68,0.5255,0.8571,0.7551
69,0.5346,0.8571,0.7551
70,0.5223,0.8571,0.7381
71,0.5398,0.8571,0.7483
72,0.5262,0.8571,0.7585
73,0.5286,0.8571,0.7551
74,0.5190,0.8571,0.7551
75,0.5190,0.8571,0.7585
76,0.5218,0.8571,0.7585
77,0.5222,0.8571,0.7585
78,0.5297,0.8571,0.7585
79,0.5308,0.8571,0.7585
80,0.5167,0.8571,0.7585
81,0.5302,0.8571,0.7585
82,0.5217,0.8571,0.7585
83,0.5208,0.8571,0.7585
84,0.5270,0.8571,0.7585
85,0.5235,0.8571,0.7585
86,0.5246,0.8571,0.7585
87,0.5211,0.8571,0.7585
88,0.5257,0.8571,0.7585
89,0.5241,0.8571,0.7585
90,0.5231,0.8571,0.7551
91,0.5277,0.8571,0.7551
92,0.5195,0.8571,0.7585
93,0.5266,0.8571,0.7585
94,0.5221,0.8571,0.7585
95,0.5245,0.8571,0.7585
96,0.5192,0.8571,0.7585
97,0.5322,0.8571,0.7585
98,0.5247,0.8571,0.7585
99,0.5241,0.8571,0.7585
100,0.5218,0.8571,0.7619
