Epoch,Loss,TestAcc,TestAuc
1,0.6845,0.5714,0.4074
2,0.7098,0.4286,0.4259
3,0.7156,0.4286,0.5926
4,0.7367,0.4286,0.6019
5,0.7057,0.5714,0.6574
6,0.7317,0.5714,0.4259
7,0.6958,0.5714,0.5093
8,0.7201,0.4286,0.6389
9,0.6800,0.4286,0.5926
10,0.7094,0.4286,0.5926
11,0.7237,0.4286,0.5926
12,0.6986,0.4286,0.5926
13,0.7024,0.4286,0.5926
14,0.6898,0.4286,0.5926
15,0.6887,0.4286,0.5926
16,0.6847,0.4286,0.5926
17,0.6865,0.6190,0.6111
18,0.6994,0.5714,0.6389
19,0.6942,0.4286,0.5926
20,0.7041,0.4286,0.5926
21,0.6860,0.4286,0.5926
22,0.6970,0.4286,0.5926
23,0.6864,0.4286,0.5926
24,0.7025,0.4286,0.5926
25,0.7031,0.4286,0.5926
26,0.6991,0.4286,0.5926
27,0.6981,0.4286,0.5926
28,0.6948,0.4286,0.5926
29,0.6918,0.4286,0.5926
30,0.7021,0.5714,0.6759
31,0.6909,0.5714,0.4815
32,0.6822,0.5714,0.4630
33,0.7019,0.5714,0.4352
34,0.6914,0.5714,0.4074
35,0.6899,0.5714,0.4074
36,0.6825,0.5714,0.4074
37,0.6882,0.5714,0.4074
38,0.7005,0.5714,0.4074
39,0.6951,0.4286,0.6111
40,0.6905,0.4286,0.5926
41,0.6907,0.4286,0.5926
42,0.7054,0.4286,0.5926
43,0.6961,0.4286,0.5926
44,0.6995,0.4286,0.6019
45,0.6928,0.4286,0.6204
46,0.6923,0.4286,0.4074
47,0.6865,0.6190,0.4074
48,0.7031,0.5714,0.4074
49,0.6954,0.5714,0.4074
50,0.6898,0.5714,0.4074
51,0.6938,0.5714,0.4074
52,0.6991,0.4286,0.4074
53,0.6901,0.4286,0.3426
54,0.6870,0.4286,0.3426
55,0.6825,0.4286,0.3426
56,0.6902,0.4286,0.3981
57,0.6953,0.4286,0.4074
58,0.6981,0.6190,0.4074
59,0.6986,0.5714,0.4074
60,0.6929,0.5714,0.4074
61,0.6984,0.2381,0.4074
62,0.6811,0.4286,0.4074
63,0.6939,0.4286,0.4074
64,0.6944,0.4286,0.4074
65,0.6997,0.4286,0.4074
66,0.7010,0.4286,0.4074
67,0.6904,0.4286,0.4074
68,0.6910,0.4286,0.4074
69,0.6883,0.4286,0.4074
70,0.6868,0.4286,0.3981
71,0.6948,0.4286,0.3796
72,0.6981,0.4286,0.3611
73,0.6918,0.4286,0.3519
74,0.6986,0.4286,0.3796
75,0.6870,0.4286,0.4074
76,0.6980,0.4286,0.4074
77,0.6985,0.4286,0.4074
78,0.6908,0.4286,0.4074
79,0.7012,0.5714,0.4074
80,0.6883,0.4286,0.4074
81,0.6939,0.4286,0.4074
82,0.7019,0.4286,0.4074
83,0.6907,0.4286,0.4074
84,0.7001,0.4286,0.4074
85,0.6912,0.4762,0.4074
86,0.6882,0.5714,0.4074
87,0.6937,0.5714,0.4074
88,0.6938,0.4286,0.4074
89,0.6941,0.5714,0.4074
90,0.6899,0.2857,0.4074
91,0.6931,0.5714,0.4074
92,0.6926,0.5714,0.4074
93,0.6961,0.5714,0.4074
94,0.7000,0.6190,0.4074
95,0.6996,0.4286,0.4074
96,0.6957,0.4286,0.4074
97,0.6918,0.4286,0.4074
98,0.6921,0.4286,0.3426
99,0.6937,0.4286,0.6111
100,0.6977,0.4286,0.5926
