Epoch,Loss,TestAcc,TestAuc
1,0.4470,0.8901,0.5312
2,0.3602,0.8901,0.5326
3,0.3561,0.8901,0.5365
4,0.3484,0.8901,0.5352
5,0.3352,0.8901,0.5341
6,0.3404,0.8901,0.5371
7,0.3342,0.8901,0.5348
8,0.3391,0.8901,0.5436
9,0.3351,0.8901,0.5417
10,0.3335,0.8901,0.5234
11,0.3387,0.8901,0.4723
12,0.3323,0.8901,0.5505
13,0.3328,0.8901,0.5308
14,0.3304,0.8901,0.5280
15,0.3676,0.8901,0.4817
16,0.3407,0.8901,0.6181
17,0.3340,0.8901,0.5722
18,0.3372,0.8901,0.5819
19,0.3332,0.8901,0.5817
20,0.3329,0.8901,0.6470
21,0.3325,0.8901,0.5994
22,0.3302,0.8901,0.5526
23,0.3353,0.8901,0.5687
24,0.3286,0.8901,0.5889
25,0.3315,0.8901,0.5643
26,0.3299,0.8901,0.5717
27,0.3324,0.8901,0.5852
28,0.3303,0.8901,0.5785
29,0.3306,0.8901,0.5614
30,0.3300,0.8901,0.5513
31,0.3294,0.8901,0.5410
32,0.3288,0.8901,0.5300
33,0.3305,0.8901,0.5394
34,0.3305,0.8901,0.5474
35,0.3312,0.8901,0.4689
36,0.3304,0.8901,0.5454
37,0.3293,0.8901,0.5566
38,0.3314,0.8901,0.4809
39,0.3289,0.8901,0.4722
40,0.3321,0.8901,0.5456
41,0.3296,0.8901,0.5790
42,0.3289,0.8901,0.5012
43,0.3298,0.8901,0.5368
44,0.3305,0.8901,0.5255
45,0.3299,0.8901,0.5300
46,0.3307,0.8901,0.5271
47,0.3295,0.8901,0.5274
48,0.3310,0.8901,0.5301
49,0.3300,0.8901,0.5324
50,0.3297,0.8901,0.5329
51,0.3287,0.8901,0.5317
52,0.3306,0.8901,0.4751
53,0.3305,0.8901,0.4700
54,0.3290,0.8901,0.5384
55,0.3307,0.8901,0.5359
56,0.3323,0.8901,0.5269
57,0.3305,0.8901,0.5297
58,0.3301,0.8901,0.5496
59,0.3286,0.8901,0.5425
60,0.3286,0.8901,0.5351
61,0.3304,0.8901,0.5302
62,0.3302,0.8901,0.5204
63,0.3300,0.8901,0.5175
64,0.3293,0.8901,0.5246
65,0.3300,0.8901,0.5292
66,0.3290,0.8901,0.4984
67,0.3298,0.8901,0.4391
68,0.3298,0.8901,0.4135
69,0.3296,0.8901,0.4405
70,0.3293,0.8901,0.3941
71,0.3291,0.8901,0.4517
72,0.3288,0.8901,0.4087
73,0.3284,0.8901,0.4572
74,0.3290,0.8901,0.4545
75,0.3296,0.8901,0.4424
76,0.3289,0.8901,0.4559
77,0.3298,0.8901,0.4426
78,0.3290,0.8901,0.4456
79,0.3295,0.8901,0.3963
80,0.3288,0.8901,0.5268
81,0.3294,0.8901,0.5299
82,0.3291,0.8901,0.5330
83,0.3291,0.8901,0.5304
84,0.3291,0.8901,0.4271
85,0.3292,0.8901,0.4592
86,0.3292,0.8901,0.5219
87,0.3292,0.8901,0.4527
88,0.3291,0.8901,0.4548
89,0.3296,0.8901,0.4653
90,0.3291,0.8901,0.4591
91,0.3290,0.8901,0.5280
92,0.3288,0.8901,0.5118
93,0.3289,0.8901,0.4333
94,0.3288,0.8901,0.4375
95,0.3289,0.8901,0.4135
96,0.3291,0.8901,0.5062
97,0.3290,0.8901,0.5178
98,0.3291,0.8901,0.4555
99,0.3288,0.8901,0.4550
100,0.3295,0.8901,0.4529
