Epoch,Loss,TestAcc,TestAuc
1,0.5498,0.8665,0.4863
2,0.3989,0.8665,0.4847
3,0.3867,0.8665,0.4797
4,0.3711,0.8665,0.4762
5,0.3632,0.8665,0.4805
6,0.3629,0.8665,0.4744
7,0.3648,0.8665,0.4754
8,0.3581,0.8665,0.4808
9,0.3602,0.8665,0.4839
10,0.3592,0.8665,0.4789
11,0.3560,0.8665,0.4810
12,0.3560,0.8665,0.4774
13,0.3725,0.8665,0.5109
14,0.3605,0.8665,0.5108
15,0.3550,0.8665,0.4879
16,0.3544,0.8665,0.4920
17,0.3568,0.8665,0.4836
18,0.3524,0.8665,0.4843
19,0.3555,0.8665,0.4709
20,0.3534,0.8665,0.4805
21,0.3554,0.8665,0.4735
22,0.3538,0.8665,0.4710
23,0.3525,0.8665,0.4713
24,0.3506,0.8665,0.4850
25,0.3543,0.8665,0.4839
26,0.3525,0.8665,0.4800
27,0.3532,0.8665,0.4827
28,0.3539,0.8665,0.4713
29,0.3528,0.8665,0.4602
30,0.3513,0.8665,0.4612
31,0.3518,0.8665,0.4804
32,0.3536,0.8665,0.4725
33,0.3520,0.8665,0.4792
34,0.3527,0.8665,0.4650
35,0.3507,0.8665,0.4607
36,0.3519,0.8665,0.4796
37,0.3535,0.8665,0.4813
38,0.3547,0.8665,0.4785
39,0.3522,0.8665,0.4763
40,0.3517,0.8665,0.4750
41,0.3524,0.8665,0.4741
42,0.3536,0.8665,0.4747
43,0.3532,0.8665,0.4739
44,0.3535,0.8665,0.4562
45,0.3515,0.8665,0.4547
46,0.3528,0.8665,0.4676
47,0.3523,0.8665,0.4072
48,0.3525,0.8665,0.4649
49,0.3517,0.8665,0.4714
50,0.3525,0.8665,0.4744
51,0.3513,0.8665,0.4353
52,0.3518,0.8665,0.4693
53,0.3513,0.8665,0.4503
54,0.3526,0.8665,0.4095
55,0.3522,0.8665,0.4057
56,0.3518,0.8665,0.4328
57,0.3528,0.8665,0.4568
58,0.3523,0.8665,0.4745
59,0.3525,0.8665,0.4774
60,0.3522,0.8665,0.4773
61,0.3519,0.8665,0.4776
62,0.3516,0.8665,0.4736
63,0.3517,0.8665,0.4630
64,0.3514,0.8665,0.4063
65,0.3528,0.8665,0.4931
66,0.3516,0.8665,0.4505
67,0.3508,0.8665,0.4520
68,0.3509,0.8665,0.4581
69,0.3517,0.8665,0.4707
70,0.3516,0.8665,0.4704
71,0.3538,0.8665,0.4705
72,0.3514,0.8665,0.4653
73,0.3522,0.8665,0.4549
74,0.3523,0.8665,0.4683
75,0.3516,0.8665,0.4698
76,0.3516,0.8665,0.4702
77,0.3510,0.8665,0.4075
78,0.3523,0.8665,0.4027
79,0.3516,0.8665,0.4141
80,0.3520,0.8665,0.4052
81,0.3516,0.8665,0.4689
82,0.3513,0.8665,0.4507
83,0.3513,0.8665,0.4285
84,0.3517,0.8665,0.4557
85,0.3519,0.8665,0.4248
86,0.3519,0.8665,0.4619
87,0.3513,0.8665,0.4007
88,0.3512,0.8665,0.4527
89,0.3519,0.8665,0.4820
90,0.3513,0.8665,0.4072
91,0.3513,0.8665,0.4010
92,0.3513,0.8665,0.4636
93,0.3516,0.8665,0.4749
94,0.3514,0.8665,0.4783
95,0.3519,0.8665,0.4909
96,0.3522,0.8665,0.4837
97,0.3510,0.8665,0.4567
98,0.3524,0.8665,0.4619
99,0.3514,0.8665,0.4533
100,0.3509,0.8665,0.4685
