Epoch,Loss,TestAcc,TestAuc
1,0.2423,0.9490,0.6073
2,0.2123,0.9490,0.6030
3,0.2149,0.9490,0.6123
4,0.2084,0.9490,0.5998
5,0.2092,0.9490,0.4323
6,0.2129,0.9490,0.6304
7,0.2067,0.9490,0.6209
8,0.2090,0.9490,0.6111
9,0.2068,0.9490,0.6345
10,0.2066,0.9490,0.6056
11,0.2061,0.9490,0.6054
12,0.2050,0.9490,0.6058
13,0.2044,0.9490,0.5989
14,0.2051,0.9490,0.6078
15,0.2046,0.9490,0.5761
16,0.2049,0.9490,0.5912
17,0.2048,0.9490,0.6090
18,0.2041,0.9490,0.5958
19,0.2050,0.9490,0.6101
20,0.2045,0.9490,0.6141
21,0.2051,0.9490,0.6137
22,0.2046,0.9490,0.6266
23,0.2042,0.9490,0.6083
24,0.2043,0.9490,0.6099
25,0.2043,0.9490,0.4236
26,0.2043,0.9490,0.6056
27,0.2042,0.9490,0.4103
28,0.2041,0.9490,0.6114
29,0.2040,0.9490,0.3916
30,0.2041,0.9490,0.4041
31,0.2041,0.9490,0.4069
32,0.2041,0.9490,0.4022
33,0.2041,0.9490,0.4183
34,0.2040,0.9490,0.6040
35,0.2040,0.9490,0.6055
36,0.2041,0.9490,0.6165
37,0.2041,0.9490,0.4003
38,0.2041,0.9490,0.6050
39,0.2041,0.9490,0.3985
40,0.2041,0.9490,0.3960
41,0.2040,0.9490,0.4158
42,0.2040,0.9490,0.3990
43,0.2040,0.9490,0.3985
44,0.2040,0.9490,0.6046
45,0.2040,0.9490,0.5960
46,0.2040,0.9490,0.5444
47,0.2041,0.9490,0.5809
48,0.2040,0.9490,0.4496
49,0.2041,0.9490,0.6019
50,0.2041,0.9490,0.4165
51,0.2040,0.9490,0.5000
52,0.2040,0.9490,0.5800
53,0.2041,0.9490,0.4383
54,0.2040,0.9490,0.5498
55,0.2039,0.9490,0.5000
56,0.2040,0.9490,0.5000
57,0.2040,0.9490,0.5000
58,0.2040,0.9490,0.5033
59,0.2058,0.9490,0.6089
60,0.2053,0.9490,0.3594
61,0.2047,0.9490,0.3964
62,0.2071,0.9490,0.3358
63,0.2042,0.9490,0.6055
64,0.2049,0.9490,0.5993
65,0.2051,0.9490,0.4854
66,0.2039,0.9490,0.6342
67,0.2041,0.9490,0.6062
68,0.2040,0.9490,0.6075
69,0.2041,0.9490,0.6003
70,0.2041,0.9490,0.6029
71,0.2040,0.9490,0.6047
72,0.2041,0.9490,0.6068
73,0.2040,0.9490,0.5980
74,0.2040,0.9490,0.6013
75,0.2040,0.9490,0.6026
76,0.2040,0.9490,0.6021
77,0.2041,0.9490,0.6044
78,0.2040,0.9490,0.6020
79,0.2042,0.9490,0.6018
80,0.2040,0.9490,0.6021
81,0.2040,0.9490,0.6021
82,0.2040,0.9490,0.6017
83,0.2040,0.9490,0.3965
84,0.2040,0.9490,0.3997
85,0.2040,0.9490,0.3989
86,0.2040,0.9490,0.4969
87,0.2040,0.9490,0.4371
88,0.2040,0.9490,0.5063
89,0.2041,0.9490,0.5091
90,0.2040,0.9490,0.5000
91,0.2040,0.9490,0.5048
92,0.2040,0.9490,0.5003
93,0.2040,0.9490,0.5027
94,0.2041,0.9490,0.5590
95,0.2040,0.9490,0.4456
96,0.2040,0.9490,0.5092
97,0.2040,0.9490,0.4978
98,0.2039,0.9490,0.5781
99,0.2042,0.9490,0.6039
100,0.2045,0.9490,0.3666
