Epoch,Loss,TestAcc,TestAuc
1,0.0643,0.9962,0.4934
2,0.0490,0.9962,0.4878
3,0.0451,0.9962,0.4860
4,0.0465,0.9962,0.4830
5,0.0452,0.9962,0.4844
6,0.0447,0.9962,0.4808
7,0.0434,0.9962,0.4862
8,0.0436,0.9962,0.4885
9,0.0432,0.9962,0.4844
10,0.0433,0.9962,0.4901
11,0.0430,0.9962,0.4891
12,0.0437,0.9962,0.4908
13,0.0423,0.9962,0.4683
14,0.0432,0.9962,0.4599
15,0.0422,0.9962,0.4909
16,0.0424,0.9962,0.4943
17,0.0416,0.9962,0.4939
18,0.0420,0.9962,0.4920
19,0.0423,0.9962,0.4922
20,0.0418,0.9962,0.4914
21,0.0433,0.9962,0.4917
22,0.0430,0.9962,0.4914
23,0.0414,0.9962,0.4870
24,0.0423,0.9962,0.4897
25,0.0422,0.9962,0.4910
26,0.0422,0.9962,0.4915
27,0.0426,0.9962,0.4920
28,0.0425,0.9962,0.4918
29,0.0426,0.9962,0.4917
30,0.0425,0.9962,0.4939
31,0.0422,0.9962,0.4936
32,0.0426,0.9962,0.4940
33,0.0425,0.9962,0.4908
34,0.0428,0.9962,0.4939
35,0.0424,0.9962,0.4936
36,0.0423,0.9962,0.4935
37,0.0421,0.9962,0.4928
38,0.0418,0.9962,0.4935
39,0.0431,0.9962,0.4939
40,0.0426,0.9962,0.4926
41,0.0428,0.9962,0.4922
42,0.0420,0.9962,0.4913
43,0.0421,0.9962,0.4941
44,0.0424,0.9962,0.4924
45,0.0419,0.9962,0.4946
46,0.0427,0.9962,0.4921
47,0.0423,0.9962,0.4919
48,0.0426,0.9962,0.4902
49,0.0428,0.9962,0.4931
50,0.0419,0.9962,0.5055
51,0.0421,0.9962,0.4940
52,0.0424,0.9962,0.4907
53,0.0435,0.9962,0.4941
54,0.0428,0.9962,0.4886
55,0.0424,0.9962,0.4905
56,0.0422,0.9962,0.4931
57,0.0420,0.9962,0.4921
58,0.0425,0.9962,0.4923
59,0.0425,0.9962,0.4924
60,0.0415,0.9962,0.4908
61,0.0433,0.9962,0.4905
62,0.0430,0.9962,0.4923
63,0.0426,0.9962,0.4916
64,0.0433,0.9962,0.4946
65,0.0418,0.9962,0.4941
66,0.0429,0.9962,0.4940
67,0.0420,0.9962,0.4931
68,0.0413,0.9962,0.4941
69,0.0422,0.9962,0.4947
70,0.0425,0.9962,0.4917
71,0.0422,0.9962,0.4922
72,0.0430,0.9962,0.4937
73,0.0422,0.9962,0.4946
74,0.0418,0.9962,0.4947
75,0.0417,0.9962,0.4947
76,0.0425,0.9962,0.4936
77,0.0419,0.9962,0.4930
78,0.0423,0.9962,0.4945
79,0.0419,0.9962,0.4934
80,0.0423,0.9962,0.4936
81,0.0421,0.9962,0.4931
82,0.0432,0.9962,0.4941
83,0.0422,0.9962,0.4936
84,0.0425,0.9962,0.4937
85,0.0419,0.9962,0.4938
86,0.0421,0.9962,0.4947
87,0.0421,0.9962,0.4935
88,0.0414,0.9962,0.4933
89,0.0426,0.9962,0.4940
90,0.0428,0.9962,0.4910
91,0.0430,0.9962,0.4920
92,0.0422,0.9962,0.4938
93,0.0426,0.9962,0.4937
94,0.0422,0.9962,0.4954
95,0.0421,0.9962,0.4945
96,0.0421,0.9962,0.4940
97,0.0418,0.9962,0.4939
98,0.0420,0.9962,0.4926
99,0.0416,0.9962,0.4924
100,0.0458,0.9962,0.4929
