Epoch,Loss,TestAcc,TestAuc
1,0.0959,0.9962,0.4937
2,0.0532,0.9962,0.4787
3,0.0492,0.9962,0.4782
4,0.0528,0.9962,0.4822
5,0.0483,0.9962,0.4905
6,0.0477,0.9962,0.4809
7,0.0460,0.9962,0.4750
8,0.0468,0.9962,0.4790
9,0.0452,0.9962,0.4841
10,0.0452,0.9962,0.4837
11,0.0448,0.9962,0.4790
12,0.0437,0.9962,0.4873
13,0.0443,0.9962,0.4882
14,0.0452,0.9962,0.4883
15,0.0452,0.9962,0.4890
16,0.0437,0.9962,0.5101
17,0.0443,0.9962,0.4893
18,0.0437,0.9962,0.4887
19,0.0438,0.9962,0.4935
20,0.0437,0.9962,0.4922
21,0.0436,0.9962,0.4833
22,0.0448,0.9962,0.4878
23,0.0439,0.9962,0.4911
24,0.0438,0.9962,0.4908
25,0.0436,0.9962,0.4931
26,0.0443,0.9962,0.4905
27,0.0442,0.9962,0.4908
28,0.0442,0.9962,0.4929
29,0.0436,0.9962,0.5135
30,0.0443,0.9962,0.4907
31,0.0436,0.9962,0.4930
32,0.0432,0.9962,0.4942
33,0.0433,0.9962,0.4946
34,0.0446,0.9962,0.4907
35,0.0441,0.9962,0.4920
36,0.0442,0.9962,0.4909
37,0.0445,0.9962,0.4911
38,0.0437,0.9962,0.4916
39,0.0437,0.9962,0.4933
40,0.0443,0.9962,0.4922
41,0.0447,0.9962,0.4920
42,0.0440,0.9962,0.4928
43,0.0436,0.9962,0.4906
44,0.0444,0.9962,0.4937
45,0.0435,0.9962,0.4909
46,0.0451,0.9962,0.4926
47,0.0442,0.9962,0.4916
48,0.0439,0.9962,0.4908
49,0.0440,0.9962,0.4919
50,0.0437,0.9962,0.4914
51,0.0446,0.9962,0.4981
52,0.0441,0.9962,0.4926
53,0.0442,0.9962,0.4919
54,0.0437,0.9962,0.4920
55,0.0438,0.9962,0.4941
56,0.0442,0.9962,0.4925
57,0.0445,0.9962,0.4936
58,0.0436,0.9962,0.4928
59,0.0437,0.9962,0.4929
60,0.0439,0.9962,0.4929
61,0.0444,0.9962,0.4922
62,0.0442,0.9962,0.4902
63,0.0445,0.9962,0.4923
64,0.0437,0.9962,0.4935
65,0.0437,0.9962,0.4936
66,0.0440,0.9962,0.4902
67,0.0436,0.9962,0.4911
68,0.0441,0.9962,0.4908
69,0.0439,0.9962,0.4918
70,0.0439,0.9962,0.4928
71,0.0437,0.9962,0.4922
72,0.0445,0.9962,0.4929
73,0.0444,0.9962,0.4913
74,0.0437,0.9962,0.4904
75,0.0443,0.9962,0.4892
76,0.0433,0.9962,0.4902
77,0.0435,0.9962,0.4881
78,0.0444,0.9962,0.4884
79,0.0439,0.9962,0.4903
80,0.0431,0.9962,0.4887
81,0.0436,0.9962,0.4907
82,0.0443,0.9962,0.4913
83,0.0441,0.9962,0.4918
84,0.0454,0.9962,0.4941
85,0.0445,0.9962,0.4919
86,0.0440,0.9962,0.4916
87,0.0443,0.9962,0.4919
88,0.0439,0.9962,0.4934
89,0.0431,0.9962,0.4910
90,0.0428,0.9962,0.4906
91,0.0436,0.9962,0.4934
92,0.0435,0.9962,0.4919
93,0.0438,0.9962,0.4943
94,0.0436,0.9962,0.4931
95,0.0440,0.9962,0.4923
96,0.0435,0.9962,0.4939
97,0.0436,0.9962,0.4915
98,0.0442,0.9962,0.4907
99,0.0436,0.9962,0.4918
100,0.0444,0.9962,0.4915
