Epoch,Loss,TestAcc,TestAuc
1,0.0878,0.9968,0.5808
2,0.0534,0.9968,0.5776
3,0.0484,0.9968,0.5771
4,0.0444,0.9968,0.5812
5,0.0447,0.9968,0.5786
6,0.0461,0.9968,0.5724
7,0.0445,0.9968,0.5707
8,0.0434,0.9968,0.5775
9,0.0429,0.9968,0.5676
10,0.0439,0.9968,0.5655
11,0.0417,0.9968,0.5685
12,0.0426,0.9968,0.5676
13,0.0421,0.9968,0.5671
14,0.0436,0.9968,0.5603
15,0.0431,0.9968,0.5719
16,0.0432,0.9968,0.5646
17,0.0418,0.9968,0.5723
18,0.0428,0.9968,0.5710
19,0.0419,0.9968,0.5942
20,0.0419,0.9968,0.5722
21,0.0419,0.9968,0.5720
22,0.0428,0.9968,0.5747
23,0.0421,0.9968,0.5736
24,0.0425,0.9968,0.5759
25,0.0424,0.9968,0.5760
26,0.0427,0.9968,0.5750
27,0.0417,0.9968,0.5717
28,0.0424,0.9968,0.5721
29,0.0425,0.9968,0.5784
30,0.0424,0.9968,0.5737
31,0.0420,0.9968,0.5712
32,0.0428,0.9968,0.5710
33,0.0424,0.9968,0.5718
34,0.0423,0.9968,0.5708
35,0.0423,0.9968,0.5689
36,0.0433,0.9968,0.5799
37,0.0430,0.9968,0.5694
38,0.0424,0.9968,0.5618
39,0.0427,0.9968,0.5717
40,0.0422,0.9968,0.5716
41,0.0420,0.9968,0.5775
42,0.0425,0.9968,0.5707
43,0.0424,0.9968,0.5752
44,0.0420,0.9968,0.5736
45,0.0424,0.9968,0.5737
46,0.0423,0.9968,0.5742
47,0.0427,0.9968,0.5742
48,0.0417,0.9968,0.5779
49,0.0417,0.9968,0.5770
50,0.0427,0.9968,0.5721
51,0.0421,0.9968,0.5717
52,0.0426,0.9968,0.5751
53,0.0430,0.9968,0.5779
54,0.0420,0.9968,0.5733
55,0.0422,0.9968,0.5745
56,0.0419,0.9968,0.5718
57,0.0424,0.9968,0.5772
58,0.0427,0.9968,0.5721
59,0.0421,0.9968,0.5762
60,0.0426,0.9968,0.5753
61,0.0423,0.9968,0.5820
62,0.0447,0.9968,0.5777
63,0.0422,0.9968,0.5762
64,0.0423,0.9968,0.5759
65,0.0418,0.9968,0.5741
66,0.0416,0.9968,0.5755
67,0.0429,0.9968,0.5772
68,0.0419,0.9968,0.5777
69,0.0432,0.9968,0.5737
70,0.0424,0.9968,0.5764
71,0.0421,0.9968,0.5736
72,0.0421,0.9968,0.5717
73,0.0427,0.9968,0.5719
74,0.0419,0.9968,0.5705
75,0.0431,0.9968,0.5705
76,0.0426,0.9968,0.5724
77,0.0421,0.9968,0.5764
78,0.0423,0.9968,0.5738
79,0.0421,0.9968,0.5748
80,0.0422,0.9968,0.5748
81,0.0425,0.9968,0.5755
82,0.0426,0.9968,0.5752
83,0.0427,0.9968,0.5746
84,0.0416,0.9968,0.5716
85,0.0422,0.9968,0.5721
86,0.0425,0.9968,0.5746
87,0.0432,0.9968,0.5719
88,0.0436,0.9968,0.5703
89,0.0428,0.9968,0.5697
90,0.0422,0.9968,0.5699
91,0.0422,0.9968,0.5710
92,0.0417,0.9968,0.5759
93,0.0423,0.9968,0.5690
94,0.0421,0.9968,0.5745
95,0.0427,0.9968,0.5755
96,0.0420,0.9968,0.5769
97,0.0421,0.9968,0.5765
98,0.0423,0.9968,0.5745
99,0.0420,0.9968,0.5752
100,0.0423,0.9968,0.5764
