Epoch,Loss,TestAcc,TestAuc
1,0.1951,0.9584,0.5768
2,0.1674,0.9584,0.5659
3,0.1622,0.9584,0.5650
4,0.1616,0.9584,0.5683
5,0.1651,0.9584,0.6080
6,0.1608,0.9584,0.5774
7,0.1579,0.9584,0.5948
8,0.1590,0.9584,0.5795
9,0.1581,0.9584,0.3919
10,0.1584,0.9584,0.5722
11,0.1580,0.9584,0.5894
12,0.1579,0.9584,0.5947
13,0.1580,0.9584,0.3849
14,0.1573,0.9584,0.5779
15,0.1573,0.9584,0.3783
16,0.1573,0.9584,0.4022
17,0.1569,0.9584,0.5878
18,0.1568,0.9584,0.5850
19,0.1571,0.9584,0.5871
20,0.1576,0.9584,0.6299
21,0.1567,0.9584,0.5750
22,0.1567,0.9584,0.5844
23,0.1576,0.9584,0.3930
24,0.1571,0.9584,0.5850
25,0.1573,0.9584,0.5796
26,0.1569,0.9584,0.5764
27,0.1571,0.9584,0.6028
28,0.1581,0.9584,0.5894
29,0.1568,0.9584,0.4062
30,0.1578,0.9584,0.5833
31,0.1570,0.9584,0.3938
32,0.1569,0.9584,0.5824
33,0.1567,0.9584,0.5799
34,0.1570,0.9584,0.4141
35,0.1571,0.9584,0.5219
36,0.1571,0.9584,0.5687
37,0.1568,0.9584,0.5672
38,0.1576,0.9584,0.5752
39,0.1570,0.9584,0.5858
40,0.1567,0.9584,0.5876
41,0.1571,0.9584,0.5890
42,0.1567,0.9584,0.5888
43,0.1575,0.9584,0.5837
44,0.1573,0.9584,0.5885
45,0.1569,0.9584,0.5864
46,0.1567,0.9584,0.5846
47,0.1566,0.9584,0.5749
48,0.1566,0.9584,0.5813
49,0.1567,0.9584,0.5879
50,0.1569,0.9584,0.5829
51,0.1570,0.9584,0.5822
52,0.1571,0.9584,0.5829
53,0.1582,0.9584,0.5806
54,0.1575,0.9584,0.5874
55,0.1567,0.9584,0.5861
56,0.1568,0.9584,0.5866
57,0.1567,0.9584,0.5783
58,0.1569,0.9584,0.5792
59,0.1566,0.9584,0.5868
60,0.1567,0.9584,0.5818
61,0.1567,0.9584,0.5762
62,0.1568,0.9584,0.5774
63,0.1567,0.9584,0.5781
64,0.1569,0.9584,0.5730
65,0.1569,0.9584,0.5806
66,0.1564,0.9584,0.5780
67,0.1566,0.9584,0.5794
68,0.1566,0.9584,0.5800
69,0.1566,0.9584,0.5812
70,0.1567,0.9584,0.5838
71,0.1567,0.9584,0.4283
72,0.1565,0.9584,0.5779
73,0.1566,0.9584,0.5752
74,0.1575,0.9584,0.5857
75,0.1567,0.9584,0.5800
76,0.1566,0.9584,0.5787
77,0.1566,0.9584,0.5856
78,0.1565,0.9584,0.5764
79,0.1565,0.9584,0.5766
80,0.1564,0.9584,0.5817
81,0.1565,0.9584,0.5736
82,0.1565,0.9584,0.4171
83,0.1565,0.9584,0.4261
84,0.1565,0.9584,0.4257
85,0.1564,0.9584,0.5738
86,0.1565,0.9584,0.5737
87,0.1564,0.9584,0.5729
88,0.1565,0.9584,0.5899
89,0.1564,0.9584,0.5821
90,0.1565,0.9584,0.5808
91,0.1564,0.9584,0.5822
92,0.1565,0.9584,0.4265
93,0.1563,0.9584,0.5796
94,0.1566,0.9584,0.5823
95,0.1567,0.9584,0.5956
96,0.1568,0.9584,0.5784
97,0.1566,0.9584,0.5976
98,0.1564,0.9584,0.5739
99,0.1565,0.9584,0.4299
100,0.1564,0.9584,0.4311
