Epoch,Loss,TestAcc,TestAuc
1,0.2606,0.9408,0.5939
2,0.2349,0.9408,0.5961
3,0.2314,0.9408,0.5959
4,0.2265,0.9408,0.5915
5,0.2281,0.9408,0.5842
6,0.2285,0.9408,0.5858
7,0.2274,0.9408,0.5893
8,0.2265,0.9408,0.4155
9,0.2284,0.9408,0.5813
10,0.2261,0.9408,0.5868
11,0.2270,0.9408,0.5763
12,0.2256,0.9408,0.5544
13,0.2261,0.9408,0.5848
14,0.2254,0.9408,0.5840
15,0.2272,0.9408,0.5919
16,0.2255,0.9408,0.5884
17,0.2256,0.9408,0.5911
18,0.2256,0.9408,0.5922
19,0.2253,0.9408,0.5918
20,0.2264,0.9408,0.5898
21,0.2253,0.9408,0.5894
22,0.2258,0.9408,0.5886
23,0.2255,0.9408,0.5895
24,0.2246,0.9408,0.5858
25,0.2253,0.9408,0.6072
26,0.2251,0.9408,0.5893
27,0.2253,0.9408,0.5891
28,0.2252,0.9408,0.5784
29,0.2256,0.9408,0.3984
30,0.2251,0.9408,0.5852
31,0.2251,0.9408,0.5850
32,0.2251,0.9408,0.3776
33,0.2252,0.9408,0.4038
34,0.2251,0.9408,0.3745
35,0.2259,0.9408,0.4129
36,0.2257,0.9408,0.5878
37,0.2253,0.9408,0.5806
38,0.2252,0.9408,0.4230
39,0.2251,0.9408,0.4129
40,0.2251,0.9408,0.5817
41,0.2249,0.9408,0.4100
42,0.2250,0.9408,0.5878
43,0.2250,0.9408,0.5872
44,0.2250,0.9408,0.4199
45,0.2251,0.9408,0.4147
46,0.2250,0.9408,0.4253
47,0.2250,0.9408,0.4370
48,0.2251,0.9408,0.4397
49,0.2251,0.9408,0.4357
50,0.2251,0.9408,0.5338
51,0.2250,0.9408,0.4729
52,0.2250,0.9408,0.4888
53,0.2251,0.9408,0.4969
54,0.2251,0.9408,0.5000
55,0.2251,0.9408,0.4997
56,0.2250,0.9408,0.4997
57,0.2251,0.9408,0.5000
58,0.2249,0.9408,0.5000
59,0.2250,0.9408,0.5000
60,0.2251,0.9408,0.5000
61,0.2250,0.9408,0.5000
62,0.2249,0.9408,0.5000
63,0.2252,0.9408,0.5860
64,0.2259,0.9408,0.5893
65,0.2258,0.9408,0.5857
66,0.2286,0.9408,0.5812
67,0.2263,0.9408,0.5855
68,0.2253,0.9408,0.4349
69,0.2265,0.9408,0.3992
70,0.2251,0.9408,0.5878
71,0.2250,0.9408,0.4123
72,0.2250,0.9408,0.5859
73,0.2251,0.9408,0.4163
74,0.2250,0.9408,0.4150
75,0.2250,0.9408,0.5951
76,0.2250,0.9408,0.4133
77,0.2250,0.9408,0.5928
78,0.2250,0.9408,0.4194
79,0.2249,0.9408,0.4118
80,0.2250,0.9408,0.4949
81,0.2250,0.9408,0.5288
82,0.2250,0.9408,0.5829
83,0.2251,0.9408,0.5000
84,0.2250,0.9408,0.5040
85,0.2251,0.9408,0.4975
86,0.2251,0.9408,0.5633
87,0.2251,0.9408,0.5000
88,0.2250,0.9408,0.5000
89,0.2250,0.9408,0.4920
90,0.2250,0.9408,0.5000
91,0.2250,0.9408,0.5000
92,0.2250,0.9408,0.5000
93,0.2250,0.9408,0.5000
94,0.2250,0.9408,0.5000
95,0.2250,0.9408,0.5000
96,0.2252,0.9408,0.5000
97,0.2252,0.9408,0.5000
98,0.2252,0.9408,0.5901
99,0.2249,0.9408,0.4212
100,0.2250,0.9408,0.5896
