Epoch,Loss,TestAcc,TestAuc
1,0.4035,0.8589,0.5172
2,0.3863,0.8589,0.5156
3,0.3852,0.8589,0.5232
4,0.3845,0.8589,0.4876
5,0.3823,0.8589,0.5294
6,0.3827,0.8589,0.5111
7,0.3819,0.8589,0.5010
8,0.3820,0.8589,0.4951
9,0.3812,0.8589,0.4802
10,0.3813,0.8589,0.4985
11,0.3811,0.8589,0.4744
12,0.3812,0.8589,0.4963
13,0.3814,0.8589,0.4940
14,0.3805,0.8589,0.4517
15,0.3810,0.8589,0.4934
16,0.3811,0.8589,0.4464
17,0.3808,0.8589,0.4827
18,0.3811,0.8589,0.4639
19,0.3809,0.8589,0.4920
20,0.3808,0.8589,0.4755
21,0.3807,0.8589,0.4636
22,0.3810,0.8589,0.4768
23,0.3809,0.8589,0.4819
24,0.3808,0.8589,0.4334
25,0.3808,0.8589,0.4993
26,0.3814,0.8589,0.5014
27,0.3807,0.8589,0.5036
28,0.3808,0.8589,0.4879
29,0.3809,0.8589,0.4967
30,0.3809,0.8589,0.4988
31,0.3809,0.8589,0.4983
32,0.3809,0.8589,0.5014
33,0.3808,0.8589,0.5014
34,0.3808,0.8589,0.5034
35,0.3809,0.8589,0.5024
36,0.3809,0.8589,0.4966
37,0.3808,0.8589,0.4939
38,0.3809,0.8589,0.4989
39,0.3810,0.8589,0.5035
40,0.3807,0.8589,0.4955
41,0.3808,0.8589,0.4948
42,0.3810,0.8589,0.4977
43,0.3808,0.8589,0.5000
44,0.3808,0.8589,0.4944
45,0.3808,0.8589,0.5000
46,0.3809,0.8589,0.4896
47,0.3809,0.8589,0.4790
48,0.3822,0.8589,0.5076
49,0.3811,0.8589,0.5077
50,0.3809,0.8589,0.4900
51,0.3809,0.8589,0.4883
52,0.3809,0.8589,0.5009
53,0.3808,0.8589,0.4971
54,0.3808,0.8589,0.4900
55,0.3808,0.8589,0.4962
56,0.3809,0.8589,0.5008
57,0.3810,0.8589,0.5074
58,0.3810,0.8589,0.4899
59,0.3808,0.8589,0.4918
60,0.3808,0.8589,0.4993
61,0.3808,0.8589,0.4955
62,0.3808,0.8589,0.5000
63,0.3808,0.8589,0.5000
64,0.3809,0.8589,0.4999
65,0.3809,0.8589,0.5039
66,0.3808,0.8589,0.5027
67,0.3808,0.8589,0.4908
68,0.3819,0.8589,0.5166
69,0.3825,0.8589,0.5035
70,0.3813,0.8589,0.5059
71,0.3813,0.8589,0.4992
72,0.3810,0.8589,0.4935
73,0.3808,0.8589,0.4970
74,0.3809,0.8589,0.4952
75,0.3809,0.8589,0.5163
76,0.3809,0.8589,0.5061
77,0.3809,0.8589,0.4961
78,0.3808,0.8589,0.4963
79,0.3808,0.8589,0.4896
80,0.3808,0.8589,0.5030
81,0.3808,0.8589,0.5079
82,0.3808,0.8589,0.5007
83,0.3807,0.8589,0.4859
84,0.3809,0.8589,0.4996
85,0.3808,0.8589,0.4959
86,0.3807,0.8589,0.5049
87,0.3809,0.8589,0.4955
88,0.3808,0.8589,0.4947
89,0.3807,0.8589,0.5000
90,0.3809,0.8589,0.5000
91,0.3809,0.8589,0.5000
92,0.3808,0.8589,0.5076
93,0.3808,0.8589,0.4974
94,0.3808,0.8589,0.4925
95,0.3809,0.8589,0.4951
96,0.3808,0.8589,0.5304
97,0.3825,0.8589,0.4989
98,0.3820,0.8589,0.5035
99,0.3817,0.8589,0.5062
100,0.3809,0.8589,0.4940
