Epoch,Loss,TestAcc,TestAuc
1,0.4792,0.8456,0.5464
2,0.4474,0.8456,0.5470
3,0.4423,0.8456,0.5465
4,0.4424,0.8456,0.5465
5,0.4416,0.8456,0.5457
6,0.4416,0.8456,0.5465
7,0.4392,0.8456,0.5464
8,0.4403,0.8456,0.5466
9,0.4393,0.8456,0.5463
10,0.4392,0.8456,0.5465
11,0.4395,0.8456,0.4580
12,0.4393,0.8456,0.5011
13,0.4404,0.8456,0.4986
14,0.4392,0.8456,0.4871
15,0.4388,0.8456,0.4652
16,0.4395,0.8456,0.5460
17,0.4395,0.8456,0.5461
18,0.4391,0.8456,0.5463
19,0.4391,0.8456,0.4676
20,0.4392,0.8456,0.4643
21,0.4389,0.8456,0.4624
22,0.4391,0.8456,0.5466
23,0.4390,0.8456,0.5463
24,0.4389,0.8456,0.5461
25,0.4390,0.8456,0.5463
26,0.4394,0.8456,0.5460
27,0.4390,0.8456,0.5463
28,0.4390,0.8456,0.5461
29,0.4389,0.8456,0.5462
30,0.4390,0.8456,0.5463
31,0.4389,0.8456,0.5463
32,0.4390,0.8456,0.5464
33,0.4389,0.8456,0.4536
34,0.4390,0.8456,0.4536
35,0.4389,0.8456,0.5464
36,0.4390,0.8456,0.5464
37,0.4421,0.8456,0.5433
38,0.4405,0.8456,0.4917
39,0.4390,0.8456,0.5463
40,0.4391,0.8456,0.4538
41,0.4390,0.8456,0.5455
42,0.4390,0.8456,0.4536
43,0.4390,0.8456,0.5463
44,0.4389,0.8456,0.5464
45,0.4390,0.8456,0.5464
46,0.4390,0.8456,0.4551
47,0.4390,0.8456,0.5460
48,0.4390,0.8456,0.5445
49,0.4390,0.8456,0.5484
50,0.4390,0.8456,0.5477
51,0.4390,0.8456,0.5413
52,0.4390,0.8456,0.5469
53,0.4390,0.8456,0.5252
54,0.4389,0.8456,0.5056
55,0.4391,0.8456,0.5011
56,0.4390,0.8456,0.4970
57,0.4387,0.8456,0.5000
58,0.4391,0.8456,0.5015
59,0.4390,0.8456,0.4917
60,0.4390,0.8456,0.4565
61,0.4391,0.8456,0.5420
62,0.4389,0.8456,0.4502
63,0.4389,0.8456,0.4940
64,0.4390,0.8456,0.5000
65,0.4386,0.8456,0.4995
66,0.4391,0.8456,0.5443
67,0.4390,0.8456,0.5478
68,0.4409,0.8456,0.5463
69,0.4407,0.8456,0.4543
70,0.4399,0.8456,0.4542
71,0.4395,0.8456,0.4554
72,0.4390,0.8456,0.4653
73,0.4391,0.8456,0.4538
74,0.4389,0.8456,0.5464
75,0.4390,0.8456,0.5460
76,0.4390,0.8456,0.4536
77,0.4392,0.8456,0.5462
78,0.4390,0.8456,0.5463
79,0.4391,0.8456,0.4535
80,0.4389,0.8456,0.5459
81,0.4393,0.8456,0.4790
82,0.4390,0.8456,0.4991
83,0.4390,0.8456,0.4994
84,0.4389,0.8456,0.5108
85,0.4390,0.8456,0.4996
86,0.4391,0.8456,0.5000
87,0.4390,0.8456,0.5000
88,0.4391,0.8456,0.4989
89,0.4389,0.8456,0.5000
90,0.4391,0.8456,0.5000
91,0.4388,0.8456,0.5000
92,0.4390,0.8456,0.5000
93,0.4391,0.8456,0.5000
94,0.4389,0.8456,0.5000
95,0.4390,0.8456,0.5000
96,0.4389,0.8456,0.5000
97,0.4390,0.8456,0.5000
98,0.4390,0.8456,0.4974
99,0.4397,0.8456,0.4534
100,0.4416,0.8456,0.5460
