Epoch,Loss,TestAcc,TestAuc
1,0.4139,0.8595,0.4661
2,0.3971,0.8595,0.4560
3,0.3915,0.8595,0.4682
4,0.3927,0.8595,0.4861
5,0.3932,0.8595,0.5036
6,0.3912,0.8595,0.4508
7,0.3893,0.8595,0.4670
8,0.3905,0.8595,0.4820
9,0.3903,0.8595,0.4718
10,0.3898,0.8595,0.4596
11,0.3896,0.8595,0.4674
12,0.3894,0.8595,0.5008
13,0.3893,0.8595,0.4432
14,0.3898,0.8595,0.5094
15,0.3892,0.8595,0.4689
16,0.3893,0.8595,0.4628
17,0.3890,0.8595,0.4679
18,0.3891,0.8595,0.5877
19,0.3888,0.8595,0.5190
20,0.3889,0.8595,0.5164
21,0.3888,0.8595,0.5266
22,0.3892,0.8595,0.5237
23,0.3887,0.8595,0.5239
24,0.3888,0.8595,0.5259
25,0.3889,0.8595,0.5249
26,0.3889,0.8595,0.5265
27,0.3887,0.8595,0.5281
28,0.3889,0.8595,0.4793
29,0.3887,0.8595,0.5265
30,0.3888,0.8595,0.4709
31,0.3887,0.8595,0.4710
32,0.3888,0.8595,0.5303
33,0.3888,0.8595,0.5285
34,0.3888,0.8595,0.5314
35,0.3898,0.8595,0.4718
36,0.3900,0.8595,0.4754
37,0.3889,0.8595,0.4768
38,0.3887,0.8595,0.5326
39,0.3887,0.8595,0.4741
40,0.3886,0.8595,0.4709
41,0.3887,0.8595,0.5309
42,0.3887,0.8595,0.5339
43,0.3887,0.8595,0.4773
44,0.3886,0.8595,0.5328
45,0.3887,0.8595,0.4667
46,0.3887,0.8595,0.5282
47,0.3887,0.8595,0.5283
48,0.3888,0.8595,0.4711
49,0.3889,0.8595,0.5305
50,0.3887,0.8595,0.5295
51,0.3886,0.8595,0.5183
52,0.3886,0.8595,0.4725
53,0.3887,0.8595,0.4701
54,0.3887,0.8595,0.4856
55,0.3887,0.8595,0.4891
56,0.3888,0.8595,0.4954
57,0.3885,0.8595,0.5164
58,0.3888,0.8595,0.5000
59,0.3886,0.8595,0.4813
60,0.3887,0.8595,0.4633
61,0.3888,0.8595,0.5330
62,0.3887,0.8595,0.5031
63,0.3887,0.8595,0.5038
64,0.3886,0.8595,0.5347
65,0.3887,0.8595,0.4937
66,0.3888,0.8595,0.4710
67,0.3905,0.8595,0.5264
68,0.3899,0.8595,0.5172
69,0.3894,0.8595,0.4671
70,0.3897,0.8595,0.5354
71,0.3889,0.8595,0.4687
72,0.3888,0.8595,0.5246
73,0.3888,0.8595,0.5241
74,0.3887,0.8595,0.5300
75,0.3888,0.8595,0.5517
76,0.3885,0.8595,0.4598
77,0.3902,0.8595,0.5401
78,0.3888,0.8595,0.5252
79,0.3888,0.8595,0.5156
80,0.3888,0.8595,0.5304
81,0.3888,0.8595,0.4694
82,0.3887,0.8595,0.5317
83,0.3886,0.8595,0.4686
84,0.3887,0.8595,0.5322
85,0.3887,0.8595,0.5321
86,0.3887,0.8595,0.5311
87,0.3886,0.8595,0.5080
88,0.3888,0.8595,0.4953
89,0.3887,0.8595,0.5116
90,0.3887,0.8595,0.5215
91,0.3888,0.8595,0.5099
92,0.3888,0.8595,0.5000
93,0.3887,0.8595,0.5000
94,0.3886,0.8595,0.4983
95,0.3888,0.8595,0.5005
96,0.3884,0.8595,0.5000
97,0.3888,0.8595,0.5000
98,0.3887,0.8595,0.5000
99,0.3887,0.8595,0.5000
100,0.3887,0.8595,0.5000
