Epoch,Loss,TestAcc,TestAuc
1,0.4962,0.8493,0.5255
2,0.4574,0.8493,0.5071
3,0.4541,0.8493,0.5569
4,0.4595,0.8493,0.4746
5,0.4506,0.8493,0.4530
6,0.4504,0.8493,0.5245
7,0.4495,0.8493,0.5251
8,0.4496,0.8493,0.5250
9,0.4488,0.8493,0.5222
10,0.4489,0.8493,0.4714
11,0.4496,0.8493,0.4539
12,0.4502,0.8493,0.4625
13,0.4485,0.8493,0.4558
14,0.4481,0.8493,0.4305
15,0.4484,0.8493,0.4547
16,0.4489,0.8493,0.4365
17,0.4477,0.8493,0.4565
18,0.4496,0.8493,0.5313
19,0.4497,0.8493,0.5246
20,0.4489,0.8493,0.4867
21,0.4483,0.8493,0.5181
22,0.4482,0.8493,0.4586
23,0.4490,0.8493,0.5377
24,0.4486,0.8493,0.5274
25,0.4485,0.8493,0.4658
26,0.4489,0.8493,0.4683
27,0.4484,0.8493,0.5330
28,0.4484,0.8493,0.5436
29,0.4482,0.8493,0.4824
30,0.4491,0.8493,0.4679
31,0.4487,0.8493,0.4718
32,0.4485,0.8493,0.4732
33,0.4487,0.8493,0.4724
34,0.4486,0.8493,0.4723
35,0.4488,0.8493,0.5353
36,0.4489,0.8493,0.5242
37,0.4486,0.8493,0.5256
38,0.4485,0.8493,0.4741
39,0.4486,0.8493,0.5233
40,0.4486,0.8493,0.4748
41,0.4484,0.8493,0.4754
42,0.4487,0.8493,0.4747
43,0.4486,0.8493,0.4746
44,0.4486,0.8493,0.4746
45,0.4484,0.8493,0.4749
46,0.4487,0.8493,0.5252
47,0.4485,0.8493,0.4746
48,0.4485,0.8493,0.4745
49,0.4484,0.8493,0.4751
50,0.4487,0.8493,0.4749
51,0.4486,0.8493,0.4772
52,0.4488,0.8493,0.4756
53,0.4487,0.8493,0.4746
54,0.4486,0.8493,0.4747
55,0.4486,0.8493,0.5251
56,0.4486,0.8493,0.5278
57,0.4484,0.8493,0.5186
58,0.4487,0.8493,0.4844
59,0.4485,0.8493,0.5248
60,0.4485,0.8493,0.5296
61,0.4484,0.8493,0.5111
62,0.4486,0.8493,0.4915
63,0.4484,0.8493,0.4851
64,0.4487,0.8493,0.4992
65,0.4486,0.8493,0.5229
66,0.4486,0.8493,0.4875
67,0.4484,0.8493,0.4891
68,0.4487,0.8493,0.4684
69,0.4485,0.8493,0.4828
70,0.4485,0.8493,0.5001
71,0.4486,0.8493,0.5033
72,0.4485,0.8493,0.5010
73,0.4485,0.8493,0.4944
74,0.4486,0.8493,0.5274
75,0.4486,0.8493,0.5115
76,0.4488,0.8493,0.4673
77,0.4513,0.8493,0.5247
78,0.4495,0.8493,0.4738
79,0.4492,0.8493,0.5236
80,0.4492,0.8493,0.5337
81,0.4487,0.8493,0.5270
82,0.4486,0.8493,0.5252
83,0.4487,0.8493,0.5236
84,0.4486,0.8493,0.5280
85,0.4485,0.8493,0.4636
86,0.4486,0.8493,0.5266
87,0.4486,0.8493,0.5266
88,0.4486,0.8493,0.4683
89,0.4485,0.8493,0.5267
90,0.4484,0.8493,0.5337
91,0.4486,0.8493,0.5242
92,0.4487,0.8493,0.5271
93,0.4487,0.8493,0.5270
94,0.4487,0.8493,0.5263
95,0.4488,0.8493,0.4702
96,0.4511,0.8493,0.5635
97,0.4503,0.8493,0.4774
98,0.4497,0.8493,0.5379
99,0.4486,0.8493,0.5326
100,0.4488,0.8493,0.5337
