Epoch,Loss,TestAcc,TestAuc
1,0.1987,0.9757,0.4615
2,0.1429,0.9757,0.4507
3,0.1346,0.9757,0.4563
4,0.1353,0.9757,0.4538
5,0.1365,0.9757,0.4877
6,0.1439,0.9757,0.4759
7,0.1307,0.9757,0.4853
8,0.1373,0.9757,0.4768
9,0.1335,0.9757,0.4580
10,0.1293,0.9757,0.5335
11,0.1311,0.9757,0.4955
12,0.1331,0.9757,0.4657
13,0.1317,0.9757,0.4931
14,0.1287,0.9757,0.4798
15,0.1281,0.9757,0.4807
16,0.1283,0.9757,0.4782
17,0.1271,0.9757,0.4684
18,0.1283,0.9757,0.4626
19,0.1268,0.9757,0.4685
20,0.1271,0.9757,0.4669
21,0.1285,0.9757,0.4613
22,0.1283,0.9757,0.4662
23,0.1281,0.9757,0.4733
24,0.1271,0.9757,0.4675
25,0.1271,0.9757,0.4778
26,0.1272,0.9757,0.4797
27,0.1276,0.9757,0.4609
28,0.1271,0.9757,0.4664
29,0.1269,0.9757,0.4680
30,0.1272,0.9757,0.4651
31,0.1273,0.9757,0.4714
32,0.1274,0.9757,0.4746
33,0.1270,0.9757,0.4623
34,0.1271,0.9757,0.4570
35,0.1272,0.9757,0.4707
36,0.1268,0.9757,0.4575
37,0.1276,0.9757,0.4630
38,0.1272,0.9757,0.4657
39,0.1268,0.9757,0.4657
40,0.1268,0.9757,0.4646
41,0.1270,0.9757,0.4524
42,0.1269,0.9757,0.4603
43,0.1274,0.9757,0.4604
44,0.1272,0.9757,0.4649
45,0.1269,0.9757,0.4614
46,0.1279,0.9757,0.4622
47,0.1271,0.9757,0.5401
48,0.1269,0.9757,0.4641
49,0.1281,0.9757,0.4698
50,0.1268,0.9757,0.4701
51,0.1268,0.9757,0.4746
52,0.1269,0.9757,0.4655
53,0.1266,0.9757,0.4672
54,0.1269,0.9757,0.4714
55,0.1265,0.9757,0.4656
56,0.1269,0.9757,0.4650
57,0.1267,0.9757,0.4551
58,0.1271,0.9757,0.4670
59,0.1267,0.9757,0.4566
60,0.1269,0.9757,0.4548
61,0.1270,0.9757,0.4627
62,0.1268,0.9757,0.4577
63,0.1268,0.9757,0.4573
64,0.1267,0.9757,0.4598
65,0.1266,0.9757,0.4594
66,0.1271,0.9757,0.4650
67,0.1266,0.9757,0.4674
68,0.1267,0.9757,0.4667
69,0.1266,0.9757,0.4650
70,0.1266,0.9757,0.4717
71,0.1267,0.9757,0.4727
72,0.1268,0.9757,0.4661
73,0.1269,0.9757,0.4722
74,0.1296,0.9757,0.4637
75,0.1269,0.9757,0.4580
76,0.1267,0.9757,0.5424
77,0.1266,0.9757,0.4561
78,0.1266,0.9757,0.4551
79,0.1266,0.9757,0.4601
80,0.1266,0.9757,0.5489
81,0.1266,0.9757,0.5675
82,0.1266,0.9757,0.4579
83,0.1266,0.9757,0.4568
84,0.1266,0.9757,0.4591
85,0.1266,0.9757,0.4587
86,0.1267,0.9757,0.4544
87,0.1265,0.9757,0.4492
88,0.1267,0.9757,0.4563
89,0.1266,0.9757,0.4563
90,0.1265,0.9757,0.4565
91,0.1266,0.9757,0.5452
92,0.1267,0.9757,0.4837
93,0.1267,0.9757,0.4793
94,0.1265,0.9757,0.4806
95,0.1266,0.9757,0.4908
96,0.1266,0.9757,0.5093
97,0.1266,0.9757,0.5021
98,0.1266,0.9757,0.5032
99,0.1266,0.9757,0.5000
100,0.1265,0.9757,0.5100
