Epoch,Loss,TestAcc,TestAuc
1,0.3070,0.9186,0.4461
2,0.2733,0.9186,0.4595
3,0.2720,0.9186,0.4784
4,0.2699,0.9186,0.4602
5,0.2704,0.9186,0.4621
6,0.2694,0.9186,0.4401
7,0.2680,0.9186,0.4539
8,0.2686,0.9186,0.4445
9,0.2673,0.9186,0.4399
10,0.2669,0.9186,0.4438
11,0.2669,0.9186,0.4939
12,0.2673,0.9186,0.5470
13,0.2673,0.9186,0.4445
14,0.2676,0.9186,0.5549
15,0.2670,0.9186,0.4455
16,0.2672,0.9186,0.4446
17,0.2664,0.9186,0.4345
18,0.2671,0.9186,0.4405
19,0.2672,0.9186,0.5166
20,0.2671,0.9186,0.5437
21,0.2664,0.9186,0.4391
22,0.2667,0.9186,0.4940
23,0.2668,0.9186,0.5398
24,0.2667,0.9186,0.5463
25,0.2665,0.9186,0.5576
26,0.2667,0.9186,0.5476
27,0.2665,0.9186,0.4431
28,0.2667,0.9186,0.4471
29,0.2666,0.9186,0.4390
30,0.2677,0.9186,0.4427
31,0.2666,0.9186,0.5617
32,0.2664,0.9186,0.5615
33,0.2663,0.9186,0.5669
34,0.2664,0.9186,0.5593
35,0.2665,0.9186,0.5578
36,0.2664,0.9186,0.5580
37,0.2664,0.9186,0.5595
38,0.2666,0.9186,0.5616
39,0.2664,0.9186,0.5199
40,0.2671,0.9186,0.5614
41,0.2670,0.9186,0.4200
42,0.2666,0.9186,0.4714
43,0.2664,0.9186,0.5679
44,0.2666,0.9186,0.4430
45,0.2666,0.9186,0.4463
46,0.2665,0.9186,0.5607
47,0.2664,0.9186,0.5592
48,0.2664,0.9186,0.4414
49,0.2664,0.9186,0.5633
50,0.2664,0.9186,0.5587
51,0.2664,0.9186,0.5594
52,0.2665,0.9186,0.5396
53,0.2664,0.9186,0.5715
54,0.2664,0.9186,0.4689
55,0.2664,0.9186,0.5236
56,0.2664,0.9186,0.5579
57,0.2666,0.9186,0.5350
58,0.2665,0.9186,0.4945
59,0.2664,0.9186,0.5421
60,0.2664,0.9186,0.4584
61,0.2664,0.9186,0.4992
62,0.2665,0.9186,0.4928
63,0.2664,0.9186,0.5067
64,0.2663,0.9186,0.4663
65,0.2665,0.9186,0.5597
66,0.2664,0.9186,0.4894
67,0.2664,0.9186,0.5071
68,0.2664,0.9186,0.5041
69,0.2664,0.9186,0.5010
70,0.2664,0.9186,0.5000
71,0.2664,0.9186,0.4764
72,0.2664,0.9186,0.5423
73,0.2664,0.9186,0.5602
74,0.2665,0.9186,0.5766
75,0.2666,0.9186,0.4492
76,0.2668,0.9186,0.4360
77,0.2668,0.9186,0.4423
78,0.2675,0.9186,0.5680
79,0.2669,0.9186,0.4440
80,0.2675,0.9186,0.5528
81,0.2666,0.9186,0.4453
82,0.2666,0.9186,0.4438
83,0.2663,0.9186,0.4403
84,0.2665,0.9186,0.5074
85,0.2664,0.9186,0.5598
86,0.2664,0.9186,0.4379
87,0.2665,0.9186,0.5680
88,0.2665,0.9186,0.4420
89,0.2664,0.9186,0.5621
90,0.2664,0.9186,0.5629
91,0.2664,0.9186,0.5498
92,0.2663,0.9186,0.5546
93,0.2664,0.9186,0.4867
94,0.2664,0.9186,0.4867
95,0.2664,0.9186,0.4972
96,0.2664,0.9186,0.5000
97,0.2664,0.9186,0.5000
98,0.2665,0.9186,0.5000
99,0.2664,0.9186,0.5000
100,0.2664,0.9186,0.5000
