Epoch,Loss,TestAcc,TestAuc
1,0.1326,0.9784,0.4076
2,0.1135,0.9784,0.4173
3,0.1112,0.9784,0.4167
4,0.1092,0.9784,0.4160
5,0.1090,0.9784,0.4424
6,0.1123,0.9784,0.4981
7,0.1090,0.9784,0.4145
8,0.1082,0.9784,0.6234
9,0.1095,0.9784,0.4129
10,0.1094,0.9784,0.6833
11,0.1086,0.9784,0.4222
12,0.1085,0.9784,0.4464
13,0.1096,0.9784,0.6818
14,0.1079,0.9784,0.4209
15,0.1078,0.9784,0.4131
16,0.1078,0.9784,0.5137
17,0.1067,0.9784,0.6310
18,0.1069,0.9784,0.4380
19,0.1075,0.9784,0.4283
20,0.1073,0.9784,0.4161
21,0.1071,0.9784,0.4126
22,0.1070,0.9784,0.4148
23,0.1073,0.9784,0.4064
24,0.1072,0.9784,0.4136
25,0.1075,0.9784,0.4124
26,0.1070,0.9784,0.4172
27,0.1072,0.9784,0.4151
28,0.1075,0.9784,0.4663
29,0.1119,0.9784,0.4074
30,0.1076,0.9784,0.4117
31,0.1075,0.9784,0.4076
32,0.1072,0.9784,0.4086
33,0.1074,0.9784,0.4097
34,0.1071,0.9784,0.4119
35,0.1070,0.9784,0.4239
36,0.1072,0.9784,0.4148
37,0.1072,0.9784,0.4177
38,0.1070,0.9784,0.4662
39,0.1069,0.9784,0.4297
40,0.1071,0.9784,0.4180
41,0.1068,0.9784,0.4197
42,0.1067,0.9784,0.6283
43,0.1075,0.9784,0.4207
44,0.1071,0.9784,0.4171
45,0.1071,0.9784,0.5881
46,0.1069,0.9784,0.6248
47,0.1070,0.9784,0.5314
48,0.1072,0.9784,0.6193
49,0.1071,0.9784,0.4079
50,0.1069,0.9784,0.4157
51,0.1069,0.9784,0.5928
52,0.1069,0.9784,0.4066
53,0.1068,0.9784,0.4067
54,0.1068,0.9784,0.4058
55,0.1068,0.9784,0.4020
56,0.1068,0.9784,0.6009
57,0.1068,0.9784,0.6029
58,0.1068,0.9784,0.6112
59,0.1068,0.9784,0.6074
60,0.1068,0.9784,0.5444
61,0.1069,0.9784,0.6012
62,0.1069,0.9784,0.6323
63,0.1068,0.9784,0.6020
64,0.1068,0.9784,0.4008
65,0.1067,0.9784,0.3967
66,0.1068,0.9784,0.3991
67,0.1069,0.9784,0.3996
68,0.1068,0.9784,0.4004
69,0.1068,0.9784,0.3985
70,0.1068,0.9784,0.5986
71,0.1068,0.9784,0.5546
72,0.1085,0.9784,0.4026
73,0.1085,0.9784,0.5992
74,0.1074,0.9784,0.3924
75,0.1074,0.9784,0.4041
76,0.1066,0.9784,0.4707
77,0.1070,0.9784,0.4074
78,0.1070,0.9784,0.5929
79,0.1069,0.9784,0.4096
80,0.1068,0.9784,0.5952
81,0.1069,0.9784,0.4261
82,0.1069,0.9784,0.5999
83,0.1068,0.9784,0.6157
84,0.1068,0.9784,0.4239
85,0.1068,0.9784,0.4157
86,0.1068,0.9784,0.4131
87,0.1068,0.9784,0.4543
88,0.1068,0.9784,0.6805
89,0.1070,0.9784,0.4039
90,0.1068,0.9784,0.4036
91,0.1068,0.9784,0.6151
92,0.1068,0.9784,0.5841
93,0.1068,0.9784,0.5004
94,0.1068,0.9784,0.5025
95,0.1068,0.9784,0.5433
96,0.1069,0.9784,0.4102
97,0.1068,0.9784,0.4486
98,0.1068,0.9784,0.4996
99,0.1068,0.9784,0.5000
100,0.1067,0.9784,0.5000
