Epoch,Loss,TestAcc,TestAuc
1,0.0971,0.9956,0.4315
2,0.0450,0.9956,0.4354
3,0.0380,0.9956,0.4348
4,0.0357,0.9956,0.4333
5,0.0371,0.9956,0.4382
6,0.0327,0.9956,0.4399
7,0.0347,0.9956,0.4358
8,0.0335,0.9956,0.4375
9,0.0342,0.9956,0.4445
10,0.0328,0.9956,0.4410
11,0.0334,0.9956,0.4394
12,0.0322,0.9956,0.4372
13,0.0327,0.9956,0.4379
14,0.0334,0.9956,0.4399
15,0.0311,0.9956,0.4401
16,0.0325,0.9956,0.4394
17,0.0320,0.9956,0.4382
18,0.0310,0.9956,0.4385
19,0.0326,0.9956,0.4395
20,0.0317,0.9956,0.4377
21,0.0313,0.9956,0.4362
22,0.0319,0.9956,0.4345
23,0.0314,0.9956,0.4368
24,0.0321,0.9956,0.4359
25,0.0318,0.9956,0.4376
26,0.0312,0.9956,0.4358
27,0.0332,0.9956,0.4373
28,0.0318,0.9956,0.4352
29,0.0322,0.9956,0.4297
30,0.0316,0.9956,0.4323
31,0.0322,0.9956,0.4288
32,0.0325,0.9956,0.4358
33,0.0315,0.9956,0.4359
34,0.0318,0.9956,0.4362
35,0.0314,0.9956,0.4346
36,0.0322,0.9956,0.4354
37,0.0324,0.9956,0.4343
38,0.0317,0.9956,0.4333
39,0.0313,0.9956,0.4327
40,0.0316,0.9956,0.4340
41,0.0316,0.9956,0.4307
42,0.0318,0.9956,0.4318
43,0.0325,0.9956,0.4311
44,0.0320,0.9956,0.4332
45,0.0320,0.9956,0.4342
46,0.0322,0.9956,0.4337
47,0.0321,0.9956,0.4276
48,0.0313,0.9956,0.4341
49,0.0322,0.9956,0.4338
50,0.0322,0.9956,0.4334
51,0.0316,0.9956,0.4331
52,0.0322,0.9956,0.4335
53,0.0317,0.9956,0.4317
54,0.0320,0.9956,0.4337
55,0.0309,0.9956,0.4256
56,0.0348,0.9956,0.4369
57,0.0318,0.9956,0.4362
58,0.0323,0.9956,0.4361
59,0.0311,0.9956,0.4342
60,0.0325,0.9956,0.4343
61,0.0319,0.9956,0.4358
62,0.0324,0.9956,0.4357
63,0.0316,0.9956,0.4364
64,0.0316,0.9956,0.4360
65,0.0319,0.9956,0.4369
66,0.0310,0.9956,0.4267
67,0.0318,0.9956,0.4348
68,0.0314,0.9956,0.4360
69,0.0319,0.9956,0.4362
70,0.0321,0.9956,0.4343
71,0.0317,0.9956,0.4332
72,0.0314,0.9956,0.4247
73,0.0308,0.9956,0.4356
74,0.0320,0.9956,0.4385
75,0.0318,0.9956,0.4410
76,0.0324,0.9956,0.4406
77,0.0316,0.9956,0.4278
78,0.0314,0.9956,0.4348
79,0.0322,0.9956,0.4337
80,0.0323,0.9956,0.4250
81,0.0319,0.9956,0.4321
82,0.0318,0.9956,0.4349
83,0.0316,0.9956,0.4368
84,0.0320,0.9956,0.4356
85,0.0336,0.9956,0.4275
86,0.0318,0.9956,0.4343
87,0.0325,0.9956,0.4353
88,0.0313,0.9956,0.4346
89,0.0316,0.9956,0.4307
90,0.0315,0.9956,0.4362
91,0.0322,0.9956,0.4308
92,0.0314,0.9956,0.4357
93,0.0327,0.9956,0.4369
94,0.0368,0.9956,0.4266
95,0.0331,0.9956,0.4277
96,0.0321,0.9956,0.4369
97,0.0317,0.9956,0.4451
98,0.0312,0.9956,0.4392
99,0.0315,0.9956,0.4373
100,0.0321,0.9956,0.4293
