Epoch,Loss,TestAcc,TestAuc
1,0.4444,0.8652,0.5019
2,0.3949,0.8652,0.5058
3,0.3869,0.8645,0.5144
4,0.3859,0.8652,0.5124
5,0.3888,0.8652,0.5061
6,0.3859,0.8652,0.5174
7,0.3855,0.8652,0.5076
8,0.3855,0.8652,0.5017
9,0.3863,0.8652,0.5019
10,0.3842,0.8652,0.4952
11,0.3856,0.8652,0.4894
12,0.3845,0.8652,0.4979
13,0.3849,0.8652,0.4910
14,0.3848,0.8652,0.4818
15,0.3842,0.8652,0.4655
16,0.3846,0.8652,0.4704
17,0.3845,0.8652,0.5022
18,0.3846,0.8652,0.4995
19,0.3843,0.8652,0.4907
20,0.3849,0.8652,0.4948
21,0.3847,0.8652,0.5154
22,0.3840,0.8652,0.5137
23,0.3841,0.8652,0.5109
24,0.3843,0.8652,0.5121
25,0.3842,0.8652,0.5111
26,0.3842,0.8652,0.5106
27,0.3842,0.8652,0.5041
28,0.3843,0.8652,0.5148
29,0.3839,0.8652,0.5120
30,0.3838,0.8652,0.4953
31,0.3845,0.8652,0.5128
32,0.3843,0.8652,0.5175
33,0.3840,0.8652,0.5118
34,0.3845,0.8652,0.5119
35,0.3843,0.8652,0.5304
36,0.3842,0.8652,0.5101
37,0.3845,0.8652,0.4900
38,0.3845,0.8652,0.4957
39,0.3843,0.8652,0.4979
40,0.3842,0.8652,0.4847
41,0.3841,0.8652,0.5145
42,0.3842,0.8652,0.5029
43,0.3842,0.8652,0.5130
44,0.3842,0.8652,0.5128
45,0.3841,0.8652,0.4917
46,0.3843,0.8652,0.4933
47,0.3841,0.8652,0.4780
48,0.3842,0.8652,0.5050
49,0.3842,0.8652,0.4954
50,0.3842,0.8652,0.5095
51,0.3840,0.8652,0.5091
52,0.3842,0.8652,0.5004
53,0.3841,0.8652,0.4934
54,0.3842,0.8652,0.4784
55,0.3842,0.8652,0.4996
56,0.3840,0.8652,0.5000
57,0.3842,0.8652,0.5094
58,0.3841,0.8652,0.5000
59,0.3842,0.8652,0.5000
60,0.3841,0.8652,0.5152
61,0.3842,0.8652,0.5000
62,0.3841,0.8652,0.4946
63,0.3865,0.8652,0.5107
64,0.3857,0.8652,0.4998
65,0.3843,0.8652,0.4895
66,0.3844,0.8652,0.4910
67,0.3841,0.8652,0.5071
68,0.3840,0.8652,0.4946
69,0.3843,0.8652,0.4911
70,0.3841,0.8652,0.4928
71,0.3841,0.8652,0.4929
72,0.3843,0.8652,0.4913
73,0.3842,0.8652,0.5051
74,0.3841,0.8652,0.5137
75,0.3842,0.8652,0.5098
76,0.3841,0.8652,0.5095
77,0.3842,0.8652,0.4917
78,0.3840,0.8652,0.5033
79,0.3842,0.8652,0.4979
80,0.3840,0.8652,0.5000
81,0.3841,0.8652,0.4998
82,0.3842,0.8652,0.5023
83,0.3841,0.8652,0.4993
84,0.3842,0.8652,0.5000
85,0.3841,0.8652,0.5000
86,0.3842,0.8652,0.4991
87,0.3841,0.8652,0.5000
88,0.3840,0.8652,0.5000
89,0.3842,0.8652,0.5000
90,0.3842,0.8652,0.5000
91,0.3842,0.8652,0.5000
92,0.3857,0.8652,0.5005
93,0.3877,0.8652,0.4890
94,0.3844,0.8652,0.4972
95,0.3864,0.8652,0.4948
96,0.3845,0.8652,0.4909
97,0.3844,0.8652,0.5065
98,0.3843,0.8652,0.4987
99,0.3847,0.8652,0.4966
100,0.3845,0.8652,0.5135
