Epoch,Loss,TestAcc,TestAuc
1,0.3253,0.9282,0.5318
2,0.2980,0.9282,0.5344
3,0.2918,0.9282,0.5300
4,0.2942,0.9282,0.6032
5,0.2915,0.9282,0.5440
6,0.2899,0.9282,0.5428
7,0.2885,0.9282,0.5405
8,0.2885,0.9282,0.5944
9,0.2884,0.9282,0.5337
10,0.2899,0.9282,0.5331
11,0.2877,0.9282,0.5332
12,0.2883,0.9282,0.5319
13,0.2871,0.9282,0.5312
14,0.2872,0.9282,0.5135
15,0.2886,0.9282,0.4942
16,0.2879,0.9282,0.5289
17,0.2879,0.9282,0.5296
18,0.2874,0.9282,0.4714
19,0.2874,0.9282,0.4732
20,0.2877,0.9282,0.4821
21,0.2876,0.9282,0.4722
22,0.2873,0.9282,0.4729
23,0.2877,0.9282,0.5326
24,0.2871,0.9282,0.4847
25,0.2877,0.9282,0.5326
26,0.2872,0.9282,0.5291
27,0.2874,0.9282,0.4737
28,0.2876,0.9282,0.5275
29,0.2870,0.9282,0.4720
30,0.2872,0.9282,0.4722
31,0.2873,0.9282,0.4723
32,0.2872,0.9282,0.4722
33,0.2871,0.9282,0.4720
34,0.2872,0.9282,0.4720
35,0.2870,0.9282,0.4721
36,0.2872,0.9282,0.4735
37,0.2870,0.9282,0.4747
38,0.2871,0.9282,0.4729
39,0.2871,0.9282,0.4741
40,0.2870,0.9282,0.4747
41,0.2871,0.9282,0.4737
42,0.2870,0.9282,0.4750
43,0.2873,0.9282,0.5262
44,0.2875,0.9282,0.5281
45,0.2875,0.9282,0.5289
46,0.2875,0.9282,0.5257
47,0.2874,0.9282,0.4746
48,0.2871,0.9282,0.4740
49,0.2869,0.9282,0.4733
50,0.2870,0.9282,0.4728
51,0.2870,0.9282,0.4733
52,0.2871,0.9282,0.5269
53,0.2870,0.9282,0.4729
54,0.2870,0.9282,0.5258
55,0.2870,0.9282,0.4839
56,0.2871,0.9282,0.5063
57,0.2870,0.9282,0.4993
58,0.2870,0.9282,0.4990
59,0.2870,0.9282,0.5095
60,0.2869,0.9282,0.5198
61,0.2871,0.9282,0.5000
62,0.2870,0.9282,0.5000
63,0.2869,0.9282,0.5000
64,0.2871,0.9282,0.5000
65,0.2869,0.9282,0.5000
66,0.2870,0.9282,0.5000
67,0.2870,0.9282,0.5000
68,0.2870,0.9282,0.5000
69,0.2871,0.9282,0.5000
70,0.2870,0.9282,0.5003
71,0.2870,0.9282,0.4684
72,0.2871,0.9282,0.4885
73,0.2871,0.9282,0.4726
74,0.2897,0.9282,0.4746
75,0.2873,0.9282,0.5240
76,0.2878,0.9282,0.4734
77,0.2873,0.9282,0.5268
78,0.2870,0.9282,0.4728
79,0.2871,0.9282,0.5267
80,0.2871,0.9282,0.5236
81,0.2871,0.9282,0.5273
82,0.2870,0.9282,0.5273
83,0.2871,0.9282,0.4726
84,0.2871,0.9282,0.4715
85,0.2870,0.9282,0.5311
86,0.2870,0.9282,0.5345
87,0.2871,0.9282,0.4727
88,0.2870,0.9282,0.4732
89,0.2870,0.9282,0.5289
90,0.2872,0.9282,0.4739
91,0.2871,0.9282,0.4729
92,0.2871,0.9282,0.5225
93,0.2871,0.9282,0.4777
94,0.2871,0.9282,0.5263
95,0.2870,0.9282,0.5194
96,0.2870,0.9282,0.5370
97,0.2870,0.9282,0.5272
98,0.2870,0.9282,0.4845
99,0.2870,0.9282,0.4946
100,0.2870,0.9282,0.5024
