Epoch,Loss,TestAcc,TestAuc
1,0.9820,0.9220,0.5245
2,0.2716,0.9220,0.5255
3,0.2493,0.9220,0.5255
4,0.2705,0.9220,0.5265
5,0.2666,0.9220,0.5255
6,0.2363,0.9220,0.5255
7,0.2531,0.9220,0.5225
8,0.2366,0.9220,0.5228
9,0.2235,0.9220,0.5218
10,0.2233,0.9220,0.5198
11,0.2330,0.9220,0.5172
12,0.2276,0.9220,0.5195
13,0.2403,0.9220,0.5026
14,0.2449,0.9220,0.4659
15,0.2253,0.9220,0.5195
16,0.2297,0.9220,0.5198
17,0.2341,0.9220,0.5281
18,0.2357,0.9220,0.5271
19,0.2385,0.9220,0.5278
20,0.2360,0.9220,0.5271
21,0.2298,0.9220,0.5258
22,0.2390,0.9220,0.5258
23,0.2283,0.9220,0.5255
24,0.2295,0.9220,0.5251
25,0.2499,0.9220,0.3790
26,0.2261,0.9220,0.3856
27,0.2227,0.9220,0.4964
28,0.2396,0.9220,0.3757
29,0.2221,0.9220,0.3690
30,0.2337,0.9220,0.5083
31,0.2253,0.9220,0.5241
32,0.2251,0.9220,0.5245
33,0.2259,0.9220,0.5222
34,0.2246,0.9220,0.5175
35,0.2234,0.9220,0.5208
36,0.2298,0.9220,0.5069
37,0.2232,0.9220,0.5136
38,0.2211,0.9220,0.5165
39,0.2236,0.9220,0.5132
40,0.2294,0.9220,0.5218
41,0.2401,0.9220,0.4841
42,0.2294,0.9220,0.4749
43,0.2199,0.9220,0.4821
44,0.2238,0.9220,0.4210
45,0.2203,0.9220,0.4828
46,0.2342,0.9220,0.5172
47,0.2213,0.9220,0.5030
48,0.2239,0.9220,0.4927
49,0.2407,0.9220,0.4841
50,0.2206,0.9220,0.5284
51,0.2410,0.9220,0.5265
52,0.2254,0.9220,0.5281
53,0.2171,0.9220,0.5274
54,0.2218,0.9220,0.5278
55,0.2228,0.9220,0.5284
56,0.2246,0.9220,0.5291
57,0.2255,0.9220,0.5301
58,0.2206,0.9220,0.5278
59,0.2208,0.9220,0.5265
60,0.2212,0.9220,0.5258
61,0.2204,0.9220,0.5274
62,0.2229,0.9220,0.5274
63,0.2204,0.9220,0.5294
64,0.2203,0.9220,0.5288
65,0.2233,0.9220,0.5288
66,0.2241,0.9220,0.5294
67,0.2163,0.9220,0.5278
68,0.2215,0.9220,0.5271
69,0.2219,0.9220,0.5268
70,0.2237,0.9220,0.5093
71,0.2219,0.9220,0.4947
72,0.2190,0.9220,0.4524
73,0.2178,0.9220,0.4137
74,0.2229,0.9220,0.4735
75,0.2239,0.9220,0.4679
76,0.2232,0.9220,0.5050
77,0.2216,0.9220,0.5152
78,0.2236,0.9220,0.5208
79,0.2209,0.9220,0.5218
80,0.2226,0.9220,0.5188
81,0.2210,0.9220,0.5256
82,0.2240,0.9220,0.5230
83,0.2224,0.9220,0.5228
84,0.2227,0.9220,0.5195
85,0.2199,0.9220,0.5215
86,0.2226,0.9220,0.5188
87,0.2194,0.9220,0.5222
88,0.2193,0.9220,0.5251
89,0.2228,0.9220,0.5195
90,0.2210,0.9220,0.5222
91,0.2201,0.9220,0.5188
92,0.2214,0.9220,0.5139
93,0.2214,0.9220,0.5179
94,0.2212,0.9220,0.5212
95,0.2213,0.9220,0.5132
96,0.2219,0.9220,0.5245
97,0.2195,0.9220,0.4003
98,0.2241,0.9220,0.4805
99,0.2221,0.9220,0.3755
100,0.2222,0.9220,0.4744
