Epoch,Loss,TestAcc,TestAuc
1,0.3303,0.8878,0.5023
2,0.2857,0.8878,0.5029
3,0.2831,0.8878,0.5030
4,0.3563,0.8878,0.5029
5,0.2832,0.8878,0.5033
6,0.2613,0.8878,0.5050
7,0.2681,0.8878,0.5053
8,0.2712,0.8878,0.5054
9,0.2622,0.8878,0.5039
10,0.2582,0.8878,0.5030
11,0.2659,0.8878,0.5025
12,0.2585,0.8878,0.5053
13,0.2733,0.8878,0.4892
14,0.2647,0.8878,0.4925
15,0.2617,0.8878,0.4934
16,0.2617,0.8878,0.5022
17,0.2590,0.8878,0.5025
18,0.2674,0.8878,0.5066
19,0.2609,0.8878,0.5080
20,0.2600,0.8878,0.5072
21,0.2572,0.8878,0.5073
22,0.2582,0.8878,0.5093
23,0.2618,0.8878,0.5066
24,0.2590,0.8878,0.5075
25,0.2555,0.8878,0.4940
26,0.2608,0.8878,0.5094
27,0.2780,0.8878,0.5036
28,0.2676,0.8878,0.5060
29,0.2574,0.8878,0.5061
30,0.2543,0.8878,0.5049
31,0.2555,0.8878,0.5039
32,0.2581,0.8878,0.5027
33,0.2622,0.8878,0.4993
34,0.2591,0.8878,0.5043
35,0.2662,0.8878,0.5056
36,0.2628,0.8878,0.5059
37,0.2615,0.8878,0.5068
38,0.2597,0.8878,0.5054
39,0.2561,0.8878,0.5054
40,0.2607,0.8878,0.5063
41,0.2587,0.8878,0.5059
42,0.2592,0.8878,0.5059
43,0.2594,0.8878,0.5055
44,0.2572,0.8878,0.5056
45,0.2573,0.8878,0.5055
46,0.2568,0.8878,0.5044
47,0.2560,0.8878,0.5054
48,0.2620,0.8878,0.5062
49,0.2601,0.8878,0.5061
50,0.2571,0.8878,0.5059
51,0.2613,0.8878,0.5066
52,0.2604,0.8878,0.5054
53,0.2591,0.8878,0.5047
54,0.2595,0.8878,0.5039
55,0.2617,0.8878,0.5037
56,0.2591,0.8878,0.5067
57,0.2564,0.8878,0.5044
58,0.2564,0.8878,0.5112
59,0.2653,0.8878,0.5048
60,0.2582,0.8878,0.5042
61,0.2593,0.8878,0.5047
62,0.2590,0.8878,0.5039
63,0.2569,0.8878,0.5047
64,0.2552,0.8878,0.5049
65,0.2569,0.8878,0.5047
66,0.2584,0.8878,0.5017
67,0.2600,0.8878,0.5026
68,0.2572,0.8878,0.5027
69,0.2569,0.8878,0.5035
70,0.2567,0.8878,0.5049
71,0.2566,0.8878,0.5048
72,0.2572,0.8878,0.5049
73,0.2565,0.8878,0.5042
74,0.2561,0.8878,0.5050
75,0.2567,0.8878,0.5049
76,0.2576,0.8878,0.5039
77,0.2585,0.8878,0.4842
78,0.2565,0.8878,0.5004
79,0.2582,0.8878,0.5794
80,0.2574,0.8878,0.5327
81,0.2567,0.8878,0.5032
82,0.2566,0.8878,0.5000
83,0.2578,0.8878,0.5217
84,0.2566,0.8878,0.4834
85,0.2568,0.8878,0.5004
86,0.2583,0.8878,0.5031
87,0.2568,0.8878,0.4914
88,0.2574,0.8878,0.4915
89,0.2570,0.8878,0.4812
90,0.2568,0.8878,0.4980
91,0.2564,0.8878,0.4913
92,0.2573,0.8878,0.4898
93,0.2572,0.8878,0.4974
94,0.2569,0.8878,0.4944
95,0.2561,0.8878,0.4996
96,0.2573,0.8878,0.5023
97,0.2579,0.8878,0.4963
98,0.2540,0.8878,0.4947
99,0.2572,0.8878,0.4938
100,0.2568,0.8878,0.5121
