Epoch,Loss,TestAcc,TestAuc
1,0.3170,0.9366,0.5811
2,0.2061,0.9366,0.5791
3,0.2139,0.9366,0.5821
4,0.1863,0.9366,0.5819
5,0.1811,0.9366,0.5815
6,0.1769,0.9366,0.5835
7,0.1732,0.9366,0.5845
8,0.1968,0.9366,0.6536
9,0.1733,0.9366,0.5881
10,0.1746,0.9366,0.5982
11,0.1651,0.9366,0.6170
12,0.1642,0.9366,0.6238
13,0.1650,0.9366,0.4151
14,0.1723,0.9366,0.4147
15,0.1665,0.9366,0.4183
16,0.1668,0.9366,0.5879
17,0.1764,0.9366,0.5867
18,0.1702,0.9366,0.5849
19,0.1686,0.9366,0.5889
20,0.1660,0.9366,0.6080
21,0.1599,0.9366,0.5899
22,0.1716,0.9366,0.4157
23,0.1804,0.9366,0.5873
24,0.1844,0.9366,0.5895
25,0.1634,0.9366,0.5923
26,0.1637,0.9366,0.5925
27,0.1651,0.9366,0.6228
28,0.1746,0.9366,0.6174
29,0.1748,0.9366,0.5905
30,0.1712,0.9366,0.5865
31,0.1614,0.9366,0.5857
32,0.1632,0.9366,0.6002
33,0.1693,0.9366,0.5871
34,0.1640,0.9366,0.5857
35,0.1665,0.9366,0.5843
36,0.1677,0.9366,0.5853
37,0.1653,0.9366,0.5839
38,0.1647,0.9366,0.5879
39,0.1656,0.9366,0.5877
40,0.1969,0.9366,0.4177
41,0.1658,0.9366,0.6538
42,0.1669,0.9366,0.6318
43,0.1624,0.9366,0.5827
44,0.1611,0.9366,0.5851
45,0.1651,0.9366,0.5837
46,0.1660,0.9366,0.5805
47,0.1584,0.9366,0.5807
48,0.1635,0.9366,0.5817
49,0.1638,0.9366,0.5839
50,0.1694,0.9366,0.5879
51,0.1642,0.9366,0.5813
52,0.1637,0.9366,0.5819
53,0.1621,0.9366,0.5827
54,0.1658,0.9366,0.5839
55,0.1622,0.9366,0.5835
56,0.1590,0.9366,0.5819
57,0.1620,0.9366,0.5821
58,0.1621,0.9366,0.5935
59,0.1612,0.9366,0.5819
60,0.1635,0.9366,0.5803
61,0.1645,0.9366,0.5819
62,0.1619,0.9366,0.5815
63,0.1620,0.9366,0.6008
64,0.1628,0.9366,0.5819
65,0.1633,0.9366,0.5843
66,0.1659,0.9366,0.5829
67,0.1659,0.9366,0.5839
68,0.1679,0.9366,0.5827
69,0.1695,0.9366,0.5871
70,0.1658,0.9366,0.5857
71,0.1642,0.9366,0.5863
72,0.1635,0.9366,0.5855
73,0.1578,0.9366,0.5851
74,0.1656,0.9366,0.5851
75,0.1627,0.9366,0.5851
76,0.1648,0.9366,0.5851
77,0.1567,0.9366,0.5851
78,0.1747,0.9366,0.5837
79,0.1609,0.9366,0.5831
80,0.1642,0.9366,0.5817
81,0.1602,0.9366,0.5811
82,0.1658,0.9366,0.5807
83,0.1636,0.9366,0.5839
84,0.1631,0.9366,0.5811
85,0.1647,0.9366,0.5811
86,0.1644,0.9366,0.5805
87,0.1631,0.9366,0.5803
88,0.1614,0.9366,0.5811
89,0.1619,0.9366,0.5833
90,0.1622,0.9366,0.5819
91,0.1629,0.9366,0.5807
92,0.1617,0.9366,0.5821
93,0.1631,0.9366,0.5827
94,0.1621,0.9366,0.5815
95,0.1621,0.9366,0.5807
96,0.1620,0.9366,0.5799
97,0.1600,0.9366,0.5783
98,0.1631,0.9366,0.5785
99,0.1618,0.9366,0.5731
100,0.1619,0.9366,0.5739
