Epoch,Loss,TestAcc,TestAuc
1,0.7145,0.8195,0.4648
2,0.4177,0.8195,0.4630
3,0.4403,0.8195,0.4611
4,0.4124,0.8195,0.4624
5,0.4242,0.8195,0.4591
6,0.3886,0.8195,0.5478
7,0.3951,0.8195,0.4533
8,0.3811,0.8195,0.4516
9,0.3800,0.8195,0.4952
10,0.3782,0.8195,0.5415
11,0.3784,0.8195,0.5378
12,0.3758,0.8195,0.5364
13,0.3830,0.8195,0.5359
14,0.3927,0.8195,0.4675
15,0.3643,0.8195,0.4649
16,0.3640,0.8195,0.4654
17,0.3638,0.8195,0.4625
18,0.3601,0.8195,0.4651
19,0.3543,0.8195,0.4620
20,0.3569,0.8195,0.4628
21,0.3821,0.8195,0.5386
22,0.3679,0.8195,0.5391
23,0.3518,0.8195,0.5373
24,0.3610,0.8195,0.5402
25,0.3568,0.8195,0.4628
26,0.3674,0.8195,0.4641
27,0.3518,0.8195,0.4644
28,0.3587,0.8195,0.5125
29,0.3562,0.8195,0.4636
30,0.3527,0.8195,0.4627
31,0.3713,0.8195,0.5382
32,0.3585,0.8195,0.5393
33,0.3575,0.8195,0.5399
34,0.3601,0.8195,0.5394
35,0.3544,0.8195,0.5430
36,0.3558,0.8195,0.5423
37,0.3563,0.8195,0.5473
38,0.3529,0.8195,0.5418
39,0.3552,0.8195,0.5389
40,0.3516,0.8195,0.5512
41,0.3536,0.8195,0.5384
42,0.3575,0.8195,0.5384
43,0.3542,0.8195,0.5479
44,0.3488,0.8195,0.4569
45,0.3563,0.8195,0.4579
46,0.3544,0.8195,0.4575
47,0.3548,0.8195,0.4619
48,0.3542,0.8195,0.4533
49,0.3554,0.8195,0.4490
50,0.3525,0.8195,0.4482
51,0.3562,0.8195,0.4455
52,0.3493,0.8195,0.4439
53,0.3522,0.8195,0.4405
54,0.3639,0.8195,0.4627
55,0.3497,0.8195,0.4627
56,0.3535,0.8195,0.4627
57,0.3525,0.8195,0.4546
58,0.3570,0.8195,0.4995
59,0.3516,0.8195,0.5561
60,0.3560,0.8195,0.5574
61,0.3592,0.8195,0.4396
62,0.3573,0.8195,0.5520
63,0.3615,0.8195,0.5483
64,0.3552,0.8195,0.5442
65,0.3541,0.8195,0.5516
66,0.3542,0.8195,0.4528
67,0.3547,0.8195,0.4731
68,0.3537,0.8195,0.4969
69,0.3527,0.8195,0.4550
70,0.3553,0.8195,0.5495
71,0.3535,0.8195,0.5566
72,0.3524,0.8195,0.4577
73,0.3554,0.8195,0.5389
74,0.3575,0.8195,0.4585
75,0.3529,0.8195,0.4628
76,0.3530,0.8195,0.4627
77,0.3541,0.8195,0.4622
78,0.3533,0.8195,0.4625
79,0.3606,0.8195,0.4624
80,0.3540,0.8195,0.4600
81,0.3537,0.8195,0.4550
82,0.3550,0.8195,0.5474
83,0.3533,0.8195,0.4957
84,0.3536,0.8195,0.5454
85,0.3536,0.8195,0.5499
86,0.3520,0.8195,0.5426
87,0.3532,0.8195,0.5437
88,0.3534,0.8195,0.5484
89,0.3540,0.8195,0.4901
90,0.3517,0.8195,0.4606
91,0.3529,0.8195,0.4620
92,0.3543,0.8195,0.4627
93,0.3518,0.8195,0.4612
94,0.3522,0.8195,0.4599
95,0.3526,0.8195,0.4593
96,0.3528,0.8195,0.4596
97,0.3527,0.8195,0.4588
98,0.3623,0.8195,0.5495
99,0.3533,0.8195,0.4569
100,0.3609,0.8195,0.5384
